iter	Passed	Remaining
0	8	1738
1	16	1667
2	24	1614
3	33	1632
4	40	1593
5	49	1585
6	57	1575
7	64	1557
8	72	1538
9	81	1543
10	89	1530
11	96	1512
12	103	1493
13	111	1476
14	119	1468
15	128	1477
16	137	1484
17	146	1483
18	154	1469
19	161	1453
20	168	1440
21	176	1425
22	184	1420
23	192	1415
24	200	1406
25	208	1393
26	216	1386
27	224	1376
28	232	1372
29	240	1364
30	248	1357
31	259	1362
32	267	1353
33	275	1346
34	283	1336
35	290	1323
36	299	1317
37	307	1308
38	314	1299
39	322	1291
40	330	1280
41	338	1272
42	346	1264
43	354	1255
44	361	1246
45	369	1238
46	380	1237
47	387	1227
48	395	1217
49	403	1210
50	411	1201
51	419	1193
52	426	1183
53	434	1174
54	442	1166
55	450	1158
56	458	1149
57	466	1142
58	474	1134
59	482	1125
60	489	1116
61	497	1107
62	505	1098
63	514	1093
64	523	1086
65	530	1077
66	538	1068
67	546	1060
68	554	1052
69	561	1043
70	569	1035
71	578	1028
72	589	1024
73	599	1021
74	610	1018
75	619	1011
76	629	1005
77	638	997
78	646	990
79	655	983
80	665	978
81	676	973
82	685	967
83	694	958
84	702	950
85	711	942
86	719	934
87	727	926
88	736	918
89	744	910
90	753	902
91	761	893
92	768	884
93	778	877
94	786	869
95	796	863
96	805	855
97	815	848
98	823	840
99	832	832
100	840	824
101	850	816
102	858	808
103	868	802
104	879	795
105	888	787
106	896	779
107	904	770
108	913	762
109	922	754
110	930	746
111	938	737
112	949	731
113	959	723
114	969	716
115	980	709
116	988	701
117	996	692
118	1006	684
119	1015	676
120	1023	668
121	1032	660
122	1040	651
123	1048	642
124	1055	633
125	1120	657
126	1131	650
127	1142	642
128	1151	633
129	1159	624
130	1169	615
131	1178	606
132	1187	598
133	1197	589
134	1206	581
135	1214	571
136	1222	562
137	1230	552
138	1238	543
139	1246	534
140	1254	524
141	1262	515
142	1270	506
143	1279	497
144	1287	488
145	1295	479
146	1302	469
147	1309	460
148	1317	450
149	1326	442
150	1338	434
151	1354	427
152	1365	419
153	1374	410
154	1382	401
155	1390	392
156	1402	384
157	1413	375
158	1423	367
159	1430	357
160	1439	348
161	1447	339
162	1456	330
163	1463	321
164	1472	312
165	1480	303
166	1489	294
167	1497	285
168	1506	276
169	1513	267
170	1523	258
171	1531	249
172	1541	240
173	1551	231
174	1559	222
175	1570	214
176	1579	205
177	1590	196
178	1599	187
179	1612	179
180	1623	170
181	1631	161
182	1641	152
183	1652	143
184	1661	134
185	1672	125
186	1681	116
187	1691	107
188	1700	98
189	1708	89
190	1716	80
191	1724	71
192	1732	62
193	1742	53
194	1752	44
195	1761	35
196	1770	26
197	1778	17
198	1787	8
199	1795	0
