coords,descr,geoData,obj_type
"[55.644, 37.687]",московский завод полиметалловрадиоактивные отходы в грунте на набережной москвы-реки. проводится экологическая реабилитация территории,POINT (55.644 37.687),factory
"[55.061944, 38.828611]",щуровский цементный заводlafargeholcimколомна,POINT (55.061944 38.828611),factory
"[55.276944, 38.736667]",воскресенский домостроительный комбинатвоскресенск,POINT (55.276944 38.736667),factory
"[55.325, 38.705556]",промышленная группа «горизонт-фетр»воскресенск,POINT (55.325 38.705556),factory
"[55.201667, 38.781389]","песковский комбинат строительных материаловгруппа евроцементпески, коломенский район",POINT (55.201667 38.781389),factory
"[55.883056, 37.621111]","асфальтобетон-медведковогруппа евроцементчермянская улица, 5",POINT (55.883056 37.621111),factory
"[55.773056, 37.508611]","завод жби № 17группа евроцемент3-й силикатный проезд, 10",POINT (55.773056 37.508611),factory
"[55.797, 38.935]",предприятия на площадке бывшего завода пластмасс «карболит»«акзо нобель лакокраска» (порошковые краски)  «метадинеа» (синтетические смолы)  «фенопласт» (фенольные формовочные материалы — фенопласты)  «артэко-рус» (растворы органической и синтетической химии)  «вазапласт» (теплоизолированные трубы с применением пенополиуретана)и др.орехово-зуево,POINT (55.797 38.935),factory
"[55.414444, 38.971667]",завод «кроношпан»производство дсп и ламинатаегорьевск,POINT (55.414444 38.971667),factory
"[55.388333, 39.016111]",егорьевский завод строительных материаловегорьевск,POINT (55.388333 39.016111),factory
"[55.368889, 38.997778]",завод «сен-гобен изовер»производство термоизоляции из минеральной ватыегорьевск,POINT (55.368889 38.997778),factory
"[55.3731608, 39.0256691]","заводы «остендорф рус» и «европейские пластиковые технологии»производство полимерных труб и фитингов из полипропилена, пластиковых оконегорьевск",POINT (55.3731608 39.0256691),factory
"[55.9430478, 37.7816391]",оао «стройперлит»производство теплоизоляционного материала из минерального сырья — перлитамытищи,POINT (55.9430478 37.7816391),factory
"[55.904444, 38.011389]",гаммафлекспроизводство полимерной упаковкищелково,POINT (55.904444 38.011389),factory
"[55.9175, 38.028333]",асфальто-бетонный завод «стройбетон»ооо «айсберг»щелково,POINT (55.9175 38.028333),factory
"[55.905556, 37.791389]",бетонный завод «стройбетон»ооо «айсберг»королев,POINT (55.905556 37.791389),factory
"[55.927086, 38.053036]",оао «щелковское рудоуправление»производство минерального порошка для изготовления асфальтобетонащелково,POINT (55.927086 38.053036),factory
"[55.459392, 37.56689]",цементный завод «подольск-цемент»подольск,POINT (55.459392 37.56689),factory
"[55.459167, 37.5725]",подольскогнеупорподольск,POINT (55.459167 37.5725),factory
"[55.430556, 37.583611]",заводы по производству кабельной продукции«подольсккабель» «микропровод» «электропровод»подольск,POINT (55.430556 37.583611),factory
"[56.3291968, 36.6855383]",термоприборпроизводство ртутных термометровклин,POINT (56.3291968 36.6855383),factory
"[55.704444, 37.444444]","завод «рти-каучук»производство резиновых смесей и изделий из резиныгенерала дорохова улица, 6",POINT (55.704444 37.444444),factory
"[55.708611, 37.446667]", завод «асфальтобетон»производство асфальта. источник смога и неприятного запаха в близлежащих районахочаково-матвеевское,POINT (55.708611 37.446667),factory
"[55.528056, 37.575278]",асфальто-бетонное производствоисточник дыма и копотипроектируемый проезд 185,POINT (55.528056 37.575278),factory
"[55.685278, 37.608333]",территория асфальтобетонного завода «вираж»асфальто-бетонный заводзавод «грида» (производство битумных мастик и дорожных покрытий)нагорный район,POINT (55.685278 37.608333),factory
"[55.585833, 37.624444]",асфальтобетонный завод гбу «автомобильные дороги»построен в 2015 г. по современным технологиямбирюлево западное,POINT (55.585833 37.624444),factory
"[55.855833, 37.533889]","завод «аурат»(химический завод им. войкова)производство химических реактивов и соединений драгоценных металлов4-й лихачёвский переулок, 6",POINT (55.855833 37.533889),factory
"[55.752531, 37.741498]","московский завод «нефтепродукт»производство смазочных, защитных и консервационных материаловроснефтьшоссе энтузиастов, 38, перово",POINT (55.752531 37.741498),factory
"[55.74, 37.790556,]","кусковский завод консистентных смазокржд2-я владимирская улица, 64",POINT (55.74 37.790556),factory
"[55.802778, 37.577778]","фабрика «свобода»производство мыла и косметикиисточник неприятных запаховпланируется переезд в медведкововятская улица, 47",POINT (55.802778 37.577778),factory
"[55.553611, 37.7625]",московский коксогазовый заводмечелвидное,POINT (55.553611 37.7625),factory
"[54.814144, 38.251298]",каширский завод стали с покрытиемпроизводство оцинкованного листатехинвестстройкашира,POINT (54.814144 38.251298),factory
"[55.59, 36.45]",завод «московская кофейня на паях»обжарка натурального и производство растворимого кофетучково,POINT (55.59 36.45),factory
"[55.728056, 37.686667]","микояновский мясокомбинатисточник неприятного запахаталалихина улица, 41с9",POINT (55.728056 37.686667),factory
"[55.805278, 37.970556]",криогенмашоборудование для производства и хранения технических газовгруппа омзбалашиха,POINT (55.805278 37.970556),factory
"[55.324444, 38.686111]",электромеханический заводвоскресенск,POINT (55.324444 38.686111),factory
"[55.255, 38.751111]",воскресенский завод «машиностроитель»горнопромышленная финансовая компаниявоскресенск,POINT (55.255 38.751111),factory
"[55.087778, 38.813889]",коломенский заводпроизводство локомотивовколомна,POINT (55.087778 38.813889),factory
"[55.07028, 38.78556]",станкотехпроизводство сверхтяжелого оборудования и специальных станковсоздан на базе бывшего коломенского завода тяжелых станковгруппа «стан»коломна,POINT (55.07028 38.78556),factory
"[55.805278, 37.591111]","завод «шлифовальные станки»группа «стан»складочная ул., 1с22",POINT (55.805278 37.591111),factory
"[55.9073659, 37.7582932]",метровагонмашмытищи,POINT (55.9073659 37.7582932),factory
"[55.92, 37.770556]",мытищинский электромеханический заводпроизводство трансформаторов и другого оборудования для электросетеймытищи,POINT (55.92 37.770556),factory
"[55.908424, 38.038444]",завод «электронасосный агрегат» (эна)щелково,POINT (55.908424 38.038444),factory
"[55.415, 37.570833]",подольский машиностроительный заводподольск,POINT (55.415 37.570833),factory
"[55.772222, 37.721667]","нпц газотурбостроения «салют»производство авиационных двигателей и энергетических установокисточник шума и выбросовбудённого проспект, 16",POINT (55.772222 37.721667),factory
"[54.9075, 38.067778]",ступинский металлургический комбинатгруппа смкступино,POINT (54.9075 38.067778),factory
"[54.8179108, 38.2508835]",каширский завод «эталит»производство бронзового литьякашира,POINT (54.8179108 38.2508835),factory
"[55.927222, 38.02]",щёлковский завод вторичных драгоценных металловпереработка золото- и серебросодержащих отходовщелково,POINT (55.927222 38.02),factory
"[55.649167, 37.809444]",московский нпзгазпромнефтькапотня,POINT (55.649167 37.809444),factory
"[55.861412, 37.656666]","районные тепловые станции бабушкинская-1 и «бабушкинская-2»искры ул., д. 17",POINT (55.861412 37.656666),thermal
"[55.861509, 37.658243]","районная тепловая станция бабушкинская-1искры ул., д. 17",POINT (55.861509 37.658243),thermal
"[55.861412, 37.656666]","районная тепловая станция бабушкинская-2искры ул., д. 17б",POINT (55.861412 37.656666),thermal
"[55.588371, 37.660328]","районная тепловая станция бирюлеволебедянская ул., д. 3",POINT (55.588371 37.660328),thermal
"[55.645, 37.593611]","районная тепловая станция волхонка-зилазовская ул., д. 28",POINT (55.645 37.593611),thermal
"[55.702136, 37.855249]",районная тепловая станция жулебинолермонтовский просп. д. 147 с. 1,POINT (55.702136 37.855249),thermal
"[55.599874, 37.623347]","районная тепловая станция красный строительдорожная ул., д. 9а",POINT (55.599874 37.623347),thermal
"[55.769722, 37.403333]","районная тепловая станция крылатскоеосенняя ул., д. 29",POINT (55.769722 37.403333),thermal
"[55.713889, 37.423889]",районная тепловая станция кунцевоверейская ул. д. 35,POINT (55.713889 37.423889),thermal
"[55.629178, 37.644024]","районная тепловая станция ленино-дачноекавказский бульв., д. 52",POINT (55.629178 37.644024),thermal
"[55.693611, 37.451944]","районная тепловая станция матвеевскаяочаковское шоссе, д. 14",POINT (55.693611 37.451944),thermal
"[55.844167, 37.375]","районная тепловая станция митино (ртс-38)пятницкое шоссе, д. 19",POINT (55.844167 37.375),thermal
"[55.675556, 37.66]","районная тепловая станция нагатиноандропова просп., д. 36 корп. 2",POINT (55.675556 37.66),thermal
"[55.811716, 37.616541]","районная тепловая станция новомосковскаяновомосковская ул., д. 1а",POINT (55.811716 37.616541),thermal
"[55.852845, 37.595837]","районная тепловая станция отрадноесигнальный пр., д. 21",POINT (55.852845 37.595837),thermal
"[55.838989, 37.347168]","районная тепловая станция пенягино (ртс-40)дубравная ул., д. 55",POINT (55.838989 37.347168),thermal
"[55.653473, 37.378065]","районная тепловая станция переделкиноборовское шоссе, д. 10",POINT (55.653473 37.378065),thermal
"[55.785572, 37.642074]","районная тепловая станция переяславскаяпереяславская б. ул., д. 36",POINT (55.785572 37.642074),thermal
"[55.745695, 37.834137]","районная тепловая станция перовотакже на территории строится мини-тэскетчерская ул., д. 12",POINT (55.745695 37.834137),thermal
