coords,adult_hospitals_closest_km,adult_hospitals_less500m,adult_hospitals_0.5-1km,adult_hospitals_1-3km,adult_hospitals_3-5km,adult_hospitals_5-10km,adult_hospitals_10-15km
"('55.732839', '37.622306')",1.4885004267474449,0,0,4,2,14,16
"('55.65044', '37.34142')",4.584920629803213,0,0,0,1,2,3
"('55.776188', '37.586095')",1.288940224292825,0,0,3,1,18,12
"('55.765154', '37.603586')",0.32787412145571143,1,0,1,5,13,16
"('55.716846', '37.508022')",4.702437655624297,0,0,0,1,12,12
"('55.772684', '37.729664')",0.5910493133905483,0,1,3,3,12,10
"('55.543419', '37.482277')",2.961804072904462,0,0,2,0,2,3
"('55.742954', '37.58051')",2.3850747204480567,0,0,3,3,17,13
"('55.7119655', '37.9285327')",6.158257684218853,0,0,0,0,2,5
"('55.817612', '37.745424')",2.7781781895951942,0,0,2,3,8,12
"('55.757906', '37.606137')",1.0840373524136304,0,0,2,5,14,15
"('55.790712', '37.474444')",1.214627596603796,0,0,4,1,10,14
"('55.7742587', '37.546541')",0.5703370993513759,0,1,0,7,11,15
"('55.740451', '37.592716')",1.775216988949497,0,0,3,3,16,14
"('55.748577', '37.598557')",2.035140307633806,0,0,2,4,15,15
"('55.783539', '37.742016')",0.8481777472274556,0,1,4,3,9,13
"('55.747323', '37.396371')",3.494910726346358,0,0,0,1,5,12
"('55.717589', '37.511643')",4.917331581195692,0,0,0,1,14,11
"('55.7498574', '37.6055674')",1.9322891610444932,0,0,4,2,17,13
"('55.745868', '37.597926')",2.2865069390826855,0,0,3,3,15,15
"('55.715753', '37.753964')",2.455817343534696,0,0,1,0,16,4
"('55.76317', '37.508592')",2.6304849573983247,0,0,2,2,14,12
"('55.76643', '37.6137')",0.9040097776048209,0,1,0,6,12,17
"('55.771211', '37.676134')",1.6338768296489559,0,0,3,5,14,12
"('55.692318', '37.597594')",0.5119139709829248,0,1,1,3,8,16
"('55.758068', '37.419117')",3.3010859886297537,0,0,0,4,3,17
"('55.730101', '37.630939')",1.4797135408874467,0,0,4,2,13,16
"('55.675346', '37.541386')",2.5150005320738833,0,0,1,2,8,12
"('55.781626', '37.734578')",1.002301704327488,0,0,5,2,12,10
"('55.746227', '37.63473')",0.8631122346470831,0,1,1,5,11,19
"('55.725534', '37.570501')",1.6016610340255277,0,0,2,2,14,13
"('55.76565', '37.594926')",0.2808677430554954,1,0,2,4,14,16
"('55.768405', '37.626187')",1.6953891200706104,0,0,2,5,13,15
"('55.76705', '37.61186')",0.7876056602830844,0,1,0,6,12,17
"('55.757492', '37.399048')",4.082219604381214,0,0,0,4,3,15
"('55.747652', '37.61777')",1.9297613666818232,0,0,4,1,16,14
"('55.784997', '37.526636')",1.414340012789755,0,0,1,7,8,18
"('55.723004', '37.575468')",1.2350509126975557,0,0,2,2,14,12
"('55.822979', '37.526735')",0.6106173584084135,0,1,1,5,5,18
"('55.64191', '37.34936')",4.001416008591848,0,0,0,1,1,4
"('55.731891', '37.539922')",3.6474031805922498,0,0,0,2,14,13
"('55.69316', '37.470599')",3.23437947197472,0,0,0,3,6,15
"('55.738698', '37.593039')",1.5858570560742307,0,0,2,4,15,15
"('55.763933', '37.60929')",0.7052892998537648,0,1,0,7,11,18
"('55.77796', '37.600594')",1.2224906032639966,0,0,3,2,17,12
"('55.71268', '37.517698')",4.819950317515197,0,0,0,2,11,15
"('55.900103', '37.585745')",3.329348804919829,0,0,0,1,2,10
"('55.742954', '37.58051')",2.3850747204480567,0,0,3,3,17,13
"('55.904835', '37.38836')",2.2794256750646196,0,0,1,0,2,5
"('55.643658', '37.539455')",3.711397821414561,0,0,0,2,7,9
"('55.5677654', '37.4416839')",1.5010986090626208,0,0,2,0,2,3
"('55.841561', '37.495863')",1.5207919814386026,0,0,1,3,6,13
"('55.817612', '37.745424')",2.7781781895951942,0,0,2,3,8,12
"('55.694784', '37.581559')",1.062893297668155,0,0,2,1,11,13
"('55.733917', '37.614754')",1.212901865798846,0,0,4,2,14,16
"('55.757214', '37.64955')",1.175063315578125,0,0,2,5,12,16
"('55.588949', '37.60081')",4.498880086854138,0,0,0,1,3,7
"('55.637393', '37.600388')",3.6373162620865145,0,0,0,2,6,8
"('55.898916', '37.379034')",1.577226837633776,0,0,1,0,2,6
"('55.745083', '37.49736')",3.353672232029125,0,0,0,3,15,9
"('55.834421', '37.659596')",3.3884409943444584,0,0,0,3,10,13
"('55.790975', '37.634182')",3.2122862716617724,0,0,0,6,11,16
"('55.795423', '37.495276')",1.0002870975811906,0,0,1,6,5,18
"('55.763265', '37.514994')",2.7825487146829926,0,0,1,3,13,13
"('55.7407086', '37.6011763')",1.6959429668734605,0,0,4,2,16,14
"('55.763072', '37.58968')",0.7161169363063471,0,1,1,6,12,18
"('55.760915', '37.554861')",2.017094174744489,0,0,2,2,16,11
"('55.7182621', '37.4771618')",2.7626677387682883,0,0,1,0,12,8
"('55.807435', '37.448662')",0.9776213877236556,0,1,1,3,8,10
"('55.681183', '37.495808')",1.286346236785324,0,0,2,0,8,12
"('55.5213774', '37.3160383')",10.779933723145056,0,0,0,0,0,3
"('55.720798', '37.444099')",0.6761337657230047,0,1,0,1,10,10
"('55.739352', '37.602606')",1.5428458729751917,0,0,4,2,16,14
"('55.76725', '37.584476')",0.8910776493982447,0,1,1,4,15,15
"('55.78564', '37.633266')",2.9857525780108105,0,0,1,7,11,16
"('55.789289', '37.491126')",1.3884798528194622,0,0,3,4,8,16
"('55.77854', '37.662956')",2.0811058254563903,0,0,3,5,15,11
"('55.643769', '37.496075')",1.6479848667388186,0,0,2,0,7,7
"('55.795853', '37.485538')",0.5790001496332526,0,1,2,5,6,17
"('55.893369', '37.602058')",4.193850136534204,0,0,0,2,1,11
"('55.886782', '37.38988')",0.48922620344616524,1,0,1,0,4,5
"('55.841278', '37.494442')",1.614619931529292,0,0,1,2,7,12
"('55.742043', '37.552498')",3.518901904635618,0,0,0,4,13,13
"('55.83525', '37.643642')",3.524283883377472,0,0,0,1,12,11
"('55.8134352', '37.5849828')",1.6338105435049974,0,0,2,2,15,10
"('55.695625', '37.821663')",3.8808733364343277,0,0,0,2,2,15
"('55.715527', '37.477104')",2.8308388139451868,0,0,1,0,12,8
"('55.739534', '37.63341')",0.97097261979957,0,1,2,4,12,18
"('55.684929', '37.533966')",2.569500636512319,0,0,1,2,8,13
"('55.6900645', '37.6548865')",1.8141651263435843,0,0,1,4,7,18
"('55.806504', '37.449866')",1.053157605569418,0,0,2,2,9,9
"('55.715527', '37.477104')",2.8308388139451868,0,0,1,0,12,8
"('55.702763', '37.64046')",2.067136805356354,0,0,3,3,9,18
"('55.700877', '37.622405')",0.9148391753693972,0,1,2,3,9,18
"('55.7220172', '37.6077158')",0.3805491514048358,1,1,2,3,12,17
"('55.828217', '37.462414')",1.2804833486443044,0,0,2,1,9,8
"('55.8170545', '37.7545798')",2.313281703986969,0,0,2,3,7,13
"('55.68153', '37.849888')",5.50419831512685,0,0,0,0,3,9
"('55.853178', '37.608212')",3.7088750414332106,0,0,0,1,9,13
"('55.807435', '37.448662')",0.9776213877236556,0,1,1,3,8,10
"('55.7439839', '37.5919617')",2.1625478350972474,0,0,3,4,15,15
"('55.5512278', '37.3356786')",8.405945798215319,0,0,0,0,2,0
"('55.740928', '37.622118')",1.6936730274621854,0,0,4,2,14,16
"('55.741683', '37.601726')",1.8030325449434434,0,0,5,1,17,13
"('55.829598', '37.465955')",1.4860953717257435,0,0,1,2,8,9
"('55.758402', '37.549282')",2.279675905676515,0,0,1,3,14,12
"('55.756376', '37.54948')",2.5047738952733885,0,0,1,2,15,11
"('55.756771', '37.592725')",1.1961463390732476,0,0,1,6,12,18
"('55.779575', '37.706863')",1.1888412361339056,0,0,5,0,18,6
"('55.828217', '37.462414')",1.2804833486443044,0,0,2,1,9,8
"('55.786166', '37.497836')",1.892184064050771,0,0,3,3,10,14
"('55.699314', '37.511239')",3.2823484199342454,0,0,0,1,12,11
"('55.735175', '37.44064')",1.4405043498418995,0,0,1,2,8,12
"('55.738292', '37.625972')",1.435317235312167,0,0,4,2,14,16
"('55.807435', '37.448662')",0.9776213877236556,0,1,1,3,8,10
"('55.76447', '37.652958')",2.0010129725400225,0,0,2,5,12,16
"('55.659573', '37.56007')",3.816594388732322,0,0,0,4,5,13
"('55.76963', '37.47916')",0.6480162265340411,0,2,0,4,9,15
"('55.763194', '37.62572')",1.7066177605136688,0,0,2,6,12,17
"('55.733493', '37.609973')",1.006427023767865,0,0,4,2,17,12
"('55.806504', '37.449866')",1.053157605569418,0,0,2,2,9,9
"('55.738262', '37.420177')",1.84690569608738,0,0,1,2,7,12
"('55.774137', '37.630769')",2.134171528276066,0,0,1,7,10,18
"('55.759384', '37.602894')",0.8611474255807999,0,1,0,7,11,18
"('55.790975', '37.634182')",3.2122862716617724,0,0,0,6,11,16
"('55.806504', '37.449866')",1.053157605569418,0,0,2,2,9,9
"('55.768441', '37.62713')",1.7546784566201328,0,0,2,5,12,16
"('55.770157', '37.635998')",2.3315272963471734,0,0,2,5,11,17
"('55.73467', '37.616646')",1.3536605136713113,0,0,4,2,14,16
"('55.700444', '37.51071')",3.4011769175964206,0,0,0,1,12,12
"('55.754983', '37.647675')",0.9259203535522197,0,1,1,5,12,16
"('55.743923', '37.582655')",2.40110832114242,0,0,3,3,17,13
"('55.651811', '37.395635')",1.4735183210601865,0,0,1,0,4,6
"('55.729807', '37.62978')",1.556440590305412,0,0,4,2,13,16
"('55.763194', '37.62572')",1.7066177605136688,0,0,2,6,12,17
"('55.669889', '37.556262')",3.386743137833095,0,0,0,3,7,12
"('55.817837', '37.464825')",0.4105551545802491,1,0,2,2,8,12
"('55.642133', '37.601385')",3.2025818711341154,0,0,0,2,6,8
"('55.77517', '37.674022')",1.8801944880159418,0,0,3,5,14,12
"('55.747936', '37.599058')",2.106010814801405,0,0,2,4,15,15
"('55.7952463', '37.6114797')",2.042413617304695,0,0,1,4,15,12
"('55.776894', '37.630096')",2.2319691419024963,0,0,1,7,10,18
"('55.732012', '37.594054')",0.8993036434988826,0,1,1,5,12,17
"('55.775505', '37.594971')",0.9712728351279751,0,1,2,3,16,14
"('55.709637', '37.591943')",1.178954282594825,0,0,3,1,11,17
"('55.637195', '37.665668')",2.1845778625093555,0,0,1,1,5,9
"('55.7678312', '37.6190593')",1.2439614293406933,0,0,2,5,13,15
"('55.745797', '37.513107')",3.939962807826776,0,0,0,3,13,12
"('55.885332', '37.389095')",0.34710731033466025,1,0,1,0,4,5
"('55.765205', '37.647486')",2.063619312883124,0,0,2,5,10,18
"('55.856432', '37.449641')",4.371848952118135,0,0,0,2,6,7
"('55.754303', '37.58563')",1.6367462656822647,0,0,1,6,13,17
"('55.757214', '37.64955')",1.175063315578125,0,0,2,5,12,16
"('55.674606', '37.568497')",3.1013515676280594,0,0,0,3,6,13
"('55.733802', '37.438906')",1.2638835238400759,0,0,1,2,8,12
"('55.8099435', '37.644094')",3.245235936554782,0,0,0,4,12,13
"('55.754814', '37.59013')",1.4590007202291366,0,0,1,6,13,17
"('55.762733', '37.589745')",0.7368589115310592,0,1,1,6,12,18
