coords,eco_factory_closest_km,eco_factory_less500m,eco_factory_0.5-1km,eco_factory_1-3km,eco_factory_3-5km,eco_factory_5-10km,eco_factory_10-15km
"('55.735505', '37.635593')",3.3141310972232043,0,0,0,1,7,6
"('55.732839', '37.622306')",4.078480713105381,0,0,0,1,6,6
"('55.65044', '37.34142')",8.840788650133227,0,0,0,0,2,0
"('55.776188', '37.586095')",3.0060998612119816,0,0,0,3,3,10
"('55.749626', '37.537427')",3.174488011714962,0,0,0,1,6,5
"('55.751568', '37.535314')",2.921233566786794,0,0,1,0,7,4
"('55.702307', '37.515093')",4.358582015964908,0,0,0,2,2,8
"('55.765154', '37.603586')",4.491029606822456,0,0,0,2,5,9
"('55.716846', '37.508022')",3.9639467086478866,0,0,0,2,2,8
"('55.6255029', '37.3040935')",12.460260864589857,0,0,0,0,0,2
"('55.69731', '37.473725')",2.0050390249298604,0,0,2,0,4,5
"('55.772684', '37.729664')",0.5045116857389593,0,1,1,1,4,7
"('55.543419', '37.482277')",6.115994517018356,0,0,0,0,1,1
"('55.742954', '37.58051')",5.622127448688876,0,0,0,0,8,5
"('55.7119655', '37.9285327')",9.214313315726534,0,0,0,0,1,4
"('55.817612', '37.745424')",5.268742704081608,0,0,0,0,4,9
"('55.625831', '37.641575')",3.5037671746712036,0,0,0,2,1,6
"('55.757906', '37.606137')",5.303381806582029,0,0,0,0,7,7
"('55.790712', '37.474444')",2.9086115156911148,0,0,1,0,7,2
"('55.7742587', '37.546541')",2.384133661701072,0,0,1,2,3,9
"('55.740451', '37.592716')",6.061214966631516,0,0,0,0,8,5
"('55.748577', '37.598557')",5.98756390924184,0,0,0,0,7,6
"('55.7538036', '37.5246841')",2.3691052377524953,0,0,1,0,7,4
"('55.783539', '37.742016')",1.7939076921034298,0,0,1,1,4,8
"('55.747323', '37.396371')",4.9603827591094305,0,0,0,1,3,4
"('55.717589', '37.511643')",4.2045603288262745,0,0,0,2,2,9
"('55.7498574', '37.6055674')",5.642825108821955,0,0,0,0,7,7
"('55.745868', '37.597926')",5.916597322825705,0,0,0,0,7,6
"('55.715753', '37.753964')",3.5459250980363324,0,0,0,3,4,5
"('55.714699', '37.504701')",3.710254296936013,0,0,0,2,2,7
"('55.806687', '37.542949')",2.226963987993308,0,0,1,2,3,9
"('55.76317', '37.508592')",1.1006842277940982,0,0,1,0,6,5
"('55.76643', '37.6137')",4.551507337942144,0,0,0,2,5,9
"('55.771211', '37.676134')",2.8598691861990213,0,0,1,2,4,7
"('55.8088116', '37.5776144')",0.6718490541835994,0,2,0,2,4,8
"('55.692318', '37.597594')",1.0346649264426817,0,0,1,0,5,8
"('55.758068', '37.419117')",4.292110666213159,0,0,0,1,3,5
"('55.730101', '37.630939')",3.5087035362948678,0,0,0,1,6,6
"('55.67638', '37.642')",2.338105359114395,0,0,1,1,2,11
"('55.675346', '37.541386')",4.354176281289597,0,0,0,1,3,6
"('55.749633', '37.577561')",5.053358713369565,0,0,0,0,8,5
"('55.781626', '37.734578')",1.323878582685939,0,0,1,1,4,7
"('55.746227', '37.63473')",3.8388219560569734,0,0,0,1,7,5
"('55.725534', '37.570501')",5.073913582157827,0,0,0,0,7,6
"('55.76565', '37.594926')",4.271463870779787,0,0,0,2,5,9
"('55.768405', '37.626187')",4.657928425312577,0,0,0,2,5,8
"('55.790529', '37.569063')",1.4692428035452463,0,0,2,1,4,9
"('55.76705', '37.61186')",4.450837729602959,0,0,0,2,5,9
"('55.757492', '37.399048')",3.8796206188061224,0,0,0,1,3,4
"('55.863544', '37.47846')",3.575492912555871,0,0,0,1,4,2
