coords,edu_prof_closest_km,edu_prof_less500m,edu_prof_0.5-1km,edu_prof_1-3km,edu_prof_3-5km,edu_prof_5-10km,edu_prof_10-15km
"('55.732839', '37.622306')",0.5191710973926922,0,1,11,3,32,16
"('55.65044', '37.34142')",4.298290723516685,0,0,0,1,1,6
"('55.776188', '37.586095')",0.5762622781668635,0,1,8,7,29,16
"('55.765154', '37.603586')",1.1685323918848105,0,0,7,8,29,16
"('55.716846', '37.508022')",2.6509023620609775,0,0,1,4,21,19
"('55.772684', '37.729664')",0.6398999976638754,0,3,6,11,22,20
"('55.543419', '37.482277')",6.767061868373928,0,0,0,0,2,9
"('55.742954', '37.58051')",0.7472050620055707,0,1,3,12,26,19
"('55.7119655', '37.9285327')",7.462407647302647,0,0,0,0,5,11
"('55.817612', '37.745424')",0.7649977994532485,0,1,5,4,20,18
"('55.757906', '37.606137')",1.736809165747361,0,0,5,12,27,18
"('55.790712', '37.474444')",0.641895228759842,0,2,3,10,16,26
"('55.7742587', '37.546541')",0.21674234238200835,1,0,8,5,29,15
"('55.740451', '37.592716')",0.30646872917432877,1,0,7,7,30,15
"('55.748577', '37.598557')",0.6621584556635395,0,1,3,13,26,20
"('55.783539', '37.742016')",0.7428430854776716,0,1,7,11,20,21
"('55.747323', '37.396371')",0.9076419946332495,0,1,2,1,11,19
"('55.717589', '37.511643')",2.6928459611412143,0,0,1,5,20,21
"('55.7498574', '37.6055674')",1.0508141892370684,0,0,4,12,27,18
"('55.745868', '37.597926')",0.3969694476166378,1,0,4,12,27,19
"('55.715753', '37.753964')",1.0406480106318425,0,0,5,4,25,16
"('55.76317', '37.508592')",1.390897180046346,0,0,2,10,21,23
"('55.76643', '37.6137')",0.6779144672822136,0,1,7,9,29,16
"('55.771211', '37.676134')",0.6911022851817877,0,1,8,11,26,18
"('55.692318', '37.597594')",0.820562120264399,0,2,9,5,19,25
"('55.758068', '37.419117')",2.4196720515671983,0,0,2,3,16,18
"('55.730101', '37.630939')",0.5666662519821951,0,1,12,2,32,16
"('55.675346', '37.541386')",1.2154380718578428,0,0,4,3,17,20
"('55.781626', '37.734578')",0.29872793570702494,1,1,7,10,21,21
"('55.746227', '37.63473')",0.8259195405671683,0,1,6,11,26,21
"('55.725534', '37.570501')",0.4672793848307077,1,1,7,4,29,18
"('55.76565', '37.594926')",1.5039593621123093,0,0,6,9,29,16
"('55.768405', '37.626187')",0.6760533835419035,0,1,5,12,26,19
"('55.76705', '37.61186')",0.667124668277512,0,1,7,9,28,17
"('55.757492', '37.399048')",2.052232690760368,0,0,2,1,15,15
"('55.747652', '37.61777')",0.6069519600907065,0,1,4,13,23,23
"('55.784997', '37.526636')",1.5354253938834563,0,0,9,6,25,18
"('55.723004', '37.575468')",0.6185833390364958,0,2,6,6,25,21
"('55.822979', '37.526735')",0.2939754209100626,1,1,9,5,21,18
"('55.64191', '37.34936')",3.6439378113695207,0,0,0,1,2,5
"('55.731891', '37.539922')",0.9573812212894127,0,1,1,10,23,21
"('55.69316', '37.470599')",1.7290682007498683,0,0,1,3,11,23
