coords,edu_school_closest_km,edu_school_less500m,edu_school_0.5-1km,edu_school_1-3km,edu_school_3-5km,edu_school_5-10km,edu_school_10-15km
"('55.735505', '37.635593')",0.07537887567448763,2,2,22,34,149,193
"('55.732839', '37.622306')",0.2521337639825478,3,0,23,34,151,192
"('55.65044', '37.34142')",0.04945124725868185,1,2,4,7,34,70
"('55.776188', '37.586095')",0.3027815582573376,4,2,27,35,140,200
"('55.749626', '37.537427')",0.6519194432981091,0,5,12,33,154,163
"('55.751568', '37.535314')",0.488878697053607,1,3,15,33,157,159
"('55.702307', '37.515093')",0.10958230028778901,2,3,19,39,120,156
"('55.765154', '37.603586')",0.11284775014635985,5,5,26,34,140,214
"('55.716846', '37.508022')",0.45040784208878604,2,1,18,32,137,142
"('55.6255029', '37.3040935')",0.20940967370682795,1,0,4,4,12,64
"('55.69731', '37.473725')",0.8338916145162516,0,4,14,36,97,146
"('55.772684', '37.729664')",0.09125427279302806,2,0,16,31,114,148
"('55.543419', '37.482277')",0.11578603325050567,1,2,6,8,36,78
"('55.742954', '37.58051')",0.020427406289870702,1,5,18,38,148,191
"('55.7119655', '37.9285327')",0.44319406913998816,1,2,7,7,39,62
"('55.817612', '37.745424')",0.5800814668981904,0,4,9,21,89,136
"('55.625831', '37.641575')",0.4760725743113807,1,1,14,30,109,117
"('55.757906', '37.606137')",0.20720223807554577,2,6,24,36,140,212
"('55.790712', '37.474444')",0.22247603403274233,2,1,22,26,125,151
"('55.7742587', '37.546541')",0.25620807310395977,1,4,23,40,147,179
"('55.740451', '37.592716')",0.1459438105960847,2,1,26,30,156,183
"('55.748577', '37.598557')",0.08930588923752403,3,4,24,35,151,198
"('55.7538036', '37.5246841')",0.17366398560153734,1,2,14,37,141,170
"('55.783539', '37.742016')",0.2852043585622903,1,0,14,32,105,140
"('55.747323', '37.396371')",0.7730690761269144,0,2,9,11,71,135
"('55.717589', '37.511643')",0.3111753637698862,3,0,17,34,136,144
"('55.7498574', '37.6055674')",0.11097772592054592,1,6,21,41,143,206
"('55.745868', '37.597926')",0.1611997469727845,2,3,24,35,152,194
"('55.715753', '37.753964')",0.08330744425878504,3,2,15,29,100,147
"('55.714699', '37.504701')",0.5917651576625733,0,3,15,35,128,146
"('55.806687', '37.542949')",0.1435352526393137,1,5,26,32,149,134
"('55.76317', '37.508592')",0.16257928811437128,1,2,15,34,134,168
"('55.76643', '37.6137')",0.08910881626077995,1,6,25,38,129,223
"('55.771211', '37.676134')",0.07403275229371505,2,4,23,35,127,185
"('55.8088116', '37.5776144')",0.22928285268296097,3,4,18,40,145,154
"('55.692318', '37.597594')",0.21003360363227425,3,0,25,34,139,174
"('55.758068', '37.419117')",0.2768312351077164,2,1,9,21,78,157
"('55.730101', '37.630939')",0.191585347886196,2,1,22,33,144,194
"('55.67638', '37.642')",0.42758439401983217,1,1,13,32,143,146
"('55.675346', '37.541386')",0.1934340901288242,3,6,26,37,116,174
"('55.749633', '37.577561')",0.03728708172061674,2,3,22,32,155,186
"('55.781626', '37.734578')",0.08930109299946076,1,1,13,31,110,139
"('55.746227', '37.63473')",0.2498071590594982,1,3,31,31,146,196
"('55.725534', '37.570501')",0.142792239768555,2,2,18,37,147,176
"('55.76565', '37.594926')",0.35879162405228554,4,6,25,31,142,208
"('55.768405', '37.626187')",0.3840518651227447,2,2,29,36,135,210
"('55.790529', '37.569063')",0.1603445422643776,4,3,23,40,146,174
"('55.76705', '37.61186')",0.20900490392549317,2,5,26,35,133,219
"('55.757492', '37.399048')",0.2818737187769342,1,1,10,12,77,135
"('55.863544', '37.47846')",0.14576019785136304,2,2,16,25,100,93
"('55.747652', '37.61777')",0.41376961772373017,1,2,26,35,151,194
"('55.74446', '37.613018')",0.5046032509666368,0,4,26,34,157,188
"('55.784997', '37.526636')",0.05648414865131869,2,1,27,31,149,157
"('55.809085', '37.448482')",0.24491105577260563,1,2,16,36,97,132
"('55.723004', '37.575468')",0.0884088824160883,2,2,18,39,142,187
"('55.697238', '37.476732')",0.7566573413786332,0,3,13,40,95,150
"('55.759897', '37.644477')",0.12228016751542937,2,2,31,34,133,201
"('55.822979', '37.526735')",0.1370915868698968,1,4,25,34,127,138
"('55.64191', '37.34936')",0.08573452567915346,3,1,6,7,34,74
"('55.731891', '37.539922')",0.23752023245788356,1,2,16,39,144,165
"('55.69316', '37.470599')",0.3342359169152546,1,1,15,35,94,146
"('55.738698', '37.593039')",0.036554718375802854,3,0,24,32,155,184
"('55.763933', '37.60929')",0.29281982367391096,3,6,26,37,134,221
"('55.77796', '37.600594')",0.15806750162390273,2,3,25,37,130,209
"('55.71268', '37.517698')",0.04903389813172526,2,1,21,34,137,145
"('55.900103', '37.585745')",0.07837964390486113,3,3,15,23,65,100
"('55.701262', '37.651583')",0.44859410992705706,1,2,13,28,150,173
"('55.904835', '37.38836')",0.21300864707009912,2,1,4,2,43,78
"('55.643658', '37.539455')",0.042350170245537985,1,1,18,46,86,165
