index,MAE,PCA components,k_best,groupwise PCA
"1, 1, 0",34199.43402975922,1,1,0
"1, 1, 1",34199.43402975922,1,1,1
"1, 2, 0",34199.43402975922,1,2,0
"1, 3, 0",28847.45493128821,1,3,0
"1, 4, 0",28030.429188554925,1,4,0
"1, 5, 0",27122.158316504898,1,5,0
"1, 6, 0",27002.974310842365,1,6,0
"1, 7, 0",26660.48348753001,1,7,0
"1, 8, 0",26571.84724899595,1,8,0
"1, 9, 0",26490.74512161666,1,9,0
"1, 10, 0",26456.382457115,1,10,0
"2, 1, 0",34199.43402975922,2,1,0
"2, 1, 1",34199.43402975922,2,1,1
"2, 2, 0",34199.43402975922,2,2,0
"2, 2, 1",28653.01238062583,2,2,1
"2, 3, 0",28847.45493128821,2,3,0
"2, 4, 0",28030.429188554925,2,4,0
"2, 5, 0",27122.158316504898,2,5,0
"2, 6, 0",27002.974310842365,2,6,0
"2, 7, 0",26660.48348753001,2,7,0
"2, 8, 0",26571.84724899595,2,8,0
"2, 9, 0",26490.74512161666,2,9,0
"2, 10, 0",26456.382457115,2,10,0
"3, 1, 0",34199.43402975922,3,1,0
"3, 1, 1",34199.43402975922,3,1,1
"3, 2, 0",34199.43402975922,3,2,0
"3, 2, 1",28653.01238062583,3,2,1
"3, 3, 0",28847.45493128821,3,3,0
"3, 3, 1",27027.011983459284,3,3,1
"3, 4, 0",28030.429188554925,3,4,0
"3, 5, 0",27122.158316504898,3,5,0
"3, 6, 0",27002.974310842365,3,6,0
"3, 7, 0",26660.48348753001,3,7,0
"3, 8, 0",26571.84724899595,3,8,0
"3, 9, 0",26490.74512161666,3,9,0
"3, 10, 0",26456.382457115,3,10,0
"4, 1, 0",34199.43402975922,4,1,0
"4, 1, 1",34199.43402975922,4,1,1
"4, 2, 0",34199.43402975922,4,2,0
"4, 2, 1",28653.01238062583,4,2,1
"4, 3, 0",28847.45493128821,4,3,0
"4, 3, 1",27027.011983459284,4,3,1
"4, 4, 0",28030.429188554925,4,4,0
"4, 4, 1",26724.17166342562,4,4,1
"4, 5, 0",27122.158316504898,4,5,0
"4, 6, 0",27002.974310842365,4,6,0
"4, 7, 0",26660.48348753001,4,7,0
"4, 8, 0",26571.84724899595,4,8,0
"4, 9, 0",26490.74512161666,4,9,0
"4, 10, 0",26456.382457115,4,10,0
"5, 1, 0",34199.43402975922,5,1,0
"5, 1, 1",34199.43402975922,5,1,1
"5, 2, 0",34199.43402975922,5,2,0
"5, 2, 1",28653.01238062583,5,2,1
"5, 3, 0",28847.45493128821,5,3,0
"5, 3, 1",27027.011983459284,5,3,1
"5, 4, 0",28030.429188554925,5,4,0
"5, 4, 1",26724.17166342562,5,4,1
"5, 5, 0",27122.158316504898,5,5,0
"5, 5, 1",26494.985440345896,5,5,1
"5, 6, 0",27002.974310842365,5,6,0
"5, 7, 0",26660.48348753001,5,7,0
"5, 8, 0",26571.84724899595,5,8,0
"5, 9, 0",26490.74512161666,5,9,0
"5, 10, 0",26456.382457115,5,10,0
"6, 1, 0",34199.43402975922,6,1,0
"6, 1, 1",34199.43402975922,6,1,1
"6, 2, 0",34199.43402975922,6,2,0
"6, 2, 1",28653.01238062583,6,2,1
"6, 3, 0",28847.45493128821,6,3,0
"6, 3, 1",27027.011983459284,6,3,1
"6, 4, 0",28030.429188554925,6,4,0
"6, 4, 1",26724.17166342562,6,4,1
"6, 5, 0",27122.158316504898,6,5,0
"6, 5, 1",26494.985440345896,6,5,1
"6, 6, 0",27002.974310842365,6,6,0
"6, 6, 1",26247.50771514276,6,6,1
"6, 7, 0",26660.48348753001,6,7,0
"6, 8, 0",26571.84724899595,6,8,0
"6, 9, 0",26490.74512161666,6,9,0
"6, 10, 0",26456.382457115,6,10,0
"7, 1, 0",34199.43402975922,7,1,0
"7, 1, 1",34199.43402975922,7,1,1
"7, 2, 0",34199.43402975922,7,2,0
"7, 2, 1",28653.01238062583,7,2,1
"7, 3, 0",28847.45493128821,7,3,0
"7, 3, 1",27027.011983459284,7,3,1
"7, 4, 0",28030.429188554925,7,4,0
"7, 4, 1",26724.17166342562,7,4,1
"7, 5, 0",27122.158316504898,7,5,0
"7, 5, 1",26494.985440345896,7,5,1
"7, 6, 0",27002.974310842365,7,6,0
"7, 6, 1",26247.50771514276,7,6,1
"7, 7, 0",26660.48348753001,7,7,0
"7, 7, 1",26000.369353583133,7,7,1
"7, 8, 0",26571.84724899595,7,8,0
"7, 9, 0",26490.74512161666,7,9,0
"7, 10, 0",26456.382457115,7,10,0
"8, 1, 0",34199.43402975922,8,1,0
"8, 1, 1",34199.43402975922,8,1,1
"8, 2, 0",34199.43402975922,8,2,0
"8, 2, 1",28653.01238062583,8,2,1
"8, 3, 0",28847.45493128821,8,3,0
"8, 3, 1",27027.011983459284,8,3,1
"8, 4, 0",28030.429188554925,8,4,0
"8, 4, 1",26724.17166342562,8,4,1
"8, 5, 0",27122.158316504898,8,5,0
"8, 5, 1",26494.985440345896,8,5,1
"8, 6, 0",27002.974310842365,8,6,0
"8, 6, 1",26247.50771514276,8,6,1
"8, 7, 0",26660.48348753001,8,7,0
"8, 7, 1",26000.369353583133,8,7,1
"8, 8, 0",26571.84724899595,8,8,0
"8, 8, 1",26346.497765806405,8,8,1
"8, 9, 0",26490.74512161666,8,9,0
"8, 10, 0",26456.382457115,8,10,0
"9, 1, 0",34199.43402975922,9,1,0
"9, 1, 1",34199.43402975922,9,1,1
"9, 2, 0",34199.43402975922,9,2,0
"9, 2, 1",28653.01238062583,9,2,1
"9, 3, 0",28847.45493128821,9,3,0
"9, 3, 1",27027.011983459284,9,3,1
"9, 4, 0",28030.429188554925,9,4,0
"9, 4, 1",26724.17166342562,9,4,1
"9, 5, 0",27122.158316504898,9,5,0
"9, 5, 1",26494.985440345896,9,5,1
"9, 6, 0",27002.974310842365,9,6,0
"9, 6, 1",26247.50771514276,9,6,1
"9, 7, 0",26660.48348753001,9,7,0
"9, 7, 1",26000.369353583133,9,7,1
"9, 8, 0",26571.84724899595,9,8,0
"9, 8, 1",26346.497765806405,9,8,1
"9, 9, 0",26490.74512161666,9,9,0
"9, 9, 1",27182.773587560387,9,9,1
"9, 10, 0",26456.382457115,9,10,0
"10, 1, 1",34199.43402975922,10,1,1
"10, 2, 1",28653.01238062583,10,2,1
"10, 3, 1",27027.011983459284,10,3,1
"10, 4, 1",26724.17166342562,10,4,1
"10, 5, 1",26494.985440345896,10,5,1
"10, 6, 1",26247.50771514276,10,6,1
"10, 7, 1",26000.369353583133,10,7,1
"10, 8, 1",26346.497765806405,10,8,1
"10, 9, 1",27182.773587560387,10,9,1
"10, 10, 1",27457.9854956996,10,10,1
"11, 1, 1",34199.43402975922,11,1,1
"11, 2, 1",28653.01238062583,11,2,1
"11, 3, 1",27027.011983459284,11,3,1
"11, 4, 1",26724.17166342562,11,4,1
"11, 5, 1",26494.985440345896,11,5,1
"11, 6, 1",26247.50771514276,11,6,1
"11, 7, 1",26000.369353583133,11,7,1
"11, 8, 1",26346.497765806405,11,8,1
"11, 9, 1",27182.773587560387,11,9,1
"11, 10, 1",27457.9854956996,11,10,1
"12, 1, 1",34199.43402975922,12,1,1
"12, 2, 1",28653.01238062583,12,2,1
"12, 3, 1",27027.011983459284,12,3,1
"12, 4, 1",26724.17166342562,12,4,1
"12, 5, 1",26494.985440345896,12,5,1
"12, 6, 1",26247.50771514276,12,6,1
"12, 7, 1",26000.369353583133,12,7,1
"12, 8, 1",26346.497765806405,12,8,1
"12, 9, 1",27182.773587560387,12,9,1
"12, 10, 1",27457.9854956996,12,10,1
"13, 1, 1",34199.43402975922,13,1,1
"13, 2, 1",28653.01238062583,13,2,1
"13, 3, 1",27027.011983459284,13,3,1
"13, 4, 1",26724.17166342562,13,4,1
"13, 5, 1",26494.985440345896,13,5,1
"13, 6, 1",26247.50771514276,13,6,1
"13, 7, 1",26000.369353583133,13,7,1
"13, 8, 1",26346.497765806405,13,8,1
"13, 9, 1",27182.773587560387,13,9,1
"13, 10, 1",27457.9854956996,13,10,1
"14, 1, 1",34199.43402975922,14,1,1
"14, 2, 1",28653.01238062583,14,2,1
