coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.735505', '37.635593')",0.0,16,32,283,561,1763,2189
"('55.732839', '37.622306')",0.0,12,39,286,575,1811,2148
"('55.65044', '37.34142')",0.0,4,7,63,62,354,815
"('55.776188', '37.586095')",0.0,23,49,379,584,1759,2187
"('55.749626', '37.537427')",0.0,11,29,243,552,1912,1860
"('55.751568', '37.535314')",0.0,10,22,252,559,1884,1883
"('55.702307', '37.515093')",0.0,7,12,173,402,1685,1739
"('55.765154', '37.603586')",0.0,24,70,422,535,1828,2282
"('55.716846', '37.508022')",0.0,9,24,157,395,1797,1611
"('55.6255029', '37.3040935')",0.0,12,4,53,48,175,661
"('55.69731', '37.473725')",0.0,15,13,171,308,1316,1779
"('55.772684', '37.729664')",0.0,9,16,105,303,1377,1628
"('55.543419', '37.482277')",0.0,8,14,76,58,331,658
"('55.742954', '37.58051')",0.0,14,43,376,538,1980,1971
"('55.7119655', '37.9285327')",0.0,3,10,44,28,233,526
"('55.817612', '37.745424')",0.0,7,16,113,157,898,1604
"('55.625831', '37.641575')",0.0,1,7,80,177,942,1427
"('55.757906', '37.606137')",0.0,22,44,457,507,1892,2224
"('55.790712', '37.474444')",0.0,10,24,180,275,1591,1620
"('55.7742587', '37.546541')",0.0,5,17,328,596,1772,2020
"('55.740451', '37.592716')",0.0,19,43,361,549,1973,2020
"('55.748577', '37.598557')",0.0,21,54,410,558,1915,2142
"('55.7538036', '37.5246841')",0.0,8,30,220,582,1795,1920
"('55.783539', '37.742016')",0.0,5,13,112,286,1200,1633
"('55.747323', '37.396371')",0.0,3,8,85,111,807,1761
"('55.717589', '37.511643')",0.0,7,24,145,420,1814,1613
"('55.7498574', '37.6055674')",0.0,8,51,415,561,1886,2177
"('55.745868', '37.597926')",0.0,24,53,391,566,1922,2109
"('55.715753', '37.753964')",0.0,7,9,135,191,1136,1667
"('55.714699', '37.504701')",0.0,11,22,179,365,1775,1607
"('55.806687', '37.542949')",0.0,7,28,214,382,1755,1638
"('55.76317', '37.508592')",0.0,13,25,218,438,1756,1889
"('55.76643', '37.6137')",0.0,20,43,435,511,1797,2289
"('55.771211', '37.676134')",0.0,9,17,234,404,1690,1931
"('55.8088116', '37.5776144')",0.0,3,24,173,482,1779,1693
"('55.692318', '37.597594')",0.0,8,13,184,367,1822,1893
"('55.758068', '37.419117')",0.0,6,14,67,239,931,1906
"('55.730101', '37.630939')",0.0,14,33,274,530,1823,2135
"('55.67638', '37.642')",0.0,4,12,117,279,1606,1701
"('55.675346', '37.541386')",0.0,17,25,221,339,1404,2050
"('55.749633', '37.577561')",0.0,12,44,403,547,1910,2068
"('55.781626', '37.734578')",0.0,9,20,114,277,1312,1605
"('55.746227', '37.63473')",0.0,9,26,360,586,1739,2250
"('55.725534', '37.570501')",0.0,13,29,214,554,1955,1852
"('55.76565', '37.594926')",0.0,40,60,419,538,1828,2248
"('55.768405', '37.626187')",0.0,15,45,363,573,1710,2315
"('55.790529', '37.569063')",0.0,19,23,312,543,1767,1965
"('55.76705', '37.61186')",0.0,20,49,432,518,1800,2285
"('55.757492', '37.399048')",0.0,3,13,61,131,839,1732
"('55.863544', '37.47846')",0.0,6,25,126,191,838,1263
"('55.747652', '37.61777')",0.0,3,15,433,558,1852,2179
"('55.74446', '37.613018')",0.0,5,33,391,580,1858,2156
"('55.784997', '37.526636')",0.0,15,27,258,514,1734,1870
"('55.809085', '37.448482')",0.0,7,4,105,281,1133,1567
"('55.723004', '37.575468')",0.0,18,25,204,545,1937,1886
"('55.697238', '37.476732')",0.0,10,16,166,319,1342,1768
"('55.759897', '37.644477')",0.0,17,38,297,606,1643,2281
"('55.822979', '37.526735')",0.0,5,14,171,338,1549,1574
"('55.64191', '37.34936')",0.0,7,14,70,89,333,856
"('55.731891', '37.539922')",0.0,3,13,204,508,1961,1714
"('55.69316', '37.470599')",0.0,11,15,146,317,1210,1843
"('55.738698', '37.593039')",0.0,15,42,349,555,1961,2013
"('55.763933', '37.60929')",0.0,23,49,449,509,1845,2275
"('55.77796', '37.600594')",0.0,11,46,394,538,1739,2226
"('55.71268', '37.517698')",0.0,11,15,144,436,1824,1633
"('55.900103', '37.585745')",0.0,3,11,73,162,503,1150
"('55.701262', '37.651583')",0.0,3,15,157,334,1795,1918
"('55.904835', '37.38836')",0.0,3,2,15,8,328,520
"('55.643658', '37.539455')",0.0,8,22,126,348,940,1939
"('55.5677654', '37.4416839')",0.0,1,0,50,59,432,709
"('55.841561', '37.495863')",0.0,12,16,141,291,1114,1519
"('55.718633', '37.623214')",0.0,10,33,233,458,1891,2068
"('55.694784', '37.581559')",0.0,6,9,179,374,1802,1930
"('55.726894', '37.574345')",0.0,15,33,238,546,1970,1864
"('55.733917', '37.614754')",0.0,15,23,326,586,1859,2122
