,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Анна Харченко,realtor,https://www.cian.ru/rent/flat/307725626/,Москва,rent,flat,12,13,2,67.0,90000,0,Лефортово,шоссе Энтузиастов,15/16,Авиамоторная
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307671874/,Москва,rent,flat,11,25,2,40.0,100000,0,Лефортово, Крузенштерна,12к1,Авиамоторная
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307671099/,Москва,rent,flat,11,25,2,40.0,110000,0,Лефортово, Крузенштерна,12к1,Авиамоторная
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307669547/,Москва,rent,flat,8,11,2,43.0,119000,0,Лефортово,Красноказарменная ,14Ак5,Авиамоторная
4,ID 85981119,realtor,https://www.cian.ru/rent/flat/307562141/,Москва,rent,flat,2,4,2,50.0,77000,0,Лефортово, Золоторожский Вал,11С22,Авиамоторная
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307321432/,Москва,rent,flat,10,16,2,55.0,85000,0,Лефортово,Авиамоторная ,34К1,Авиамоторная
6,Юлия Лукьянова,realtor,https://www.cian.ru/rent/flat/307229958/,Москва,rent,flat,12,16,2,70.0,115000,0,Лефортово,проезд Невельского,6к1,Авиамоторная
7,ID 56112215,homeowner,https://www.cian.ru/rent/flat/307208571/,Москва,rent,flat,6,7,2,60.0,99000,0,Лефортово,шоссе Энтузиастов,10/2,Авиамоторная
8,Анатолий Чаговец,realtor,https://www.cian.ru/rent/flat/307151802/,Москва,rent,flat,12,26,2,42.0,100000,0,Лефортово,Красноказарменная ,15к2,Авиамоторная
9,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307128748/,Москва,rent,flat,7,26,2,56.0,135000,0,Лефортово, Крузенштерна,12к3,Авиамоторная
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307056815/,Москва,rent,flat,15,26,2,36.0,97000,0,Лефортово,Красноказарменная ,15к2,Авиамоторная
11,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306989893/,Москва,rent,flat,15,26,2,42.0,90000,0,Лефортово,Красноказарменная ,15к2,Авиамоторная
12,ID 66724091,unknown,https://www.cian.ru/rent/flat/306768181/,Москва,rent,flat,7,26,2,56.0,135000,0,Лефортово, Крузенштерна,12к3,Авиамоторная
13,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/306753644/,Москва,rent,flat,1,5,2,49.0,75000,0,Соколиная гора,проезд Энтузиастов,17,Авиамоторная
14,Евгений Борисов,realtor,https://www.cian.ru/rent/flat/306147304/,Москва,rent,flat,12,27,2,73.0,140000,0,Лефортово, Крузенштерна,10к1,Авиамоторная
15,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/305646368/,Москва,rent,flat,21,26,2,58.0,135000,0,Лефортово, Крузенштерна,12к3,Авиамоторная
16,ID 12978755,unknown,https://www.cian.ru/rent/flat/305607086/,Москва,rent,flat,20,24,2,43.6,85000,0,Лефортово,Красноказарменная ,14Ак2,Авиамоторная
17,ID 104021908,homeowner,https://www.cian.ru/rent/flat/290673236/,Москва,rent,flat,1,5,2,49.0,80000,0,Соколиная гора,проезд Энтузиастов,17,Авиамоторная
18,ID 102999917,unknown,https://www.cian.ru/rent/flat/307627422/,Москва,rent,flat,12,16,1,46.0,90000,0,Даниловский,Автозаводская ,23С120,ЗИЛ
19,ID 643783,unknown,https://www.cian.ru/rent/flat/307574111/,Москва,rent,flat,7,10,1,35.7,85000,0,Лефортово,Красноказарменная ,14Ак6,Авиамоторная
20,Светлана Захарова,realtor,https://www.cian.ru/rent/flat/307275521/,Москва,rent,flat,8,9,2,50.0,89000,0,Сокольники,Старослободская ,16/17,Сокольники
21,ID 121561507,homeowner,https://www.cian.ru/rent/flat/307278369/,Москва,rent,flat,14,23,1,40.0,90000,0,Лефортово,Красноказарменная ,14Ак2,Авиамоторная
22,ID 46104545,homeowner,https://www.cian.ru/rent/flat/273123206/,Москва,rent,flat,16,16,1,44.1,105000,0,Лефортово,проезд Невельского,3к1,Авиамоторная
23,АКРУС-сити,real_estate_agent,https://www.cian.ru/rent/flat/278475310/,Москва,rent,flat,10,12,3,65.0,75000,0,Басманный, Госпитальный Вал,3К5,Лефортово
24,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307628673/,Москва,rent,flat,2,10,1,35.0,72000,0,Лефортово, Золоторожский Вал,8,Серп и Молот
