,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307716301/,Москва,rent,flat,6,20,1,30.0,65000,0,Даниловский,проспект Лихачева,12к2,Автозаводская
1,Елена Стометова,realtor,https://www.cian.ru/rent/flat/307687750/,Москва,rent,flat,8,10,1,40.0,60000,0,Нагатино-Садовники,Нагатинская набережная,20К2,Автозаводская
2,Юлия Александрочкина,realtor,https://www.cian.ru/rent/flat/307685278/,Москва,rent,flat,17,21,1,43.1,140000,0,Даниловский, Виктора Маслова,2,Автозаводская
3,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307672606/,Москва,rent,flat,2,24,1,30.0,75000,0,Даниловский,Автозаводская ,23Бк2,Автозаводская
4,Александр Гайдуков,realtor,https://www.cian.ru/rent/flat/307659205/,Москва,rent,flat,2,9,1,38.0,50000,0,Южнопортовый, Петра Романова,1,Автозаводская
5,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307657226/,Москва,rent,flat,4,9,1,30.0,60000,0,Нагатинский затон,проспект Андропова,33К2,Автозаводская
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307653193/,Москва,rent,flat,6,20,1,30.0,70000,0,Даниловский,проспект Лихачева,12к2,Автозаводская
7,ID 234792,real_estate_agent,https://www.cian.ru/rent/flat/307650017/,Москва,rent,flat,6,20,1,26.0,69000,0,Даниловский,проспект Лихачева,12к1,Автозаводская
8,Ирина Ляликова,realtor,https://www.cian.ru/rent/flat/307628260/,Москва,rent,flat,15,24,1,30.0,89900,0,Даниловский,проспект Андропова,10,Автозаводская
9,ID 102999917,unknown,https://www.cian.ru/rent/flat/307627422/,Москва,rent,flat,12,16,1,46.0,90000,0,Даниловский,Автозаводская ,23С120,Автозаводская
10,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307610299/,Москва,rent,flat,8,13,1,49.0,120000,0,Южнопортовый,6-я Кожуховская ,11К2,Автозаводская
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605476/,Москва,rent,flat,2,5,1,32.0,85000,0,Даниловский, Симоновский Вал,24К2,Автозаводская
12,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307605417/,Москва,rent,flat,14,17,1,40.0,70000,0,Южнопортовый, Трофимова,32К1,Автозаводская
13,ID 11284301,homeowner,https://www.cian.ru/rent/flat/307578806/,Москва,rent,flat,4,25,1,43.4,110000,0,Даниловский,Автозаводская ,23Бк2,Автозаводская
14,MFC Capital,real_estate_agent,https://www.cian.ru/rent/flat/307564438/,Москва,rent,flat,11,16,1,39.0,120000,0,Даниловский, Архитектора Щусева,4к2,Автозаводская
15,Три Ступени,real_estate_agent,https://www.cian.ru/rent/flat/307525027/,Москва,rent,flat,11,30,1,40.0,80000,0,Южнопортовый, 1-я Машиностроения,10,Автозаводская
16,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307481433/,Москва,rent,flat,5,6,1,46.0,110000,0,Даниловский, Архитектора Щусева,2к1,Автозаводская
17,ID 94714520,unknown,https://www.cian.ru/rent/flat/307478789/,Москва,rent,flat,11,16,1,41.0,95000,0,Даниловский,Автозаводская ,23С120,Автозаводская
18,Елена Закора,realtor,https://www.cian.ru/rent/flat/307345481/,Москва,rent,flat,3,4,1,30.0,53000,0,Даниловский,Автозаводская ,23С928,Автозаводская
19,ID 51429155,realtor,https://www.cian.ru/rent/flat/307308152/,Москва,rent,flat,22,24,1,30.0,110000,0,Даниловский,проспект Андропова,10,Автозаводская
20,ID 584903,homeowner,https://www.cian.ru/rent/flat/307286467/,Москва,rent,flat,5,14,1,32.0,95000,0,Даниловский,проспект Лихачева,16к4,Автозаводская
21,ID 67029,realtor,https://www.cian.ru/rent/flat/307275961/,Москва,rent,flat,2,5,1,30.5,49000,0,Даниловский, Симоновский Вал,20К2,Автозаводская
