,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307723977/,Москва,rent,flat,6,12,1,38.0,80000,0,Академический,Большая Черемушкинская ,20К4,Академическая
1,Ирина Михалина,realtor,https://www.cian.ru/rent/flat/307722501/,Москва,rent,flat,4,5,1,30.0,45000,0,Академический,Большая Черемушкинская ,8к1,Академическая
2,ID 122170844,realtor,https://www.cian.ru/rent/flat/307719747/,Москва,rent,flat,4,14,1,39.2,60000,0,Академический,Большая Черемушкинская ,2К6,Академическая
3,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307717564/,Москва,rent,flat,1,5,1,20.0,50000,0,Академический,Большая Черемушкинская ,40К2,Академическая
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307702120/,Москва,rent,flat,1,5,1,25.0,50000,0,Академический,Большая Черемушкинская ,40К2,Академическая
5,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307700371/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Академическая
6,ID 446076,realtor,https://www.cian.ru/rent/flat/307689444/,Москва,rent,flat,2,5,1,34.4,60000,0,Котловка, Ремизова,4,Академическая
7,ID 238591,realtor,https://www.cian.ru/rent/flat/307685554/,Москва,rent,flat,16,26,1,56.0,99000,0,Гагаринский,Ленинский проспект,67к1,Академическая
8,ID 134808,unknown,https://www.cian.ru/rent/flat/307683896/,Москва,rent,flat,10,17,1,40.0,65000,0,Котловка, Дмитрия Ульянова,47,Академическая
9,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307681345/,Москва,rent,flat,15,19,1,37.0,79500,0,Академический, Дмитрия Ульянова,23к1,Академическая
10,Жилсоцгарантия,real_estate_agent,https://www.cian.ru/rent/flat/307668640/,Москва,rent,flat,6,7,1,45.3,100000,0,Гагаринский, Строителей,4К3,Академическая
11,Ирина Терезинова,realtor,https://www.cian.ru/rent/flat/307662481/,Москва,rent,flat,6,13,1,39.0,60000,0,Гагаринский,проспект 60-летия Октября,5К4,Академическая
12,ID 93921447,unknown,https://www.cian.ru/rent/flat/307658988/,Москва,rent,flat,4,5,1,32.0,50000,0,Академический, Шверника,6К1,Академическая
13,Виктор Плотников,realtor,https://www.cian.ru/rent/flat/307655071/,Москва,rent,flat,1,9,1,20.0,50000,0,Академический, Кржижановского,28,Академическая
14,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307635931/,Москва,rent,flat,7,9,1,36.0,45000,0,Донской,Загородное шоссе,8кВ,Академическая
15,ID 53602860,unknown,https://www.cian.ru/rent/flat/307635832/,Москва,rent,flat,4,12,1,40.0,80000,0,Котловка,Большая Черемушкинская ,5К1,Академическая
16,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307635745/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Академическая
17,Виктор Плотников,realtor,https://www.cian.ru/rent/flat/307629672/,Москва,rent,flat,1,5,1,25.0,60000,0,Академический, Кржижановского,17К1,Академическая
18,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625844/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Академическая
19,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307612258/,Москва,rent,flat,12,17,1,36.1,70000,0,Академический,Новочеремушкинская ,20/23,Академическая
20,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Академическая
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605472/,Москва,rent,flat,3,4,1,35.0,65000,0,Академический, Вавилова,35К1,Академическая
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307587819/,Москва,rent,flat,19,19,1,40.0,85000,0,Академический, Дмитрия Ульянова,27к1,Академическая
23,ID 5677,realtor,https://www.cian.ru/rent/flat/307566563/,Москва,rent,flat,5,5,1,31.0,40000,0,Котловка,Большая Черемушкинская ,15К1,Академическая
24,ID 92082754,homeowner,https://www.cian.ru/rent/flat/307551654/,Москва,rent,flat,3,4,1,35.0,65000,0,Академический, Вавилова,35К1,Академическая
25,Олег Акулов,realtor,https://www.cian.ru/rent/flat/307528085/,Москва,rent,flat,1,17,1,40.0,70000,0,Академический, Дмитрия Ульянова,28К2,Академическая
26,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307484734/,Москва,rent,flat,7,19,1,37.0,130000,0,Академический, Дмитрия Ульянова,27,Академическая
27,Надежда Канькова,realtor,https://www.cian.ru/rent/flat/307483523/,Москва,rent,flat,6,8,1,39.0,80000,0,Гагаринский, Губкина,4,Академическая
