,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Самолет Плюс Марьино,real_estate_agent,https://www.cian.ru/rent/flat/307682143/,Москва,rent,flat,10,17,2,58.4,70000,0,Братеево, Борисовские Пруды,34К1,Алма-Атинская
1,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307661492/,Москва,rent,flat,12,17,2,65.0,65000,0,Братеево, Борисовские Пруды,24/2,Алма-Атинская
2,Аида Абдуллаева,realtor,https://www.cian.ru/rent/flat/307539643/,Москва,rent,flat,5,14,2,52.4,80000,0,Братеево,Паромная ,7К2,Алма-Атинская
3,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307023742/,Москва,rent,flat,1,17,2,58.4,67900,0,Братеево, Борисовские Пруды,24/2,Алма-Атинская
4,ID 26292,homeowner,https://www.cian.ru/rent/flat/299633404/,Москва,rent,flat,8,14,2,50.2,80000,0,Братеево,Алма-Атинская ,4,Алма-Атинская
5,ID 12904045,realtor,https://www.cian.ru/rent/flat/299592571/,Москва,rent,flat,4,14,2,52.2,65000,0,Братеево,Братеевская ,25К1,Алма-Атинская
6,ID 109810205,homeowner,https://www.cian.ru/rent/flat/294933087/,Москва,rent,flat,6,17,2,57.4,60000,0,Зябликово, Мусы Джалиля,5К2,Алма-Атинская
7,Дмитрий Шевченко,realtor,https://www.cian.ru/rent/flat/273466726/,Москва,rent,flat,6,14,2,57.0,70000,0,Братеево,Братеевская ,33К2,Алма-Атинская
8,ДИАЛОГ ГАРАНТ,real_estate_agent,https://www.cian.ru/rent/flat/234481769/,Москва,rent,flat,14,14,2,56.0,60000,0,Братеево,Паромная ,7К3,Алма-Атинская
9,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307107899/,Москва,rent,flat,6,9,2,48.0,50000,0,Орехово-Борисово Южное,Ореховый бульвар,12К2,Домодедовская
10,ID 23336317,homeowner,https://www.cian.ru/rent/flat/249603821/,Москва,rent,flat,11,17,1,39.0,60000,0,Братеево, Борисовские Пруды,14К2,Алма-Атинская
11,ID 17267044,homeowner,https://www.cian.ru/rent/flat/232711796/,Москва,rent,flat,5,9,2,45.0,60000,0,Зябликово,Кустанайская ,6К3,Шипиловская
12,ID 536041,homeowner,https://www.cian.ru/rent/flat/307346028/,Москва,rent,flat,16,25,1,38.6,69000,0,Братеево,Ключевая ,20,Алма-Атинская
13,Ирина Артамонова,realtor,https://www.cian.ru/rent/flat/307229679/,Москва,rent,flat,9,17,2,53.0,57000,0,Марьино,Новочеркасский бульвар,47,Марьино
14,ID 370585,realtor,https://www.cian.ru/rent/flat/307310153/,Москва,rent,flat,9,10,2,56.0,58000,0,Южное Бутово, Адмирала Лазарева,74,Бунинская аллея
15,ID 76871139,homeowner,https://www.cian.ru/rent/flat/307264709/,Москва,rent,flat,10,17,3,77.0,85000,0,Марьино,Братиславская ,15К1,Братиславская
16,ID 1259,realtor,https://www.cian.ru/rent/flat/306541947/,Москва,rent,flat,8,14,1,39.0,47000,0,Братеево,Братеевская ,39/12,Алма-Атинская
17,Валерий Алексеев,realtor,https://www.cian.ru/rent/flat/307384343/,Москва,rent,flat,7,14,1,42.0,48000,0,Марьино,Новочеркасский бульвар,36,Марьино
18,Елена Стометова,realtor,https://www.cian.ru/rent/flat/307561705/,Москва,rent,flat,3,9,2,45.0,60000,0,Марьино,Новочеркасский бульвар,9,Курьяново
19,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307429622/,Москва,rent,flat,1,9,3,76.0,65000,0,Зябликово,Шипиловская ,41К1,Шипиловская
20,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307650394/,Москва,rent,flat,14,18,1,38.0,45000,0,Марьино,Братиславская ,26,Братиславская
21,МГСН,real_estate_agent,https://www.cian.ru/rent/flat/307385510/,Москва,rent,flat,13,17,1,38.1,48000,0,Зябликово, Мусы Джалиля,29К1,Красногвардейская
22,Максим Тарасов,realtor,https://www.cian.ru/rent/flat/306692133/,Москва,rent,flat,7,25,2,71.0,73000,0,Печатники, Гурьянова,19К2,Печатники
23,ID 12694494,realtor,https://www.cian.ru/rent/flat/307656754/,Москва,rent,flat,5,9,3,50.0,60000,0,Орехово-Борисово Северное, Генерала Белова,19К1,Домодедовская
24,Владислав Заименко,realtor,https://www.cian.ru/rent/flat/307588001/,Москва,rent,flat,8,15,2,52.0,70000,0,Царицыно,Пролетарский проспект,25,Кантемировская
