,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 91115377,realtor,https://mytishchi.cian.ru/rent/flat/307726504/,Москва,rent,flat,2,7,1,31.8,35000,0,,бульвар Тенистый,11,Алтуфьево
1,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307721164/,Москва,rent,flat,6,16,1,38.0,40000,0,Бибирево, Лескова,17,Алтуфьево
2,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307715653/,Москва,rent,flat,7,16,1,36.0,55000,0,Алтуфьевский,Бибиревская ,7К2,Алтуфьево
3,ID 61461449,homeowner,https://mytishchi.cian.ru/rent/flat/307713734/,Москва,rent,flat,15,17,1,31.0,39000,0,, Советская,3А,Алтуфьево
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307704865/,Москва,rent,flat,3,9,1,35.0,60000,0,Алтуфьевский,проезд Черского,7,Алтуфьево
5,ID 16652,realtor,https://www.cian.ru/rent/flat/307699203/,Москва,rent,flat,10,12,1,39.1,60000,0,Бибирево, Плещеева,18,Алтуфьево
6,ID 47643263,realtor,https://www.cian.ru/rent/flat/307680098/,Москва,rent,flat,1,22,1,40.0,55000,0,Бибирево,Алтуфьевское шоссе,92,Алтуфьево
7,ID 65681094,homeowner,https://mytishchi.cian.ru/rent/flat/307671244/,Москва,rent,flat,16,16,1,42.0,40000,0,, Сазонова,5,Алтуфьево
8,Лабецкий Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307627386/,Москва,rent,flat,9,20,1,40.8,65000,0,Алтуфьевский,Бибиревская ,4А,Алтуфьево
9,Анастасия Васильева,realtor,https://mytishchi.cian.ru/rent/flat/307602745/,Москва,rent,flat,6,6,1,30.0,37000,0,,бульвар Тенистый,3,Алтуфьево
10,Виктория Геннадьевна Иванова,realtor,https://www.cian.ru/rent/flat/307585102/,Москва,rent,flat,1,12,1,39.0,70000,0,Бибирево,Мурановская ,21А,Алтуфьево
11,ID 121837992,homeowner,https://mytishchi.cian.ru/rent/flat/307528014/,Москва,rent,flat,17,22,1,37.2,50000,0,Датский квартал ЖК, Полковника Романова,5,
12,Корона,real_estate_agent,https://www.cian.ru/rent/flat/307502664/,Москва,rent,flat,14,16,1,37.0,55000,0,Лианозово,Череповецкая ,22,Алтуфьево
13,ID 80263326,unknown,https://mytishchi.cian.ru/rent/flat/307495800/,Москва,rent,flat,3,7,1,32.3,33000,0,,бульвар Тенистый,6,Алтуфьево
14,ПЕРСОНА,real_estate_agent,https://www.cian.ru/rent/flat/307464604/,Москва,rent,flat,10,22,1,40.0,60000,0,Бибирево,Алтуфьевское шоссе,92,Алтуфьево
15,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307385602/,Москва,rent,flat,1,16,1,36.0,47000,0,Бибирево,Белозерская ,17,Алтуфьево
16,НейроДВИЖимость,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307369190/,Москва,rent,flat,1,10,1,41.0,30000,0,д. Пирогово, Ильинского,7,
17,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307336824/,Москва,rent,flat,8,12,1,42.0,45000,0,Лианозово,Абрамцевская ,18,Алтуфьево
