,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Татьяна Кузьмина,realtor,https://www.cian.ru/rent/flat/307755432/,Москва,rent,flat,17,33,1,42.0,100000,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская
1,Дарья Хлыстова,realtor,https://www.cian.ru/rent/flat/307745937/,Москва,rent,flat,25,43,1,35.0,100000,0,Раменки, Василия Ланового,1к2,Аминьевская
2,Happiness in the house,real_estate_agent,https://www.cian.ru/rent/flat/307725191/,Москва,rent,flat,18,33,1,43.0,104999,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская
3,Happiness in the house,real_estate_agent,https://www.cian.ru/rent/flat/307721290/,Москва,rent,flat,13,17,1,34.0,109999,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская
4,Арбат Престиж,real_estate_agent,https://www.cian.ru/rent/flat/307721099/,Москва,rent,flat,21,31,1,36.0,110000,0,Раменки, Лобачевского,120к1,Аминьевская
5,ID 82128869,homeowner,https://www.cian.ru/rent/flat/307716802/,Москва,rent,flat,8,32,1,34.0,99900,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307700306/,Москва,rent,flat,13,17,1,34.0,110000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская
7,ID 90374476,unknown,https://www.cian.ru/rent/flat/307680902/,Москва,rent,flat,7,18,1,40.0,70000,0,Очаково-Матвеевское, Наташи Ковшовой,23,Аминьевская
8,Дарья Хлыстова,realtor,https://www.cian.ru/rent/flat/307677261/,Москва,rent,flat,29,43,1,33.0,100000,0,Раменки, Василия Ланового,1к2,Аминьевская
9,Захар Холостов,realtor,https://www.cian.ru/rent/flat/307670938/,Москва,rent,flat,13,29,1,42.0,120000,0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,Аминьевская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307661693/,Москва,rent,flat,34,35,1,34.0,95000,0,Раменки, Василия Ланового,1к2,Аминьевская
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307636546/,Москва,rent,flat,5,33,1,38.0,95000,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская
12,ID 82481176,unknown,https://www.cian.ru/rent/flat/307613887/,Москва,rent,flat,16,32,1,42.0,120000,0,Раменки, Лобачевского,120к1,Аминьевская
13,Евгения Марковская,realtor,https://www.cian.ru/rent/flat/307577791/,Москва,rent,flat,6,30,1,32.0,100000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская
14,ID 26558494,homeowner,https://www.cian.ru/rent/flat/307569971/,Москва,rent,flat,5,33,1,38.0,95000,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская
15,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307563342/,Москва,rent,flat,36,43,1,28.0,100000,0,Раменки, Василия Ланового,1к1,Аминьевская
16,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307542918/,Москва,rent,flat,13,17,1,34.0,117000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307522550/,Москва,rent,flat,36,43,1,28.0,100000,0,Раменки, Василия Ланового,1к1,Аминьевская
18,ID 136022,unknown,https://www.cian.ru/rent/flat/307520693/,Москва,rent,flat,15,25,1,50.0,85900,0,Раменки, Лобачевского,118к2,Аминьевская
19,ЛендЛар,real_estate_agent,https://www.cian.ru/rent/flat/307462332/,Москва,rent,flat,11,35,1,42.0,110000,0,Раменки, Лобачевского,120к1,Аминьевская
20,ID 130880,realtor,https://www.cian.ru/rent/flat/307403515/,Москва,rent,flat,12,31,1,37.0,100000,0,Раменки, Лобачевского,120к1,Аминьевская
21,Юлия Иванова,realtor,https://www.cian.ru/rent/flat/307403418/,Москва,rent,flat,40,43,1,36.0,90000,0,Раменки, Василия Ланового,1к1,Аминьевская
22,ID 96475414,realtor,https://www.cian.ru/rent/flat/307382847/,Москва,rent,flat,20,33,1,32.1,80000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская
23,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307362308/,Москва,rent,flat,3,17,1,31.7,99900,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская
24,ID 16613,realtor,https://www.cian.ru/rent/flat/307347830/,Москва,rent,flat,35,37,1,38.0,80000,0,Раменки,Мосфильмовская ,98к2,Аминьевская
25,ID 348873,realtor,https://www.cian.ru/rent/flat/307337137/,Москва,rent,flat,9,43,1,31.0,80000,0,Раменки, Василия Ланового,1к2,Аминьевская
26,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307320094/,Москва,rent,flat,7,30,1,45.1,89000,0,Раменки, Лобачевского,118к1,Аминьевская
27,Сергей Медведев,realtor,https://www.cian.ru/rent/flat/307316968/,Москва,rent,flat,21,28,1,36.0,115000,0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литВ,Аминьевская
