,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Елена Батюк,realtor,https://www.cian.ru/rent/flat/307726561/,Москва,rent,flat,12,26,2,56.0,78000,0,Чертаново Южное,Варшавское шоссе,170Ек11,Аннино
1,ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307657352/,Москва,rent,flat,33,33,2,40.0,65000,0,Чертаново Южное,Дорожная ,46к5,Аннино
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307656479/,Москва,rent,flat,7,26,2,57.0,120000,0,Чертаново Южное,Варшавское шоссе,141к12,Аннино
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307656317/,Москва,rent,flat,15,25,2,70.0,100000,0,Чертаново Южное,Варшавское шоссе,141к10,Аннино
4,Александр Владимирович Михайловский,realtor,https://www.cian.ru/rent/flat/307649376/,Москва,rent,flat,9,26,2,60.0,100000,0,Чертаново Южное,Варшавское шоссе,170Ек1,Аннино
5,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307639924/,Москва,rent,flat,15,25,2,68.0,100000,0,Чертаново Южное,Варшавское шоссе,141к10,Аннино
6,ID 13635289,homeowner,https://www.cian.ru/rent/flat/307636874/,Москва,rent,flat,7,26,2,57.0,120000,0,Чертаново Южное,Варшавское шоссе,141к12,Аннино
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613183/,Москва,rent,flat,2,17,2,54.0,75000,0,Чертаново Южное,Варшавское шоссе,152К3,Аннино
8,ID 208669,realtor,https://www.cian.ru/rent/flat/307612676/,Москва,rent,flat,10,13,2,47.0,75000,0,Чертаново Южное,Варшавское шоссе,141к11,Аннино
9,Денис Иванченко,realtor,https://www.cian.ru/rent/flat/307608017/,Москва,rent,flat,17,19,2,60.0,105000,0,Чертаново Южное,Варшавское шоссе,170Ек9,Аннино
10,Гор Караханян,realtor,https://www.cian.ru/rent/flat/307414193/,Москва,rent,flat,15,22,2,70.0,110000,0,Чертаново Южное, Академика Янгеля,1к1,Аннино
11,ID 63321,realtor,https://www.cian.ru/rent/flat/307379475/,Москва,rent,flat,3,12,2,45.0,62000,0,Чертаново Южное,Кировоградская ,44К2,Аннино
12,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307377008/,Москва,rent,flat,6,20,2,36.1,76000,0,Чертаново Южное,Дорожная ,46к6,Аннино
13,Евгений Сопов,realtor,https://www.cian.ru/rent/flat/307360898/,Москва,rent,flat,10,26,2,57.0,80000,0,Чертаново Южное,Варшавское шоссе,170Ек8,Аннино
14,Елена Соболева,realtor,https://www.cian.ru/rent/flat/307345553/,Москва,rent,flat,10,33,2,37.0,80000,0,Чертаново Южное,Дорожная ,46к5,Аннино
15,ID 529,realtor,https://www.cian.ru/rent/flat/307302583/,Москва,rent,flat,9,9,2,47.0,65000,0,Чертаново Южное,Россошанская ,3К2,Аннино
16,Елена Назарова,realtor,https://www.cian.ru/rent/flat/307111693/,Москва,rent,flat,12,17,2,54.0,65000,0,Чертаново Южное,Россошанская ,2К5,Аннино
17,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/306773041/,Москва,rent,flat,5,33,2,33.0,64000,0,Чертаново Южное,Дорожная ,46к5,Аннино
18,Московский Дом,real_estate_agent,https://www.cian.ru/rent/flat/305154793/,Москва,rent,flat,4,14,2,47.1,50000,0,Чертаново Южное,Чертановская ,63К2,Аннино
19,ID 1320592,realtor,https://www.cian.ru/rent/flat/301598627/,Москва,rent,flat,9,19,2,60.0,117000,0,Чертаново Южное,Варшавское шоссе,168,Аннино
20,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307442767/,Москва,rent,flat,22,25,1,40.3,57700,0,Южное Бутово, Поляны,5Ак1,Улица Скобелевская
21,ID 106339463,homeowner,https://www.cian.ru/rent/flat/307631909/,Москва,rent,flat,2,12,1,31.6,55000,0,Чертаново Южное,Кировоградская ,44К2,Аннино
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307611527/,Москва,rent,flat,4,16,2,42.0,60000,0,Южное Бутово,Краснолиманская ,29,Бутово
23,Майя Борисовна Мальсагова,realtor,https://www.cian.ru/rent/flat/307553142/,Москва,rent,flat,18,26,2,38.0,65000,0,Чертаново Южное,Варшавское шоссе,141Ак1,Аннино
24,RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/307588134/,Москва,rent,flat,3,9,2,56.0,60000,0,Чертаново Центральное,Днепропетровская ,5К2,Южная
