,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яля Дуплинская,realtor,https://aprelevka.cian.ru/rent/flat/307708837/,Москва,rent,flat,2,3,1,44.0,46000,0,,переулок Цветочный,21,Апрелевка
1,ID 16227238,homeowner,https://golitsyno.cian.ru/rent/flat/307666806/,Москва,rent,flat,14,17,1,49.9,50000,0,,бульвар Генерала Ремезова,10,Апрелевка
2,АМК-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307656694/,Москва,rent,flat,1,3,1,35.0,28000,0,, Генерала Донскова,29к2,Апрелевка
3,ID 48158683,homeowner,https://aprelevka.cian.ru/rent/flat/307403859/,Москва,rent,flat,4,15,1,51.1,53000,0,, Дубки,15,Апрелевка
4,ID 74402,realtor,https://aprelevka.cian.ru/rent/flat/307343296/,Москва,rent,flat,3,7,1,47.2,40000,0,, Жасминовая,6,Апрелевка
5,ID 47016210,realtor,https://aprelevka.cian.ru/rent/flat/307322072/,Москва,rent,flat,6,8,1,41.0,45000,0,, Ясная,8,Апрелевка
6,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307261073/,Москва,rent,flat,2,4,1,35.0,35000,0,, Центральная,12к1,Апрелевка
7,Иосиф Топский,realtor,https://www.cian.ru/rent/flat/307224955/,Москва,rent,flat,2,3,1,47.0,30000,0,, Генерала Донскова,27к2,Апрелевка
8,ID 351925,homeowner,https://www.cian.ru/rent/flat/306637866/,Москва,rent,flat,3,3,1,46.0,85000,0,, Генерала Донскова,25к2,Апрелевка
9,Вега,real_estate_agent,https://aprelevka.cian.ru/rent/flat/306051676/,Москва,rent,flat,4,9,1,36.0,45000,0,, Ясная,1к3,Апрелевка
10,ID 12815580,unknown,https://naro-fominsk.cian.ru/rent/flat/305314464/,Москва,rent,flat,2,5,1,40.0,25000,0,,,,
11,ID 378436,homeowner,https://www.cian.ru/rent/flat/304884342/,Москва,rent,flat,2,4,1,45.0,50000,0,Новая Москва, Школьная,13к2,Апрелевка
12,Олеся Куртасова,realtor,https://odintsovo.cian.ru/rent/flat/303025995/,Москва,rent,flat,3,5,1,31.0,23000,0,Большие Вяземы рп, Городок-17,15,
13,Олеся Левина,realtor,https://www.cian.ru/rent/flat/299997701/,Москва,rent,flat,1,3,1,36.0,31000,0,, Вышгородская,16,Апрелевка
14,ID 20602186,homeowner,https://www.cian.ru/rent/flat/292590294/,Москва,rent,flat,7,9,1,43.0,35000,0,, Семена Гордого,1,Апрелевка
15,Марина Хританкова,realtor,https://aprelevka.cian.ru/rent/flat/292439422/,Москва,rent,flat,4,4,1,32.0,55000,0,, Парк Апрель,32,Апрелевка
16,ГаранТ,real_estate_agent,https://naro-fominsk.cian.ru/rent/flat/274641910/,Москва,rent,flat,4,5,1,35.0,65000,0,Калининец рп, Фабричная,13,
17,ID 109107273,homeowner,https://odintsovo.cian.ru/rent/flat/307252823/,Москва,rent,flat,14,17,2,52.0,25000,0,, Триумфальная,4,Одинцово
18,Визави,real_estate_agent,https://zvenigorod.cian.ru/rent/flat/307385000/,Москва,rent,flat,3,5,1,35.0,25000,0,Шихово мкр, Кирова,78к2,
19,Олеся Девяткина,realtor,https://naro-fominsk.cian.ru/rent/flat/307125228/,Москва,rent,flat,5,5,2,54.0,31000,0,Наро-Фоминск, Маршала Куркоткина,3,
20,ID 85560843,homeowner,https://odintsovo.cian.ru/rent/flat/289730168/,Москва,rent,flat,5,8,1,23.0,30000,0,,,,
21,Светлана Никутина,realtor,https://odintsovo.cian.ru/rent/flat/274702323/,Москва,rent,flat,3,17,2,62.0,48000,0,, Кутузовская,9,Сколково
22,Сити Недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307224058/,Москва,rent,flat,1,1,2,45.0,38000,0,,,,
23,EMPIRE HOME,real_estate_agent,https://naro-fominsk.cian.ru/rent/flat/296759418/,Москва,rent,flat,2,4,2,42.0,20000,0,,,,
