,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Елена Маранова,realtor,https://www.cian.ru/rent/flat/307716655/,Москва,rent,flat,3,8,2,54.0,130000,0,Арбат,Большой Николопесковский переулок,12,Арбатская
1,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307713163/,Москва,rent,flat,3,5,2,80.0,260000,0,Арбат,Гоголевский бульвар,25С1,Арбатская
2,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307701561/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Арбатская
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307676545/,Москва,rent,flat,5,8,2,44.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Арбатская
4,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307635696/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Арбатская
5,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307594411/,Москва,rent,flat,5,9,2,40.0,130000,0,Арбат,переулок Калошин,6С1,Арбатская
6,Роман Пятин,realtor,https://www.cian.ru/rent/flat/307591968/,Москва,rent,flat,12,24,2,53.9,150000,0,Арбат, Новый Арбат,26,Арбатская
7,Александр Гумиров,realtor,https://www.cian.ru/rent/flat/307591914/,Москва,rent,flat,6,7,2,44.0,140000,0,Арбат,Гоголевский бульвар,27,Арбатская
8,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Арбатская
9,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307480940/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Арбатская
10,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Арбатская
11,ID 762067,realtor,https://www.cian.ru/rent/flat/307383076/,Москва,rent,flat,4,9,2,44.0,120000,0,Арбат,переулок Калошин,6С1,Арбатская
12,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307341637/,Москва,rent,flat,5,7,2,80.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Арбатская
13,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307339783/,Москва,rent,flat,5,7,2,77.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Арбатская
14,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307322751/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Арбатская
15,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307217776/,Москва,rent,flat,5,6,2,100.0,350000,0,Пресненский,Мерзляковский переулок,13,Арбатская
16,ЛАРТ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307215484/,Москва,rent,flat,6,12,2,38.2,120000,0,Арбат,Староконюшенный переулок,30,Арбатская
17,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307097455/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Арбатская
18,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307094176/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Арбатская
19,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307046880/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Арбатская
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306993922/,Москва,rent,flat,5,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Арбатская
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306988264/,Москва,rent,flat,12,12,2,65.0,180000,0,Пресненский,Большая Никитская ,43,Арбатская
22,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306980331/,Москва,rent,flat,5,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Арбатская
23,Марк Гойг,realtor,https://www.cian.ru/rent/flat/306977757/,Москва,rent,flat,12,12,2,65.0,170000,0,Пресненский,Большая Никитская ,43,Арбатская
24,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306949697/,Москва,rent,flat,5,7,2,75.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Арбатская
25,Дмитрий Рублев,realtor,https://www.cian.ru/rent/flat/306932614/,Москва,rent,flat,5,7,2,55.4,140000,0,Пресненский,Никитский бульвар,12,Арбатская
26,ID 99146104,homeowner,https://www.cian.ru/rent/flat/306894363/,Москва,rent,flat,5,7,2,77.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Арбатская
27,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306834112/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Арбатская
