,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 103353511,realtor,https://www.cian.ru/rent/flat/307777381/,Москва,rent,flat,22,25,2,90.0,100000,0,, Радужная,14к1,Аэропорт Внуково
1,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307772323/,Москва,rent,flat,1,2,2,55.0,40000,0,, 2-я Апрельская,2,Аэропорт Внуково
2,ID 82883872,unknown,https://www.cian.ru/rent/flat/307748568/,Москва,rent,flat,7,14,2,38.6,60000,0,, Омская,1,Аэропорт Внуково
3,ID 91331,realtor,https://www.cian.ru/rent/flat/307724071/,Москва,rent,flat,10,14,2,39.8,50000,0,, Аэростатная,6к4,Аэропорт Внуково
4,ID 7467774,realtor,https://www.cian.ru/rent/flat/307716581/,Москва,rent,flat,16,27,2,65.0,65000,0,, Бианки,2к1,Аэропорт Внуково
5,ID 57975174,unknown,https://www.cian.ru/rent/flat/307708886/,Москва,rent,flat,17,19,2,53.3,80000,0,, Летчика Ульянина,,Аэропорт Внуково
6,Диос Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307707046/,Москва,rent,flat,7,12,2,46.0,65000,0,Внуково, 2-я Рейсовая,25,Аэропорт Внуково
7,Самолет Плюс МСК Ленинский проспект,real_estate_agent,https://www.cian.ru/rent/flat/307671364/,Москва,rent,flat,5,14,2,33.2,55000,0,, Аэростатная,6к4,Аэропорт Внуково
8,Антон Репин,realtor,https://www.cian.ru/rent/flat/307668500/,Москва,rent,flat,16,17,2,62.0,60000,0,, Летчика Грицевца,8,Аэропорт Внуково
9,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307666915/,Москва,rent,flat,3,17,2,51.1,60000,0,, Радужная,25,Аэропорт Внуково
10,ID 3187,realtor,https://www.cian.ru/rent/flat/307654604/,Москва,rent,flat,7,16,2,52.0,60000,0,,,22к2,Аэропорт Внуково
11,Павел Ковалев,realtor,https://www.cian.ru/rent/flat/307649976/,Москва,rent,flat,1,2,2,46.0,55000,0,Внуково, 3-я Рейсовая,15/20,Аэропорт Внуково
12,ID 121976261,homeowner,https://www.cian.ru/rent/flat/307639132/,Москва,rent,flat,6,14,2,36.7,55000,0,, Аэростатная,6к6,Аэропорт Внуково
13,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307632057/,Москва,rent,flat,11,14,2,52.8,50000,0,, Аэростатная,6к3,Аэропорт Внуково
14,ID 102943373,homeowner,https://www.cian.ru/rent/flat/307615446/,Москва,rent,flat,22,25,2,91.1,100000,0,, Радужная,14к2,Аэропорт Внуково
15,Шахрияр Гюлюшов,realtor,https://www.cian.ru/rent/flat/307606800/,Москва,rent,flat,2,17,2,58.2,70000,0,, Бианки,4к2,Аэропорт Внуково
16,ID 79716114,homeowner,https://www.cian.ru/rent/flat/307591911/,Москва,rent,flat,7,15,2,36.7,55000,0,, Стожарова,7,Аэропорт Внуково
17,Самолет Плюс,real_estate_agent,https://www.cian.ru/rent/flat/307586751/,Москва,rent,flat,3,4,2,44.0,60000,0,Внуково, Штурманская,16,Аэропорт Внуково
18,Александр Мурашов,realtor,https://www.cian.ru/rent/flat/307527176/,Москва,rent,flat,15,19,2,60.2,75000,0,, Никитина,14к1,Аэропорт Внуково
19,ID 236226,unknown,https://www.cian.ru/rent/flat/307523962/,Москва,rent,flat,4,17,2,69.8,70000,0,,,16,Аэропорт Внуково
20,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307454785/,Москва,rent,flat,12,17,2,60.0,65000,0,, Бианки,5к1,Аэропорт Внуково
21,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307433318/,Москва,rent,flat,9,14,2,51.0,55000,0,, Стожарова,7,Аэропорт Внуково
22,Алиса Максимова,realtor,https://www.cian.ru/rent/flat/307415424/,Москва,rent,flat,11,14,2,36.0,45000,0,, Аэростатная,6к3,Аэропорт Внуково
23,ID 88812188,homeowner,https://www.cian.ru/rent/flat/307220761/,Москва,rent,flat,9,14,2,32.8,60000,0,, Аэростатная,14к1,Аэропорт Внуково
24,ID 40124471,unknown,https://www.cian.ru/rent/flat/307046034/,Москва,rent,flat,9,14,2,38.0,50000,0,, Аэростатная,6к4,Аэропорт Внуково
25,Монолит Столица,real_estate_agent,https://www.cian.ru/rent/flat/306977744/,Москва,rent,flat,1,17,2,108.0,230000,0,,,10,Аэропорт Внуково
26,Наталия Сычева,realtor,https://www.cian.ru/rent/flat/306965709/,Москва,rent,flat,1,17,2,43.0,60000,0,,,4,Аэропорт Внуково
27,ID 84627845,realtor,https://www.cian.ru/rent/flat/306835369/,Москва,rent,flat,11,15,2,35.0,60000,0,, Аэростатная,12к1,Аэропорт Внуково
