,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307727244/,Москва,rent,flat,3,12,1,40.0,60000,0,Южное Медведково,Заповедная ,4,Бабушкинская
1,Сергей Комбаров,realtor,https://www.cian.ru/rent/flat/307726968/,Москва,rent,flat,6,19,1,29.0,50000,0,Северное Медведково,Широкая ,30,Бабушкинская
2,ID 91115377,realtor,https://mytishchi.cian.ru/rent/flat/307726504/,Москва,rent,flat,2,7,1,31.8,35000,0,,бульвар Тенистый,11,Бабушкинская
3,ID 106243903,homeowner,https://mytishchi.cian.ru/rent/flat/307724397/,Москва,rent,flat,9,17,1,32.5,45000,0,, Стрельбище Динамо,10,Бабушкинская
4,Яндекс Аренда,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307723404/,Москва,rent,flat,14,17,1,35.0,46000,0,, Стрельбище Динамо,10,Бабушкинская
5,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307722891/,Москва,rent,flat,1,18,1,38.0,50000,0,Северное Медведково,Полярная ,42К1,Бабушкинская
6,Про Жильё,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307722507/,Москва,rent,flat,6,17,1,35.0,45000,0,, Борисовка,8А,Бабушкинская
7,ID 49747789,homeowner,https://mytishchi.cian.ru/rent/flat/307718896/,Москва,rent,flat,20,25,1,42.0,45000,0,, Борисовка,28,Бабушкинская
8,ID 61461449,homeowner,https://mytishchi.cian.ru/rent/flat/307713734/,Москва,rent,flat,15,17,1,31.0,39000,0,, Советская,3А,Бабушкинская
9,Агентство Решения Жилищных Вопросов,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307709528/,Москва,rent,flat,11,17,1,32.0,44000,0,,переулок 1-й Стрелковый,1,Бабушкинская
10,ID 27634,realtor,https://www.cian.ru/rent/flat/307709211/,Москва,rent,flat,9,9,1,35.0,55000,0,Северное Медведково,проезд Шокальского,34,Бабушкинская
11,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307706860/,Москва,rent,flat,10,12,1,40.0,65000,0,Южное Медведково, Молодцова,1А,Бабушкинская
12,Ирина Лискина,realtor,https://www.cian.ru/rent/flat/307705403/,Москва,rent,flat,30,33,1,41.0,75000,0,Южное Медведково,Полярная ,25к2,Бабушкинская
13,Ольга Титова,realtor,https://www.cian.ru/rent/flat/307693638/,Москва,rent,flat,8,17,1,35.0,80000,0,Северное Медведково, Грекова,5,Бабушкинская
14,ID 96601,homeowner,https://www.cian.ru/rent/flat/307693486/,Москва,rent,flat,11,17,1,38.0,55000,0,Лосиноостровский, Малыгина,8,Бабушкинская
15,Д-Эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307693034/,Москва,rent,flat,10,17,1,37.4,63000,0,Бабушкинский, Чичерина,12/2,Бабушкинская
16,Golden Key,real_estate_agent,https://www.cian.ru/rent/flat/307686646/,Москва,rent,flat,1,4,1,33.0,45000,0,Бабушкинский, Менжинского,15К2,Бабушкинская
17,ID 98253909,homeowner,https://mytishchi.cian.ru/rent/flat/307684252/,Москва,rent,flat,8,17,1,34.0,45000,0,, Стрельбище Динамо,10,Бабушкинская
18,Дом+,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307683057/,Москва,rent,flat,12,17,1,31.0,40000,0,,переулок 1-й Стрелковый,3,Бабушкинская
19,НАСЛЕДИЕ,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307680893/,Москва,rent,flat,4,18,1,38.0,43000,0,, Воронина,14,Бабушкинская
20,АПРИОРИ ЭСТЕЙТ,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307679757/,Москва,rent,flat,3,17,1,46.0,53000,0,, Воровского,1,Бабушкинская
21,ID 13996074,unknown,https://www.cian.ru/rent/flat/307675638/,Москва,rent,flat,17,25,1,32.0,85000,0,Бабушкинский,Кольская ,8к2,Бабушкинская
22,ID 49487,realtor,https://www.cian.ru/rent/flat/307675138/,Москва,rent,flat,5,17,1,37.6,50000,0,Южное Медведково,проезд Шокальского,11,Бабушкинская
23,ID 65681094,homeowner,https://mytishchi.cian.ru/rent/flat/307671244/,Москва,rent,flat,16,16,1,42.0,40000,0,, Сазонова,5,Бабушкинская
24,ID 62156,realtor,https://www.cian.ru/rent/flat/307669665/,Москва,rent,flat,16,25,1,38.0,55000,0,Северное Медведково,Студеный проезд,14,Бабушкинская
25,ID 3182,realtor,https://mytishchi.cian.ru/rent/flat/307668677/,Москва,rent,flat,5,17,1,33.0,55000,0,Датский квартал ЖК, Полковника Романова,5,
26,ID 21982140,homeowner,https://www.cian.ru/rent/flat/307668262/,Москва,rent,flat,10,17,1,40.0,50000,0,Лосиноостровский,Стартовая ,11,Бабушкинская
27,ID 55279720,unknown,https://www.cian.ru/rent/flat/307665556/,Москва,rent,flat,8,17,1,38.0,55000,0,Свиблово,проезд Берингов,3,Бабушкинская
28,ID 85724987,unknown,https://www.cian.ru/rent/flat/307505448/,Москва,rent,flat,14,14,1,38.0,57000,0,Северное Медведково,проезд Шокальского,37К1,Бабушкинская
29,ID 436642,unknown,https://mytishchi.cian.ru/rent/flat/307505394/,Москва,rent,flat,16,16,1,42.0,38000,0,,Олимпийский проспект,36к1,Бабушкинская
30,ID 80263326,unknown,https://mytishchi.cian.ru/rent/flat/307495800/,Москва,rent,flat,3,7,1,32.3,33000,0,,бульвар Тенистый,6,Бабушкинская
31,ID 49045523,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307486602/,Москва,rent,flat,5,9,1,45.0,55000,0,,Летная ,21/2,Бабушкинская
32,ID 49045523,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307486312/,Москва,rent,flat,6,9,1,39.0,40000,0,,Олимпийский проспект,4,Бабушкинская
33,Наталья Ашурова,realtor,https://www.cian.ru/rent/flat/307485539/,Москва,rent,flat,4,5,1,22.0,42000,0,Ярославский, Егора Абакумова,2,Бабушкинская
34,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307476867/,Москва,rent,flat,13,16,1,35.0,60000,0,Южное Медведково, Молодцова,1В,Бабушкинская
35,ID 286282,realtor,https://mytishchi.cian.ru/rent/flat/307462805/,Москва,rent,flat,4,25,1,46.0,47000,0,, Борисовка,28А,Бабушкинская
36,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307454856/,Москва,rent,flat,12,25,1,20.0,80000,0,Бабушкинский,Кольская ,8к2,Бабушкинская
37,Дмитрий Корольков,realtor,https://mytishchi.cian.ru/rent/flat/307438041/,Москва,rent,flat,6,9,1,32.0,35000,0,, Терешковой,21к2,Бабушкинская
38,Абсолют Капитал Недвижимость,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307430961/,Москва,rent,flat,7,17,1,32.0,40000,0,, Стрельбище Динамо,10,Бабушкинская
39,Дмитрий Ловецкий,realtor,https://mytishchi.cian.ru/rent/flat/307411854/,Москва,rent,flat,3,5,1,32.0,33000,0,,Новомытищинский проспект,80к7,Бабушкинская
40,Юлия Качесова,realtor,https://mytishchi.cian.ru/rent/flat/307407511/,Москва,rent,flat,3,17,1,30.8,40000,0,, Стрельбище Динамо,10,Бабушкинская
41,Абсолют Капитал Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307396155/,Москва,rent,flat,2,17,1,40.0,60000,0,Северное Медведково, Молодцова,6,Бабушкинская
42,Абсолют Капитал Недвижимость,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307394530/,Москва,rent,flat,8,10,1,47.0,45000,0,,Институтская ,19к1,Бабушкинская
43,ID 24816,realtor,https://mytishchi.cian.ru/rent/flat/307382756/,Москва,rent,flat,5,17,1,38.0,40000,0,,Троицкая ,5,Бабушкинская
44,НейроДВИЖимость,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307369190/,Москва,rent,flat,1,10,1,41.0,30000,0,д. Пирогово, Ильинского,7,
45,ID 121808293,homeowner,https://mytishchi.cian.ru/rent/flat/307362563/,Москва,rent,flat,4,17,1,31.0,40000,0,,переулок 1-й Стрелковый,3,Бабушкинская
46,Алла Звоник,realtor,https://www.cian.ru/rent/flat/307358263/,Москва,rent,flat,5,5,1,32.0,45000,0,Свиблово, Амундсена,14,Бабушкинская
47,Эльвира Закирова,realtor,https://www.cian.ru/rent/flat/307337425/,Москва,rent,flat,9,12,1,32.9,53000,0,Южное Медведково, Молодцова,1А,Бабушкинская
48,Мега-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307290219/,Москва,rent,flat,9,17,1,39.0,56000,0,Бабушкинский,Ленская ,28,Бабушкинская
49,HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307258885/,Москва,rent,flat,19,33,1,42.0,65000,0,Южное Медведково,Полярная ,25к2,Бабушкинская
50,Green house realty,real_estate_agent,https://www.cian.ru/rent/flat/307257923/,Москва,rent,flat,8,14,1,38.0,55000,0,Северное Медведково, Грекова,18К4,Бабушкинская
51,ID 31430355,realtor,https://mytishchi.cian.ru/rent/flat/307228973/,Москва,rent,flat,8,10,1,40.0,37000,0,д. Пирогово, Ильинского,4к2,
52,ID 94297116,unknown,https://mytishchi.cian.ru/rent/flat/307093504/,Москва,rent,flat,17,17,1,40.0,55000,0,Датский квартал ЖК, Полковника Романова,11,
53,МЕГАПОЛИС ЭСТЕЙТ,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307080574/,Москва,rent,flat,6,9,1,32.0,49000,0,, Рождественская,2,Бабушкинская
54,Сергей Полторабатько,realtor,https://mytishchi.cian.ru/rent/flat/307066589/,Москва,rent,flat,9,25,1,49.0,54000,0,,Олимпийский проспект,12,Бабушкинская
55,ID 110179555,homeowner,https://www.cian.ru/rent/flat/306705663/,Москва,rent,flat,1,14,1,34.9,52000,0,Северное Медведково,проезд Шокальского,55к1,Бабушкинская
