,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,EMPIRE HOME,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307780906/,Москва,rent,flat,3,23,3,77.0,90000,0,, Чистяковой,18,Баковка
1,Владимир Владимиров,realtor,https://odintsovo.cian.ru/rent/flat/307773189/,Москва,rent,flat,6,12,3,70.0,44999,0,,Можайское шоссе,46,Баковка
2,YU HOME,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307754661/,Москва,rent,flat,6,12,3,70.0,45000,0,,Можайское шоссе,46,Баковка
3,ID 7150120,unknown,https://odintsovo.cian.ru/rent/flat/307740881/,Москва,rent,flat,2,9,3,100.0,130000,0,,Северная ,57А,Баковка
4,ID 16719674,homeowner,https://odintsovo.cian.ru/rent/flat/307722987/,Москва,rent,flat,2,4,3,112.0,300000,0,,,,
5,БЕСТ на Октябрьской,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307685515/,Москва,rent,flat,2,4,3,56.0,56900,0,,,,
6,ID 21412884,homeowner,https://odintsovo.cian.ru/rent/flat/307574599/,Москва,rent,flat,1,4,3,150.0,170000,0,,,,
7,Tатьяна Грек,realtor,https://odintsovo.cian.ru/rent/flat/307569728/,Москва,rent,flat,22,28,3,105.0,100000,0,,Можайское шоссе,38Г,Баковка
8,Елена Князева,realtor,https://odintsovo.cian.ru/rent/flat/307549484/,Москва,rent,flat,17,24,3,70.0,65000,0,, Чистяковой,62,Баковка
9,Марина Захарченко,realtor,https://odintsovo.cian.ru/rent/flat/307507818/,Москва,rent,flat,5,28,3,75.0,90000,0,,Можайское шоссе,122,Баковка
10,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307497820/,Москва,rent,flat,8,16,3,70.0,95000,0,,Красногорское шоссе,2,Баковка
11,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307492595/,Москва,rent,flat,22,24,3,93.0,140000,0,,Можайское шоссе,122,Баковка
12,Марина Захарченко,realtor,https://odintsovo.cian.ru/rent/flat/307414336/,Москва,rent,flat,14,16,3,67.3,75000,0,, Чикина,2,Баковка
13,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307412095/,Москва,rent,flat,13,19,3,90.0,95000,0,, Сколковская,7А,Баковка
14,Оксана Валиева,realtor,https://odintsovo.cian.ru/rent/flat/307366414/,Москва,rent,flat,1,9,3,72.3,20000,0,,,,
15,ID 141109,realtor,https://odintsovo.cian.ru/rent/flat/307359806/,Москва,rent,flat,8,9,3,62.6,59000,0,, Маршала Неделина,9,Баковка
16,Евгений Тогобицкий,realtor,https://odintsovo.cian.ru/rent/flat/307307319/,Москва,rent,flat,7,16,3,65.0,55000,0,,Садовая ,32,Баковка
17,MDco,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307065610/,Москва,rent,flat,2,5,3,130.0,135000,0,,,,
18,Циан х ПИК-Аренда,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307042563/,Москва,rent,flat,3,17,3,72.6,93000,0,, Чистяковой,18,Баковка
19,Антон Самойлов,realtor,https://odintsovo.cian.ru/rent/flat/306973023/,Москва,rent,flat,6,17,3,82.0,65000,0,,бульвар Маршала Крылова,7,Баковка
20,Владимир Владимиров,realtor,https://odintsovo.cian.ru/rent/flat/306838042/,Москва,rent,flat,2,5,3,57.0,54999,0,,Молодежная ,12,Баковка
21,ID 21295407,unknown,https://odintsovo.cian.ru/rent/flat/306804113/,Москва,rent,flat,1,4,3,150.0,170000,0,,,,
22,LLC LODESTAR CITY,real_estate_agent,https://odintsovo.cian.ru/rent/flat/306663727/,Москва,rent,flat,21,25,3,130.0,125000,0,,бульвар Маршала Крылова,25а,Баковка
23,ID 103353511,realtor,https://odintsovo.cian.ru/rent/flat/306647662/,Москва,rent,flat,3,28,3,98.0,120000,0,,Можайское шоссе,122,Баковка
24,ID 12519571,unknown,https://odintsovo.cian.ru/rent/flat/306603599/,Москва,rent,flat,10,14,3,76.0,103000,0,Новоивановское рп, Агрохимиков,15А,
25,ID 75434463,homeowner,https://odintsovo.cian.ru/rent/flat/306450833/,Москва,rent,flat,4,17,3,82.0,75000,0,, Говорова,34,Баковка
26,ID 71544819,homeowner,https://odintsovo.cian.ru/rent/flat/305488244/,Москва,rent,flat,18,26,3,80.0,150000,0,, Сколковская,5А,Баковка
27,My Hoyse,real_estate_agent,https://odintsovo.cian.ru/rent/flat/297707693/,Москва,rent,flat,21,25,3,110.0,145000,0,Новоивановское рп,Можайское шоссе,52,
