,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Ольга Грицевич,realtor,https://www.cian.ru/rent/flat/307318806/,Москва,rent,flat,15,37,2,63.5,115000,0,Войковский,Головинское шоссе,10Б,Балтийская
1,Славянка - офис Северо-Запад,real_estate_agent,https://www.cian.ru/rent/flat/307296616/,Москва,rent,flat,5,9,2,65.0,100000,0,Войковский,Ленинградское шоссе,21,Балтийская
2,ID 15135697,homeowner,https://www.cian.ru/rent/flat/307223444/,Москва,rent,flat,8,29,2,55.0,155000,0,Головинский,Пулковская ,2,Балтийская
3,ID 234494,unknown,https://www.cian.ru/rent/flat/307220669/,Москва,rent,flat,10,21,2,42.0,100000,0,Головинский,Кронштадтский бульвар,9к3,Балтийская
4,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307204553/,Москва,rent,flat,13,26,2,40.0,90000,0,Головинский,Кронштадтский бульвар,6к5,Балтийская
5,Самолет Плюс,real_estate_agent,https://www.cian.ru/rent/flat/307188859/,Москва,rent,flat,7,29,2,68.5,180000,0,Головинский,Пулковская ,2,Балтийская
6,Елена Фатеева,realtor,https://www.cian.ru/rent/flat/306907479/,Москва,rent,flat,22,37,2,46.6,90000,0,Войковский,Головинское шоссе,10Б,Балтийская
7,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/306890285/,Москва,rent,flat,2,9,2,56.0,70000,0,Головинский,Ленинградское шоссе,78,Балтийская
8,Ирада Кадиева,realtor,https://www.cian.ru/rent/flat/306871812/,Москва,rent,flat,9,30,2,63.0,180000,0,Войковский, Адмирала Макарова,6А,Балтийская
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306551158/,Москва,rent,flat,3,29,2,53.0,140000,0,Головинский,Пулковская ,2,Балтийская
10,ID 856,realtor,https://www.cian.ru/rent/flat/306368633/,Москва,rent,flat,12,14,2,52.3,73000,0,Войковский, Адмирала Макарова,14,Балтийская
11,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/306271531/,Москва,rent,flat,5,16,2,70.0,75000,0,Войковский,6-й Новоподмосковный переулок,3,Балтийская
12,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/306089576/,Москва,rent,flat,21,22,2,56.0,135000,0,Войковский,Выборгская ,9/1,Балтийская
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305813963/,Москва,rent,flat,2,5,2,56.0,90000,0,Войковский, Адмирала Макарова,21,Балтийская
14,ID 94828934,unknown,https://www.cian.ru/rent/flat/298989302/,Москва,rent,flat,11,21,2,49.9,100000,0,Войковский,Выборгская ,9/1,Балтийская
15,ID 90439500,unknown,https://www.cian.ru/rent/flat/296972447/,Москва,rent,flat,1,23,2,48.5,105000,0,Войковский,Выборгская ,7к1,Балтийская
16,ID 14262,realtor,https://www.cian.ru/rent/flat/286286009/,Москва,rent,flat,9,17,2,63.0,70000,0,Войковский,Нарвская ,1Ак2,Балтийская
17,Елена Николаева,realtor,https://www.cian.ru/rent/flat/283232383/,Москва,rent,flat,8,17,2,52.0,80000,0,Войковский,Нарвская ,5А,Балтийская
18,ID 63376583,homeowner,https://www.cian.ru/rent/flat/280618565/,Москва,rent,flat,21,21,2,35.0,90000,0,Войковский,Выборгская ,9/1,Балтийская
19,ID 12431,realtor,https://www.cian.ru/rent/flat/306817484/,Москва,rent,flat,4,9,2,45.0,85000,0,Покровское-Стрешнево,Волоколамское шоссе,49,Щукинская
20,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306679176/,Москва,rent,flat,8,10,2,38.0,80000,0,Савеловский,Петровско-Разумовский проезд,5,Петровский Парк
21,MagAppArt,real_estate_agent,https://www.cian.ru/rent/flat/155763993/,Москва,rent,flat,3,5,2,55.0,80000,0,Аэропорт,Малый Коптевский проезд,4,Красный Балтиец
22,Екатерина Егорова,realtor,https://www.cian.ru/rent/flat/305216869/,Москва,rent,flat,23,32,2,51.0,120000,0,Головинский,Кронштадтский бульвар,8к1,Водный стадион
23,ID 47959143,realtor,https://www.cian.ru/rent/flat/307508931/,Москва,rent,flat,2,9,2,45.0,70000,0,Головинский,Конаковский проезд,19,Балтийская
24,Светлана Матасова,realtor,https://www.cian.ru/rent/flat/307381413/,Москва,rent,flat,30,32,2,42.3,100000,0,Головинский,Кронштадтский бульвар,9к2,Балтийская
