,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Елена Войнова,realtor,https://www.cian.ru/rent/flat/307727960/,Москва,rent,flat,14,17,2,85.0,190000,0,Пресненский,Зоологическая ,4,Баррикадная
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307710485/,Москва,rent,flat,5,14,2,55.0,130000,0,Пресненский, Красина,19С1,Баррикадная
2,ID 520898,realtor,https://www.cian.ru/rent/flat/307707477/,Москва,rent,flat,3,12,2,45.3,135000,0,Пресненский, Трехгорный Вал,3,Баррикадная
3,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307688651/,Москва,rent,flat,1,12,2,45.0,150000,0,Пресненский, Малая Грузинская,25С2,Баррикадная
4,BOND недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307680759/,Москва,rent,flat,10,14,2,54.0,170000,0,Пресненский, Пресненский Вал,14,Баррикадная
5,ID 18575568,unknown,https://www.cian.ru/rent/flat/307673242/,Москва,rent,flat,4,5,2,65.0,110000,0,Пресненский, Заморенова,5С1,Баррикадная
6,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307655770/,Москва,rent,flat,6,9,2,50.0,135000,0,Пресненский,Малая Никитская ,16/5,Баррикадная
7,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307655728/,Москва,rent,flat,6,8,2,50.0,135000,0,Пресненский,Малая Никитская ,16/5,Баррикадная
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307654552/,Москва,rent,flat,6,9,2,55.0,135000,0,Пресненский,Малая Никитская ,16/5,Баррикадная
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307611094/,Москва,rent,flat,5,9,2,40.0,115000,0,Пресненский,переулок Волков,5,Баррикадная
10,ID 20606879,realtor,https://www.cian.ru/rent/flat/307609475/,Москва,rent,flat,4,10,2,45.0,120000,0,Арбат,1-й Смоленский переулок,24,Баррикадная
11,Роман Пятин,realtor,https://www.cian.ru/rent/flat/307591968/,Москва,rent,flat,12,24,2,53.9,150000,0,Арбат, Новый Арбат,26,Баррикадная
12,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307583421/,Москва,rent,flat,10,14,2,53.0,170000,0,Пресненский, Пресненский Вал,14,Баррикадная
13,ID 193582,realtor,https://www.cian.ru/rent/flat/307551951/,Москва,rent,flat,2,5,2,41.0,140000,0,Пресненский, Красина,13,Баррикадная
14,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307491969/,Москва,rent,flat,6,21,2,55.0,200000,0,Пресненский,Кудринская площадь,1,Баррикадная
15,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307480581/,Москва,rent,flat,15,18,2,90.0,290000,0,Пресненский,Большая Грузинская ,37С2,Баррикадная
16,RedHillsEstate,real_estate_agent,https://www.cian.ru/rent/flat/307471038/,Москва,rent,flat,2,5,2,50.0,120000,0,Пресненский, Красина,9С2,Баррикадная
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307442341/,Москва,rent,flat,6,21,2,55.0,200000,0,Пресненский,Кудринская площадь,1,Баррикадная
18,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307390088/,Москва,rent,flat,5,6,2,62.0,200000,0,Пресненский,Садовая-Кудринская ,28-30,Баррикадная
19,ID 8584,unknown,https://www.cian.ru/rent/flat/307345482/,Москва,rent,flat,3,5,2,44.0,75000,0,Пресненский, Малая Грузинская,21,Баррикадная
20,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307312167/,Москва,rent,flat,6,31,2,55.0,200000,0,Пресненский,Кудринская площадь,1,Баррикадная
21,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307197496/,Москва,rent,flat,5,9,2,40.0,115000,0,Пресненский,переулок Волков,5,Баррикадная
