,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 102706985,realtor,https://www.cian.ru/rent/flat/307727718/,Москва,rent,flat,17,23,2,60.0,145000,0,Басманный,набережная Академика Туполева,15,Бауманская
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307720238/,Москва,rent,flat,2,5,2,38.0,100000,0,Басманный,Большая Почтовая ,18/20К9,Бауманская
2,ID 119160020,homeowner,https://www.cian.ru/rent/flat/307719654/,Москва,rent,flat,2,5,2,37.0,100000,0,Басманный,Большая Почтовая ,18/20К9,Бауманская
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307651751/,Москва,rent,flat,3,9,2,62.0,110000,0,Басманный,Доброслободская ,15,Бауманская
4,ID 79203211,unknown,https://www.cian.ru/rent/flat/307628946/,Москва,rent,flat,6,10,2,52.0,100000,0,Басманный,Нижняя Красносельская ,35С50,Бауманская
5,Марина Шалагина,realtor,https://www.cian.ru/rent/flat/307553832/,Москва,rent,flat,4,6,2,65.0,110000,0,Басманный,Малая Почтовая ,10,Бауманская
6,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307499777/,Москва,rent,flat,2,5,2,35.0,120000,0,Басманный,Старокирочный переулок,16/2С5,Бауманская
7,ID 121869630,homeowner,https://www.cian.ru/rent/flat/307461929/,Москва,rent,flat,9,10,2,73.3,160000,0,Басманный, Фридриха Энгельса,31/35,Бауманская
8,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307394804/,Москва,rent,flat,8,23,2,60.0,150000,0,Басманный,набережная Академика Туполева,15,Бауманская
9,ID 141331,realtor,https://www.cian.ru/rent/flat/307302607/,Москва,rent,flat,3,3,2,58.0,90000,0,Басманный,Бакунинская ,10-12С1,Бауманская
10,ID 78905384,unknown,https://www.cian.ru/rent/flat/307290549/,Москва,rent,flat,8,23,2,60.0,150000,0,Басманный,набережная Академика Туполева,15,Бауманская
11,Место,real_estate_agent,https://www.cian.ru/rent/flat/306971106/,Москва,rent,flat,6,10,2,80.0,200000,0,Басманный,Нижняя Красносельская ,35С48,Бауманская
12,Павел Усков,realtor,https://www.cian.ru/rent/flat/306864474/,Москва,rent,flat,3,5,2,75.0,240000,0,Басманный,Нижняя Красносельская ,35С7,Бауманская
13,РОДНЫЕ СТЕНЫ,real_estate_agent,https://www.cian.ru/rent/flat/306417887/,Москва,rent,flat,5,9,2,58.0,85000,0,Басманный,Спартаковская площадь,1/2,Бауманская
14,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/305670345/,Москва,rent,flat,3,17,2,56.0,100000,0,Басманный,Бакунинская ,17/28,Бауманская
15,ID 13069154,unknown,https://www.cian.ru/rent/flat/302312525/,Москва,rent,flat,1,5,2,43.0,80000,0,Басманный,Елизаветинский переулок,6С1,Бауманская
16,Максим Зенов,realtor,https://www.cian.ru/rent/flat/294356301/,Москва,rent,flat,4,10,2,75.0,200000,0,Басманный,Нижняя Красносельская ,35С48,Бауманская
17,ID 40852128,homeowner,https://www.cian.ru/rent/flat/282626500/,Москва,rent,flat,3,9,2,62.0,110000,0,Басманный,Доброслободская ,15,Бауманская
18,Марина Ильина,realtor,https://www.cian.ru/rent/flat/282460950/,Москва,rent,flat,14,16,2,54.0,80000,0,Басманный,Бакунинская ,38-42С1,Бауманская
19,ID 74338273,unknown,https://www.cian.ru/rent/flat/307544373/,Москва,rent,flat,5,16,2,54.0,75000,0,Сокольники,Сокольническая площадь,9,Сокольники
20,Александр Насилевский,realtor,https://www.cian.ru/rent/flat/307099137/,Москва,rent,flat,7,9,1,33.0,65000,0,Басманный,Большая Почтовая ,1/33,Бауманская
21,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
22,Светлана Захарова,realtor,https://www.cian.ru/rent/flat/307275521/,Москва,rent,flat,8,9,2,50.0,89000,0,Сокольники,Старослободская ,16/17,Сокольники
23,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306989893/,Москва,rent,flat,15,26,2,42.0,90000,0,Лефортово,Красноказарменная ,15к2,Авиамоторная
24,Марина Сидорова,realtor,https://www.cian.ru/rent/flat/291838999/,Москва,rent,flat,3,5,3,60.0,80000,0,Соколиная гора, Семеновский Вал,10К2,Семёновская
