,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,HONEST HOME,real_estate_agent,https://www.cian.ru/rent/flat/307726978/,Москва,rent,flat,3,5,2,46.0,75000,0,Коньково,Профсоюзная ,91К3,Беляево
1,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307723895/,Москва,rent,flat,7,12,2,47.0,70000,0,Коньково, Академика Волгина,29К1,Беляево
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307695949/,Москва,rent,flat,16,21,2,50.0,95000,0,Коньково, Бутлерова,7Б,Беляево
3,ИРГЕНГрупп,real_estate_agent,https://www.cian.ru/rent/flat/307684125/,Москва,rent,flat,6,23,2,80.0,80000,0,Коньково,Профсоюзная ,104,Беляево
4,МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР НЕДВИЖИМОСТИ,real_estate_agent,https://www.cian.ru/rent/flat/307657741/,Москва,rent,flat,3,9,2,49.0,70000,0,Коньково, Генерала Антонова,4К1,Беляево
5,ID 86320269,unknown,https://www.cian.ru/rent/flat/307639151/,Москва,rent,flat,3,5,2,55.0,70000,0,Коньково,Профсоюзная ,91К3,Беляево
6,Дарья Проскуркина,realtor,https://www.cian.ru/rent/flat/307628395/,Москва,rent,flat,17,18,2,58.0,110000,0,Обручевский, Обручева,28к6,Беляево
7,ID 122039908,homeowner,https://www.cian.ru/rent/flat/307605319/,Москва,rent,flat,11,16,2,55.0,70000,0,Коньково, Островитянова,53К1,Беляево
8,ID 79886129,unknown,https://www.cian.ru/rent/flat/307582223/,Москва,rent,flat,8,9,2,47.0,70000,0,Коньково, Генерала Антонова,1,Беляево
9,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307572603/,Москва,rent,flat,7,16,2,53.0,60000,0,Теплый Стан, Островитянова,26К1,Беляево
10,Квартирный вопрос,real_estate_agent,https://www.cian.ru/rent/flat/307571024/,Москва,rent,flat,3,5,2,48.0,65000,0,Коньково, Введенского,26К3,Беляево
11,ID 25165,realtor,https://www.cian.ru/rent/flat/307510864/,Москва,rent,flat,4,7,2,59.9,95000,0,Обручевский, Саморы Машела,2А,Беляево
12,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307435366/,Москва,rent,flat,6,9,2,45.0,70000,0,Коньково,Профсоюзная ,75К4,Беляево
13,Светлана Биличенко,realtor,https://www.cian.ru/rent/flat/307433641/,Москва,rent,flat,3,5,2,42.0,70000,0,Коньково,Профсоюзная ,91К3,Беляево
14,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307391462/,Москва,rent,flat,7,12,2,47.0,100000,0,Тропарево-Никулино, 26 Бакинских Комиссаров,2к1,Беляево
15,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307350494/,Москва,rent,flat,7,12,2,49.0,100000,0,Тропарево-Никулино, 26 Бакинских Комиссаров,2к1,Беляево
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307343070/,Москва,rent,flat,3,23,2,79.5,157000,0,Коньково,Профсоюзная ,104,Беляево
17,Room Tour,real_estate_agent,https://www.cian.ru/rent/flat/307316713/,Москва,rent,flat,2,24,2,56.0,80000,0,Коньково, Островитянова,53,Беляево
18,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307269014/,Москва,rent,flat,2,19,2,70.0,90000,0,Коньково,Профсоюзная ,98К2,Беляево
