,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Градсити,real_estate_agent,https://www.cian.ru/rent/flat/307721880/,Москва,rent,flat,5,5,1,30.0,38000,0,Бескудниковский,Дмитровское шоссе,99К2,Бескудниково
1,ID 96503329,unknown,https://www.cian.ru/rent/flat/307721127/,Москва,rent,flat,2,14,1,35.1,48000,0,Восточное Дегунино, 800-летия Москвы,11К10,Бескудниково
2,ID 36888156,homeowner,https://www.cian.ru/rent/flat/307717454/,Москва,rent,flat,9,9,1,35.0,85000,0,Восточное Дегунино, 800-летия Москвы,3К2,Бескудниково
3,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307715653/,Москва,rent,flat,7,16,1,36.0,55000,0,Алтуфьевский,Бибиревская ,7К2,Бескудниково
4,For COMFORT,real_estate_agent,https://www.cian.ru/rent/flat/307708174/,Москва,rent,flat,6,12,1,33.0,50000,0,Восточное Дегунино,Дубнинская ,24К1,Бескудниково
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307671288/,Москва,rent,flat,12,13,1,38.0,60000,0,Дмитровский,Дмитровское шоссе,107Ак4,Бескудниково
6,Горизонт,real_estate_agent,https://www.cian.ru/rent/flat/307666963/,Москва,rent,flat,12,14,1,38.0,60000,0,Дмитровский,Дмитровское шоссе,107Ак4,Бескудниково
7,ID 9799222,realtor,https://www.cian.ru/rent/flat/307661967/,Москва,rent,flat,4,9,1,40.0,45000,0,Восточное Дегунино, 800-летия Москвы,7К1,Бескудниково
8,ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307658389/,Москва,rent,flat,11,12,1,45.0,65000,0,Лианозово,Абрамцевская ,2,Бескудниково
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307635007/,Москва,rent,flat,2,14,1,42.0,50000,0,Отрадное,Алтуфьевское шоссе,40Г,Бескудниково
10,Лабецкий Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307627386/,Москва,rent,flat,9,20,1,40.8,65000,0,Алтуфьевский,Бибиревская ,4А,Бескудниково
11,Анна Белова,realtor,https://www.cian.ru/rent/flat/307592981/,Москва,rent,flat,15,32,1,52.0,60000,0,Восточное Дегунино,Дубнинская ,40АК4,Бескудниково
12,ID 16636908,homeowner,https://www.cian.ru/rent/flat/307334009/,Москва,rent,flat,16,16,1,45.0,55000,0,Восточное Дегунино,Дубнинская ,32К9,Бескудниково
13,ID 113337444,homeowner,https://www.cian.ru/rent/flat/307279357/,Москва,rent,flat,11,17,1,37.7,69000,0,Восточное Дегунино, 800-летия Москвы,26К1,Бескудниково
14,ID 62263892,unknown,https://www.cian.ru/rent/flat/307247783/,Москва,rent,flat,4,25,1,40.0,65000,0,Отрадное,Высоковольтный проезд,1к7,Бескудниково
15,Евгения Ломакина,realtor,https://www.cian.ru/rent/flat/280203438/,Москва,rent,flat,6,17,1,40.0,70000,0,Восточное Дегунино, 800-летия Москвы,26К2,Бескудниково
16,ID 45102034,unknown,https://www.cian.ru/rent/flat/248305178/,Москва,rent,flat,2,5,1,33.0,31000,0,Алтуфьевский,Путевой проезд,10,Бескудниково
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605462/,Москва,rent,flat,1,5,1,31.0,50000,0,Тимирязевский,Астрадамская ,1К2,Дмитровская
18,ID 122045706,homeowner,https://www.cian.ru/rent/flat/307612045/,Москва,rent,flat,2,14,1,38.9,50000,0,Ярославский,Палехская ,21,Медведково
19,ID 72976911,homeowner,https://www.cian.ru/rent/flat/283314600/,Москва,rent,flat,8,12,1,34.5,44000,0,Западное Дегунино, Бусиновская Горка,1К1,Ховрино
20,ID 122008115,realtor,https://www.cian.ru/rent/flat/307575538/,Москва,rent,flat,1,6,1,42.3,55000,0,Марьина роща,площадь Борьбы,13,Достоевская
21,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы
22,ID 36464867,homeowner,https://www.cian.ru/rent/flat/306696784/,Москва,rent,flat,10,17,1,38.5,55000,0,Бескудниковский,Бескудниковский бульвар,6К3,Верхние Лихоборы
23,Иван Тетерук,realtor,https://www.cian.ru/rent/flat/307626521/,Москва,rent,flat,3,14,1,35.0,35000,0,Северный,Дмитровское шоссе,165Ек9,Физтех
24,ID 122068143,realtor,https://www.cian.ru/rent/flat/307626016/,Москва,rent,flat,9,9,1,33.0,60000,0,Тимирязевский,Тимирязевская ,9,Дмитровская
