,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307341637/,Москва,rent,flat,5,7,2,80.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Библиотека им. Ленина
1,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307339783/,Москва,rent,flat,5,7,2,77.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Библиотека им. Ленина
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306949697/,Москва,rent,flat,5,7,2,75.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Библиотека им. Ленина
3,Дмитрий Рублев,realtor,https://www.cian.ru/rent/flat/306932614/,Москва,rent,flat,5,7,2,55.4,140000,0,Пресненский,Никитский бульвар,12,Библиотека им. Ленина
4,ID 99146104,homeowner,https://www.cian.ru/rent/flat/306894363/,Москва,rent,flat,5,7,2,77.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Библиотека им. Ленина
5,ID 84179812,realtor,https://www.cian.ru/rent/flat/305383389/,Москва,rent,flat,3,5,2,70.0,185000,0,Пресненский,Калашный переулок,7,Библиотека им. Ленина
6,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/303920048/,Москва,rent,flat,2,5,2,85.0,750000,0,Хамовники,Пречистенская набережная,43,Библиотека им. Ленина
7,Сергей Головин,realtor,https://www.cian.ru/rent/flat/301280492/,Москва,rent,flat,6,7,2,60.0,150000,0,Арбат,Никитский бульвар,5,Библиотека им. Ленина
8,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
9,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307521524/,Москва,rent,flat,14,16,3,88.0,200000,0,Хамовники,Малый Власьевский переулок,3к1,Кропоткинская
10,HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/281836793/,Москва,rent,flat,7,12,3,110.0,300000,0,Якиманка, Серафимовича,2,Боровицкая
11,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Кропоткинская
12,ID 18835544,official_representative,https://www.cian.ru/rent/flat/281664247/,Москва,rent,flat,5,12,2,80.0,1200000,0,Тверской, Охотный Ряд,2,Охотный ряд
13,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307126701/,Москва,rent,flat,21,24,2,67.0,160000,0,Таганский,Котельническая набережная,1/15кБ,Китай-город
14,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/307131445/,Москва,rent,flat,6,6,2,52.0,130000,0,Пресненский,Большой Патриарший переулок,10,Маяковская
15,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307447111/,Москва,rent,flat,5,6,2,55.0,175000,0,Тверской,Тверская ,6С5,Охотный ряд
16,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307210998/,Москва,rent,flat,7,10,2,70.0,145000,0,Пресненский,Ермолаевский переулок,18А,Маяковская
17,PANDA ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/305572564/,Москва,rent,flat,6,6,2,60.0,140000,0,Пресненский,Богословский переулок,5,Тверская
18,ID 87484330,homeowner,https://www.cian.ru/rent/flat/293720088/,Москва,rent,flat,3,3,3,77.0,187000,0,Басманный, Покровка,14/2С1,Чистые пруды
19,ID 99704473,realtor,https://www.cian.ru/rent/flat/306122988/,Москва,rent,flat,6,8,2,94.8,160000,0,Тверской,Тверская ,4,Охотный ряд
20,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307314879/,Москва,rent,flat,4,8,2,75.0,140000,0,Тверской,Тверская ,4,Охотный ряд
21,Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/307602200/,Москва,rent,flat,6,10,2,65.0,170000,0,Якиманка, Малая Полянка,2,Полянка
22,ID 97814080,realtor,https://www.cian.ru/rent/flat/307627263/,Москва,rent,flat,8,9,3,85.5,250000,0,Пресненский, Спиридоновка,22/2,Пушкинская
23,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307252688/,Москва,rent,flat,10,12,2,55.0,210000,0,Тверской,2-я Брестская ,6,Маяковская
24,ID 85832026,realtor,https://www.cian.ru/rent/flat/307249295/,Москва,rent,flat,3,16,2,106.0,500000,0,Хамовники,переулок 1-й Тружеников,16,Киевская
