,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307776923/,Москва,rent,flat,14,14,3,90.0,141000,0,Свиблово,1-й Ботанический проезд,5,Ботанический сад
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307771572/,Москва,rent,flat,3,9,3,70.0,90000,0,Бабушкинский,Верхоянская ,6К1,Ботанический сад
2,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307759639/,Москва,rent,flat,5,9,3,60.0,55000,0,Ярославский,Ярославское шоссе,16,Ботанический сад
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756653/,Москва,rent,flat,13,33,3,76.0,150000,0,Отрадное,Сигнальный проезд,16к1,Ботанический сад
4,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307738657/,Москва,rent,flat,3,9,3,70.0,90000,0,Бабушкинский,Верхоянская ,6К1,Ботанический сад
5,Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307684761/,Москва,rent,flat,15,33,3,80.0,150000,0,Отрадное,Сигнальный проезд,16,Ботанический сад
6,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307674470/,Москва,rent,flat,7,20,3,50.0,95000,0,Останкинский,Березовая аллея,19к4,Ботанический сад
7,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307669621/,Москва,rent,flat,13,33,3,80.0,150000,0,Отрадное,Сигнальный проезд,16к1,Ботанический сад
8,ID 91702746,homeowner,https://www.cian.ru/rent/flat/307668451/,Москва,rent,flat,13,33,3,76.0,150000,0,Отрадное,Сигнальный проезд,16к1,Ботанический сад
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307611089/,Москва,rent,flat,4,11,3,64.0,150000,0,Свиблово,Лазоревый проезд,1Ак1,Ботанический сад
10,Сергей Мурзин,realtor,https://www.cian.ru/rent/flat/307546803/,Москва,rent,flat,2,25,3,83.0,135000,0,Бабушкинский,Кольская ,8к2,Ботанический сад
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307529571/,Москва,rent,flat,7,17,3,50.0,95000,0,Останкинский,Березовая аллея,19к4,Ботанический сад
12,Каскад,real_estate_agent,https://www.cian.ru/rent/flat/307526673/,Москва,rent,flat,4,11,3,64.0,160000,0,Свиблово,Жилой комплекс Лайф-Ботанический сад,,Ботанический сад
13,Юлия Романова,realtor,https://www.cian.ru/rent/flat/307525983/,Москва,rent,flat,3,5,3,67.0,120000,0,Бабушкинский, Летчика Бабушкина,10/1,Ботанический сад
14,ID 2966,realtor,https://www.cian.ru/rent/flat/307465459/,Москва,rent,flat,14,14,3,92.0,150000,0,Останкинский,Олонецкая ,6,Ботанический сад
15,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307450026/,Москва,rent,flat,17,17,3,75.0,105000,0,Отрадное, Мусоргского,5К3,Ботанический сад
16,Андрей Кривец,realtor,https://www.cian.ru/rent/flat/307406020/,Москва,rent,flat,4,18,3,55.9,120000,0,Останкинский,Сельскохозяйственная ,39,Ботанический сад
17,Сергей Стахов,realtor,https://www.cian.ru/rent/flat/307366983/,Москва,rent,flat,3,5,3,67.0,85000,0,Свиблово,Снежная ,17К1,Ботанический сад
18,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://www.cian.ru/rent/flat/307339968/,Москва,rent,flat,32,33,3,73.0,80000,0,Отрадное,Сигнальный проезд,16,Ботанический сад
19,Инна Харитончик,realtor,https://www.cian.ru/rent/flat/307321701/,Москва,rent,flat,7,9,3,60.0,80000,0,Отрадное,Северный бульвар,17,Ботанический сад
20,Павел Минеев,realtor,https://www.cian.ru/rent/flat/307308869/,Москва,rent,flat,4,5,3,54.1,75000,0,Ростокино,проспект Мира,179А,Ботанический сад
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307200076/,Москва,rent,flat,3,9,3,65.0,90000,0,Бабушкинский,Верхоянская ,6К1,Ботанический сад
22,ID 103974617,unknown,https://www.cian.ru/rent/flat/307135124/,Москва,rent,flat,9,12,3,63.0,85000,0,Отрадное, Декабристов,29,Ботанический сад
23,ID 77170136,unknown,https://www.cian.ru/rent/flat/306907968/,Москва,rent,flat,10,27,3,85.0,160000,0,Свиблово,Лазоревый проезд,5к5,Ботанический сад
24,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305535032/,Москва,rent,flat,14,17,3,84.0,127500,0,Свиблово,Вересковая ,1К1,Ботанический сад
25,ID 94209156,homeowner,https://www.cian.ru/rent/flat/305513089/,Москва,rent,flat,1,12,3,69.0,80000,0,Ростокино,проспект Мира,200К2,Ботанический сад
26,Инвестправо,real_estate_agent,https://www.cian.ru/rent/flat/297297340/,Москва,rent,flat,2,5,3,56.0,55000,0,Бабушкинский,Радужная ,12к1,Ботанический сад
27,HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/295148202/,Москва,rent,flat,34,38,3,120.0,200000,0,Ростокино,проспект Мира,188Бк4,Ботанический сад
28,ID 50387557,realtor,https://www.cian.ru/rent/flat/277173980/,Москва,rent,flat,3,9,3,60.0,75000,0,Свиблово,Лазоревый проезд,4,Ботанический сад
29,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307358638/,Москва,rent,flat,3,9,3,60.4,70000,0,Бибирево, Корнейчука,47,Бибирево
30,Денис Мастяев,realtor,https://www.cian.ru/rent/flat/307391852/,Москва,rent,flat,1,5,3,60.0,60000,0,Северное Измайлово,Щелковское шоссе,42,Щёлковская
