,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Елена Соколова,realtor,https://www.cian.ru/rent/flat/307726923/,Москва,rent,flat,2,14,1,37.8,55000,0,Южное Бутово,Бартеневская ,49,Бульвар Адмирала Ушакова
1,ID 88281363,realtor,https://www.cian.ru/rent/flat/307724207/,Москва,rent,flat,6,14,1,38.0,48000,0,,проспект Куприна,38к1,Бульвар Адмирала Ушакова
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307715270/,Москва,rent,flat,17,24,1,42.0,65000,0,Южное Бутово,Скобелевская ,5К1,Бульвар Адмирала Ушакова
3,ID 2879,realtor,https://www.cian.ru/rent/flat/307712893/,Москва,rent,flat,8,14,1,38.0,43000,0,Южное Бутово,Изюмская ,47,Бульвар Адмирала Ушакова
4,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307712652/,Москва,rent,flat,1,3,1,40.0,35000,0,,,88,Бульвар Адмирала Ушакова
5,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307701799/,Москва,rent,flat,4,17,1,42.0,55000,0,Южное Бутово,Краснолиманская ,29,Бульвар Адмирала Ушакова
6,Юлия Куликова,realtor,https://www.cian.ru/rent/flat/307700152/,Москва,rent,flat,2,12,1,39.0,50000,0,Южное Бутово,проезд Чечерский,24к1,Бульвар Адмирала Ушакова
7,ID 99096924,unknown,https://www.cian.ru/rent/flat/307676173/,Москва,rent,flat,6,6,1,41.0,50000,0,Южное Бутово,проезд Чечерский,4,Бульвар Адмирала Ушакова
8,Сорин Мокану,realtor,https://www.cian.ru/rent/flat/307672056/,Москва,rent,flat,8,17,1,42.1,45000,0,, Александры Монаховой,105к2,Бульвар Адмирала Ушакова
9,Анна Проскурина,realtor,https://www.cian.ru/rent/flat/307650221/,Москва,rent,flat,5,10,1,35.0,45000,0,Южное Бутово,Южнобутовская ,25К1,Бульвар Адмирала Ушакова
10,Максим Марнопольский,realtor,https://www.cian.ru/rent/flat/307633692/,Москва,rent,flat,11,18,1,46.0,65000,0,Южное Бутово, Поляны,5Ак1,Бульвар Адмирала Ушакова
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307632090/,Москва,rent,flat,4,16,1,42.0,60000,0,Южное Бутово,Краснолиманская ,29,Бульвар Адмирала Ушакова
12,ID 63321,realtor,https://www.cian.ru/rent/flat/307625329/,Москва,rent,flat,5,12,1,35.0,60000,0,Южное Бутово,Скобелевская ,1К5,Бульвар Адмирала Ушакова
13,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307610158/,Москва,rent,flat,4,14,1,35.0,40000,0,,проспект Куприна,40к2,Бульвар Адмирала Ушакова
14,ID 109036397,homeowner,https://www.cian.ru/rent/flat/307607857/,Москва,rent,flat,9,9,1,47.0,70000,0,,бульвар Скандинавский,12,Бульвар Адмирала Ушакова
15,Тимур Илалов,realtor,https://www.cian.ru/rent/flat/307595360/,Москва,rent,flat,6,17,1,30.0,50000,0,, Эдварда Грига,16к1,Бульвар Адмирала Ушакова
16,7 ключей,real_estate_agent,https://www.cian.ru/rent/flat/307574925/,Москва,rent,flat,11,17,1,40.0,65000,0,Южное Бутово,бульвар Адмирала Ушакова,18,Бульвар Адмирала Ушакова
17,Хозяин Сервис,real_estate_agent,https://www.cian.ru/rent/flat/307570034/,Москва,rent,flat,13,17,1,42.0,40000,0,,проезд Чечерский,136,Бульвар Адмирала Ушакова
18,Наталья Широкова,realtor,https://www.cian.ru/rent/flat/307568948/,Москва,rent,flat,3,4,1,40.0,48000,0,, Потаповская Роща,16к2,Бульвар Адмирала Ушакова
19,Наталья Широкова,realtor,https://www.cian.ru/rent/flat/307567283/,Москва,rent,flat,13,17,1,38.0,55000,0,, Александры Монаховой,91к2,Бульвар Адмирала Ушакова
20,Наталья Широкова,realtor,https://www.cian.ru/rent/flat/307567050/,Москва,rent,flat,13,17,1,34.0,50000,0,, Александры Монаховой,91к2,Бульвар Адмирала Ушакова
21,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307550512/,Москва,rent,flat,4,24,1,40.0,65000,0,Южное Бутово,Скобелевская ,19К1,Бульвар Адмирала Ушакова
22,ID 93745176,homeowner,https://www.cian.ru/rent/flat/307549335/,Москва,rent,flat,4,24,1,40.0,65000,0,Южное Бутово,Скобелевская ,19К1,Бульвар Адмирала Ушакова
23,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307521836/,Москва,rent,flat,2,8,1,35.0,50000,0,,бульвар Скандинавский,5к1,Бульвар Адмирала Ушакова
24,ID 85565303,realtor,https://www.cian.ru/rent/flat/307508853/,Москва,rent,flat,8,12,1,40.0,44000,0,Южное Бутово,Изюмская ,43,Бульвар Адмирала Ушакова
25,ID 114072164,homeowner,https://www.cian.ru/rent/flat/307491919/,Москва,rent,flat,2,12,1,42.0,62000,0,,бульвар Скандинавский,7,Бульвар Адмирала Ушакова
26,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307490009/,Москва,rent,flat,11,32,1,50.0,65000,0,Южное Бутово, Поляны,5Ак1,Бульвар Адмирала Ушакова
27,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307442767/,Москва,rent,flat,22,25,1,40.3,57700,0,Южное Бутово, Поляны,5Ак1,Бульвар Адмирала Ушакова
