,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/rent/flat/307780840/,Москва,rent,flat,1,5,3,65.0,39000,0,, Школьная,18,Бульвар Дмитрия Донского
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307659401/,Москва,rent,flat,6,19,3,80.0,100000,0,Чертаново Южное,Варшавское шоссе,170Ек6,Бульвар Дмитрия Донского
2,Ольга Миронова,realtor,https://vidnoye.cian.ru/rent/flat/307655330/,Москва,rent,flat,21,26,3,72.0,60000,0,Боброво рп, Лесная,6,
3,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307654915/,Москва,rent,flat,18,22,3,93.0,120000,0,Северное Бутово,Старокачаловская ,4,Бульвар Дмитрия Донского
4,Про Жильё,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307616172/,Москва,rent,flat,11,25,3,55.0,70000,0,,,,
5,Домклик Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307587194/,Москва,rent,flat,5,17,3,72.6,93500,0,Северное Бутово,Куликовская ,3,Бульвар Дмитрия Донского
6,ID 100671469,homeowner,https://vidnoye.cian.ru/rent/flat/307554212/,Москва,rent,flat,3,18,3,72.0,60000,0,Дрожжино рп,шоссе Новое,4к3,
7,Яндекс Аренда,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307492594/,Москва,rent,flat,6,20,3,82.0,63000,0,Дрожжино рп,шоссе Новое,10к2,
8,Виктория Рояк,realtor,https://vidnoye.cian.ru/rent/flat/307480299/,Москва,rent,flat,9,17,3,70.0,60000,0,Боброво рп, Лесная,22к1,
9,ID 154790,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307416427/,Москва,rent,flat,21,25,3,75.0,60000,0,Боброво рп, Лесная,16к1,
10,Владимир Волошинов,realtor,https://www.cian.ru/rent/flat/307389821/,Москва,rent,flat,3,16,3,65.0,100000,0,Северное Бутово,Феодосийская ,7к4,Бульвар Дмитрия Донского
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307386759/,Москва,rent,flat,5,14,3,78.0,80000,0,Южное Бутово,2-я Мелитопольская ,21К3,Бульвар Дмитрия Донского
12,Игорь Дубравский,realtor,https://vidnoye.cian.ru/rent/flat/307384257/,Москва,rent,flat,21,25,3,80.0,75000,0,,,,
13,ИП Боброва Е. И.,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307336789/,Москва,rent,flat,11,17,3,80.0,80000,0,Боброво рп, Лесная,18,
14,ID 1842136,realtor,https://vidnoye.cian.ru/rent/flat/307236266/,Москва,rent,flat,21,22,3,75.8,54000,0,Боброво рп, Лесная,2,
15,Realtme,real_estate_agent,https://www.cian.ru/rent/flat/307215333/,Москва,rent,flat,5,22,3,78.0,75000,0,Северное Бутово,Старобитцевская ,19К3,Бульвар Дмитрия Донского
16,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307152931/,Москва,rent,flat,9,9,3,79.2,79900,0,Южное Бутово,Варшавское шоссе,282к2,Бульвар Дмитрия Донского
17,ID 81832788,homeowner,https://www.cian.ru/rent/flat/307069426/,Москва,rent,flat,5,14,3,78.0,80000,0,Южное Бутово,2-я Мелитопольская ,21К3,Бульвар Дмитрия Донского
18,Мой Дом - отделение Добрынинское,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307042395/,Москва,rent,flat,21,22,3,60.0,53000,0,Боброво рп, Лесная,2,
19,Этажи Москва,real_estate_agent,https://vidnoye.cian.ru/rent/flat/306946967/,Москва,rent,flat,21,25,3,62.8,75000,0,Южная Битца ЖК,бульвар Южный,6,
20,ID 83003716,homeowner,https://vidnoye.cian.ru/rent/flat/306803119/,Москва,rent,flat,4,17,3,76.0,75000,0,,,,
21,Столичный Проспект,real_estate_agent,https://vidnoye.cian.ru/rent/flat/306701749/,Москва,rent,flat,18,21,3,90.0,75000,0,Южная Битца ЖК, Ботаническая,12,
22,Ирина Зиновьева,realtor,https://vidnoye.cian.ru/rent/flat/306676643/,Москва,rent,flat,18,21,3,85.0,75000,0,Южная Битца ЖК, Ботаническая,12,
23,ID 12552811,unknown,https://vidnoye.cian.ru/rent/flat/306654105/,Москва,rent,flat,2,8,3,69.0,67000,0,,бульвар Мстислава Ростроповича,5,Бульвар Дмитрия Донского
24,ID 117489569,homeowner,https://vidnoye.cian.ru/rent/flat/303052139/,Москва,rent,flat,12,22,3,89.0,69000,0,,,,
25,ID 85837202,homeowner,https://vidnoye.cian.ru/rent/flat/300028536/,Москва,rent,flat,7,22,3,75.0,55000,0,Боброво рп, Лесная,22,
26,Виктория Дубинина,realtor,https://vidnoye.cian.ru/rent/flat/299193076/,Москва,rent,flat,8,25,3,78.0,74000,0,,,,
27,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/288040805/,Москва,rent,flat,9,19,3,80.0,100000,0,Чертаново Южное,Варшавское шоссе,170Ек5,Бульвар Дмитрия Донского
