,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Горизонт,real_estate_agent,https://www.cian.ru/rent/flat/307747416/,Москва,rent,flat,6,9,2,46.0,75000,0,Богородское,Погонный проезд,23К1,Бульвар Рокоссовского
1,ID 15193879,realtor,https://www.cian.ru/rent/flat/307726369/,Москва,rent,flat,30,33,2,49.0,85000,0,Метрогородок,Открытое шоссе,18Ак2,Бульвар Рокоссовского
2,Людмила Гордиенко,realtor,https://www.cian.ru/rent/flat/307726272/,Москва,rent,flat,2,5,2,65.0,60000,0,Преображенское,Открытое шоссе,2К1,Бульвар Рокоссовского
3,ID 100504122,homeowner,https://www.cian.ru/rent/flat/307715274/,Москва,rent,flat,2,9,2,45.1,120000,0,Богородское,бульвар Маршала Рокоссовского,17,Бульвар Рокоссовского
4,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307715098/,Москва,rent,flat,2,23,2,56.0,100000,0,Богородское,Тюменский проезд,3к6,Бульвар Рокоссовского
5,ID 214536,unknown,https://www.cian.ru/rent/flat/307712611/,Москва,rent,flat,5,24,2,56.0,90000,0,Метрогородок,Тагильская ,4С15,Бульвар Рокоссовского
6,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307711768/,Москва,rent,flat,33,33,2,55.0,120000,0,Метрогородок,Открытое шоссе,18Ак1,Бульвар Рокоссовского
7,Ольга Кадырова,realtor,https://www.cian.ru/rent/flat/307710424/,Москва,rent,flat,5,5,2,49.0,75000,0,Богородское,Бойцовая ,18К11,Бульвар Рокоссовского
8,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307703099/,Москва,rent,flat,2,24,2,40.0,115000,0,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского
9,Дмитрий Третьяков,realtor,https://www.cian.ru/rent/flat/307700659/,Москва,rent,flat,5,5,2,50.0,70000,0,Богородское,Бойцовая ,6К2,Бульвар Рокоссовского
10,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307698964/,Москва,rent,flat,3,24,2,78.0,150000,0,Богородское,Краснобогатырская ,24,Бульвар Рокоссовского
