,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Владимир Фетискин,realtor,https://www.cian.ru/rent/flat/307727988/,Москва,rent,flat,11,17,1,29.0,30000,0,, Барышевская Роща,12,Бунинская аллея
1,Елена Соколова,realtor,https://www.cian.ru/rent/flat/307726923/,Москва,rent,flat,2,14,1,37.8,55000,0,Южное Бутово,Бартеневская ,49,Бунинская аллея
2,ID 88281363,realtor,https://www.cian.ru/rent/flat/307724207/,Москва,rent,flat,6,14,1,38.0,48000,0,,проспект Куприна,38к1,Бунинская аллея
3,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307724158/,Москва,rent,flat,8,22,1,40.0,40000,0,, Барышевская Роща,18,Бунинская аллея
4,YU HOME,real_estate_agent,https://podolsk.cian.ru/rent/flat/307716170/,Москва,rent,flat,2,8,1,35.0,40000,0,д. Борисовка, Рахманинова,11,
5,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307712652/,Москва,rent,flat,1,3,1,40.0,35000,0,,,88,Бунинская аллея
6,ID 101331311,homeowner,https://www.cian.ru/rent/flat/307703087/,Москва,rent,flat,5,15,1,39.0,40000,0,, Логинова,5к1,Бунинская аллея
7,ID 15939880,unknown,https://www.cian.ru/rent/flat/307677665/,Москва,rent,flat,3,5,1,28.0,30000,0,Южное Бутово, Типографская,14,Бунинская аллея
8,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307674664/,Москва,rent,flat,2,14,1,32.8,50000,0,, Красовского,2к2,Бунинская аллея
9,ID 111608926,realtor,https://www.cian.ru/rent/flat/307672423/,Москва,rent,flat,3,14,1,39.0,45000,0,, Липовый Парк,7,Бунинская аллея
10,Сорин Мокану,realtor,https://www.cian.ru/rent/flat/307672056/,Москва,rent,flat,8,17,1,42.1,45000,0,, Александры Монаховой,105к2,Бунинская аллея
11,Павел Шмарин,realtor,https://www.cian.ru/rent/flat/307661523/,Москва,rent,flat,13,18,1,34.0,55000,0,, Александры Монаховой,90к5,Бунинская аллея
12,ID 101331311,homeowner,https://www.cian.ru/rent/flat/307635985/,Москва,rent,flat,5,15,1,39.0,40000,0,, Логинова,5к1,Бунинская аллея
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307634073/,Москва,rent,flat,6,24,1,20.0,55000,0,Южное Бутово,Бартеневская ,18к2,Бунинская аллея
14,Домклик Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307631814/,Москва,rent,flat,5,12,1,22.0,45300,0,, Уточкина,7к1,Бунинская аллея
15,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307627948/,Москва,rent,flat,9,10,1,50.0,70000,0,, Липовый Парк,8к1,Бунинская аллея
16,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307626783/,Москва,rent,flat,9,12,1,50.0,70000,0,, Липовый Парк,8к1,Бунинская аллея
17,ID 68095980,unknown,https://www.cian.ru/rent/flat/307625455/,Москва,rent,flat,7,13,1,34.0,60000,0,, 1-я Ватутинская,14к1,Бунинская аллея
18,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307618571/,Москва,rent,flat,15,18,1,35.0,65000,0,, Александры Монаховой,89к1,Бунинская аллея
19,ID 157322,realtor,https://www.cian.ru/rent/flat/307617657/,Москва,rent,flat,2,12,1,50.1,57000,0,, Липовый Парк,8к1,Бунинская аллея
20,Екатерина Рылькова,realtor,https://www.cian.ru/rent/flat/307611734/,Москва,rent,flat,2,15,1,36.0,40000,0,, Логинова,7к2,Бунинская аллея
21,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307610158/,Москва,rent,flat,4,14,1,35.0,40000,0,,проспект Куприна,40к2,Бунинская аллея
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307606898/,Москва,rent,flat,6,23,1,20.0,55000,0,Южное Бутово,Бартеневская ,18к2,Бунинская аллея
23,ID 95338,realtor,https://www.cian.ru/rent/flat/307606181/,Москва,rent,flat,8,17,1,40.4,40000,0,, Барышевская Роща,24,Бунинская аллея
