,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307745134/,Москва,rent,flat,26,59,2,65.0,214500,0,Тимирязевский,Дмитровский проезд,1,Бутырская
1,Мария Рахметова,realtor,https://www.cian.ru/rent/flat/307612026/,Москва,rent,flat,3,24,2,46.0,100000,0,Бутырский, Фонвизина,18,Бутырская
2,ID 33907539,realtor,https://www.cian.ru/rent/flat/307307337/,Москва,rent,flat,34,38,2,40.0,130000,0,Бутырский,Новодмитровская ,2к1А,Бутырская
3,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307250162/,Москва,rent,flat,38,59,2,66.0,191000,0,Тимирязевский,Дмитровский проезд,1,Бутырская
4,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307128072/,Москва,rent,flat,17,58,2,65.0,220000,0,Тимирязевский,Дмитровский проезд,1,Бутырская
5,ID 114981397,homeowner,https://www.cian.ru/rent/flat/306912451/,Москва,rent,flat,1,5,2,48.0,70000,0,Бутырский,проезд Добролюбова,5А,Бутырская
6,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/306866096/,Москва,rent,flat,7,8,2,75.0,100000,0,Бутырский, Руставели,1/2,Бутырская
7,ID 59150,unknown,https://www.cian.ru/rent/flat/303222570/,Москва,rent,flat,31,32,2,67.0,120000,0,Бутырский, Руставели,14,Бутырская
8,Марина Погуляй,realtor,https://www.cian.ru/rent/flat/285850224/,Москва,rent,flat,10,24,2,55.0,110000,0,Бутырский, Фонвизина,18,Бутырская
9,Елена Виноградова,realtor,https://www.cian.ru/rent/flat/281010462/,Москва,rent,flat,13,25,2,60.0,90000,0,Марьина роща,проезд 17-й Марьиной рощи,1,Бутырская
10,ID 102783120,homeowner,https://www.cian.ru/rent/flat/307680502/,Москва,rent,flat,3,14,2,53.0,85000,0,Савеловский,4-й Вятский переулок,18К2,Дмитровская
11,Илья Солдатенков,realtor,https://www.cian.ru/rent/flat/196194658/,Москва,rent,flat,14,17,2,54.0,75000,0,Алексеевский,3-я Мытищинская ,3к2,Алексеевская
12,ID 122006073,homeowner,https://www.cian.ru/rent/flat/307572528/,Москва,rent,flat,11,12,2,38.0,89000,0,Алексеевский,Ярославская ,4К1,ВДНХ
13,I AM ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307637562/,Москва,rent,flat,2,5,3,75.0,85000,0,Тимирязевский,Астрадамская ,1К3,Гражданская
14,ID 61405844,homeowner,https://www.cian.ru/rent/flat/307471937/,Москва,rent,flat,5,14,2,56.0,95000,0,Марьина роща,Октябрьская ,37,Марьина Роща
15,ID 12891199,homeowner,https://www.cian.ru/rent/flat/279189652/,Москва,rent,flat,5,16,2,56.0,80000,0,Бабушкинский,Ленская ,23,Бабушкинская
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306929232/,Москва,rent,flat,9,12,1,39.0,60000,0,Марьина роща,Складочная ,8к1,Савёловская
17,ID 50705217,homeowner,https://www.cian.ru/rent/flat/307322711/,Москва,rent,flat,12,12,1,35.2,85000,0,Тимирязевский, Вучетича,19,Гражданская
18,Инна Дударева,realtor,https://www.cian.ru/rent/flat/307550638/,Москва,rent,flat,6,19,3,52.0,100000,0,Тимирязевский,проезд 1-й Нижнелихоборский,1,Окружная
19,ID 234494,unknown,https://www.cian.ru/rent/flat/307220669/,Москва,rent,flat,10,21,2,42.0,100000,0,Головинский,Кронштадтский бульвар,9к3,Водный стадион
20,Ольга Лёвина,realtor,https://www.cian.ru/rent/flat/307662276/,Москва,rent,flat,8,21,2,57.6,110000,0,Свиблово,Лазоревый проезд,5к4,Ботанический сад
21,ID 69398662,unknown,https://www.cian.ru/rent/flat/307549680/,Москва,rent,flat,15,22,2,58.2,75000,0,Марфино, Кашенкин Луг,6к2,Улица Милашенкова
22,Анастасия Сергеева,realtor,https://www.cian.ru/rent/flat/306545815/,Москва,rent,flat,3,9,2,50.0,75000,0,Тимирязевский, Костякова,17К1,Тимирязевская
23,Юлия Махматкулова,realtor,https://www.cian.ru/rent/flat/307484089/,Москва,rent,flat,5,35,1,37.0,99990,0,Останкинский, Годовикова,11к4,Алексеевская
24,ID 107281301,real_estate_agent,https://www.cian.ru/rent/flat/307397803/,Москва,rent,flat,26,49,2,65.0,140000,0,Бутырский,Новодмитровская ,2к7,Дмитровская
