,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756591/,Москва,rent,flat,2,3,1,18.0,45000,0,Бескудниковский,Дмитровское шоссе,88к2,Верхние Лихоборы
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307744417/,Москва,rent,flat,23,33,1,44.0,100000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
2,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740401/,Москва,rent,flat,16,19,1,30.0,75000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
3,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307722608/,Москва,rent,flat,24,33,1,39.0,90000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307722531/,Москва,rent,flat,16,19,1,30.0,80000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
5,Адельфа,real_estate_agent,https://www.cian.ru/rent/flat/307721791/,Москва,rent,flat,4,33,1,33.0,79999,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
6,ID 81319143,unknown,https://www.cian.ru/rent/flat/307721204/,Москва,rent,flat,23,33,1,44.0,95000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
7,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307717456/,Москва,rent,flat,5,23,1,36.0,80000,0,Западное Дегунино,Ильменский проезд,14к3,Верхние Лихоборы
8,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307717009/,Москва,rent,flat,19,23,1,33.3,73000,0,Западное Дегунино,Ильменский проезд,17к3,Верхние Лихоборы
9,ID 19660,realtor,https://www.cian.ru/rent/flat/307701048/,Москва,rent,flat,6,33,1,45.0,85000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
10,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307699314/,Москва,rent,flat,4,33,1,35.0,79999,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
11,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307683303/,Москва,rent,flat,7,13,1,42.2,110000,0,Западное Дегунино,Ильменский проезд,14к6,Верхние Лихоборы
12,Александр Каширский,realtor,https://www.cian.ru/rent/flat/307672922/,Москва,rent,flat,7,19,1,34.0,70000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
13,ID 313706,realtor,https://www.cian.ru/rent/flat/307658760/,Москва,rent,flat,17,33,1,46.0,100000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
14,ID 65545,realtor,https://www.cian.ru/rent/flat/307630561/,Москва,rent,flat,4,7,1,29.0,79000,0,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы
