,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307779925/,Москва,rent,flat,19,25,2,75.0,136000,0,Рязанский,1-я Новокузьминская ,6К2,Вешняки
1,Светлана Софейкова,realtor,https://www.cian.ru/rent/flat/307734641/,Москва,rent,flat,4,9,2,47.0,55000,0,Вешняки, Молдагуловой,18К2,Вешняки
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307713665/,Москва,rent,flat,5,12,2,38.0,60000,0,Рязанский,4-й Вешняковский проезд,8,Вешняки
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582408/,Москва,rent,flat,2,9,2,44.0,72000,0,Выхино-Жулебино,Ферганский проезд,4,Вешняки
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307574603/,Москва,rent,flat,2,9,2,45.0,65000,0,Выхино-Жулебино,Ферганский проезд,4,Вешняки
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307390277/,Москва,rent,flat,20,25,2,77.0,125000,0,Рязанский,1-я Новокузьминская ,6К2,Вешняки
6,Михаил Бендик,realtor,https://www.cian.ru/rent/flat/307357414/,Москва,rent,flat,1,9,2,45.0,50000,0,Вешняки,Снайперская ,12,Вешняки
7,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307335997/,Москва,rent,flat,9,16,2,56.0,73000,0,Рязанский,Рязанский проспект,71К1,Вешняки
8,ID 115329953,homeowner,https://www.cian.ru/rent/flat/307335453/,Москва,rent,flat,19,25,2,74.0,125000,0,Рязанский,1-я Новокузьминская ,6К2,Вешняки
9,Олимп,real_estate_agent,https://www.cian.ru/rent/flat/307157147/,Москва,rent,flat,2,5,2,45.0,50000,0,Рязанский, Михайлова,32/7,Вешняки
10,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/306267536/,Москва,rent,flat,9,9,2,44.4,50000,0,Вешняки, Молдагуловой,28К3,Вешняки
11,Рустам Ерматов,realtor,https://www.cian.ru/rent/flat/273440920/,Москва,rent,flat,3,9,2,45.0,55000,0,Рязанский,4-я Новокузьминская ,5,Вешняки
12,i-deal,real_estate_agent,https://www.cian.ru/rent/flat/307636594/,Москва,rent,flat,4,12,2,45.0,54000,0,Новогиреево,Союзный проспект,9К2,Новогиреево
13,Людмила Овчинникова,realtor,https://www.cian.ru/rent/flat/307655889/,Москва,rent,flat,7,14,2,58.0,55000,0,Выхино-Жулебино, Генерала Кузнецова,26К1,Жулебино
14,Светлана Биличенко,realtor,https://www.cian.ru/rent/flat/307385357/,Москва,rent,flat,9,9,2,42.0,47000,0,Печатники,Шоссейная ,37,Депо
15,ID 52726,unknown,https://www.cian.ru/rent/flat/307649967/,Москва,rent,flat,15,17,1,39.0,45000,0,Рязанский,Мещерский переулок,6К2,Окская
16,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307214415/,Москва,rent,flat,9,17,2,55.0,50000,0,Выхино-Жулебино,Привольная ,9К1,Лермонтовский проспект
17,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306498449/,Москва,rent,flat,9,17,1,36.9,54500,0,Кузьминки, Юных Ленинцев,125,Кузьминки
18,ID 12457325,realtor,https://www.cian.ru/rent/flat/307407500/,Москва,rent,flat,6,12,2,38.0,55000,0,Новогиреево, Алексея Дикого,5К2,Новогиреево
19,ID 50594252,homeowner,https://www.cian.ru/rent/flat/307650899/,Москва,rent,flat,6,10,2,45.0,53000,0,Выхино-Жулебино,Ташкентская ,25К1,Юго-Восточная
20,ID 478645,realtor,https://www.cian.ru/rent/flat/307387201/,Москва,rent,flat,5,5,2,42.0,48000,0,Перово, Плеханова,26К1,Перово
21,Горизонт,real_estate_agent,https://www.cian.ru/rent/flat/307652537/,Москва,rent,flat,6,9,2,46.0,60000,0,Ивановское,Напольный проезд,12,Новогиреево
22,Елена Стометова,realtor,https://www.cian.ru/rent/flat/307561705/,Москва,rent,flat,3,9,2,45.0,60000,0,Марьино,Новочеркасский бульвар,9,Курьяново
23,ID 95720674,unknown,https://www.cian.ru/rent/flat/307627741/,Москва,rent,flat,9,9,2,43.0,55000,0,Вешняки,Косинская ,26К1,Выхино
24,Ольга Жуйкова,realtor,https://www.cian.ru/rent/flat/307282822/,Москва,rent,flat,11,17,2,54.0,55000,0,Некрасовка,2-я Вольская ,3,Люберцы
