,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307711392/,Москва,rent,flat,1,17,2,68.0,60000,0,пос. ВНИИССОК, Михаила Кутузова,7,
1,Манхэттен эстейт,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307704667/,Москва,rent,flat,1,10,2,65.0,70000,0,, Гвардейская,15,Внуково
2,ГеоМЕТРиЯ,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307636512/,Москва,rent,flat,5,9,2,69.0,60000,0,Лесной Городок дп,Фасадная ,14,
3,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307627733/,Москва,rent,flat,10,19,2,65.0,65000,0,, Триумфальная,12,Внуково
4,ПИК-Аренда,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307565188/,Москва,rent,flat,10,15,2,57.7,73000,0,, Рябиновая,1,Внуково
5,Чеховский Недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307539369/,Москва,rent,flat,14,17,2,63.7,60000,0,пос. ВНИИССОК, Михаила Кутузова,5,
6,ID 315895,realtor,https://odintsovo.cian.ru/rent/flat/307534112/,Москва,rent,flat,3,3,2,50.0,35000,0,,,,
7,Сергей Добрынин,realtor,https://odintsovo.cian.ru/rent/flat/307455390/,Москва,rent,flat,10,16,2,65.1,65000,0,, Рябиновая,1,Внуково
8,ID 78255158,homeowner,https://odintsovo.cian.ru/rent/flat/307454012/,Москва,rent,flat,7,19,2,58.6,75000,0,, Каштановая,14,Внуково
9,Иван Тетерук,realtor,https://odintsovo.cian.ru/rent/flat/307291977/,Москва,rent,flat,2,17,2,50.0,50000,0,пос. ВНИИССОК, Михаила Кутузова,15,
10,ID 109107273,homeowner,https://odintsovo.cian.ru/rent/flat/307252823/,Москва,rent,flat,14,17,2,52.0,25000,0,, Триумфальная,4,Внуково
11,ID 107523022,realtor,https://odintsovo.cian.ru/rent/flat/306313252/,Москва,rent,flat,20,33,2,57.9,55000,0,, Каштановая,7,Внуково
12,YUZHIN,real_estate_agent,https://odintsovo.cian.ru/rent/flat/306226486/,Москва,rent,flat,5,25,2,53.0,55000,0,, Белорусская,10,Внуково
13,ID 111304696,homeowner,https://odintsovo.cian.ru/rent/flat/305393720/,Москва,rent,flat,7,25,2,55.0,65000,0,, Каштановая,6,Внуково
14,ID 111366884,homeowner,https://www.cian.ru/rent/flat/297007141/,Москва,rent,flat,4,10,2,54.0,38000,0,пос. Власиха, Заозерная,21,
15,ID 96752975,homeowner,https://odintsovo.cian.ru/rent/flat/284742813/,Москва,rent,flat,5,11,2,67.0,70000,0,, Гвардейская,15,Внуково
16,Владислав Харитонов,realtor,https://www.cian.ru/rent/flat/282254285/,Москва,rent,flat,3,5,2,55.0,50000,0,пос. Власиха,бульвар Цветной,4,
17,ID 24403,unknown,https://odintsovo.cian.ru/rent/flat/269689551/,Москва,rent,flat,14,16,2,55.0,55000,0,,Комсомольская ,9,Внуково
18,Михаил Шилов,realtor,https://odintsovo.cian.ru/rent/flat/264365646/,Москва,rent,flat,8,17,2,69.0,70000,0,пос. ВНИИССОК, Дениса Давыдова,11,
19,МИЛЛЕНИУМ,real_estate_agent,https://odintsovo.cian.ru/rent/flat/223019591/,Москва,rent,flat,2,2,2,50.0,50000,0,,,,
20,Realty Group,real_estate_agent,https://odintsovo.cian.ru/rent/flat/221173523/,Москва,rent,flat,4,8,2,136.0,120000,0,,,,
21,ID 15921733,homeowner,https://odintsovo.cian.ru/rent/flat/185498389/,Москва,rent,flat,3,10,2,68.0,70000,0,,,,
22,ID 88810026,homeowner,https://odintsovo.cian.ru/rent/flat/304642524/,Москва,rent,flat,5,25,2,58.0,65000,0,,,4,Одинцово
23,Марина Захарченко,realtor,https://odintsovo.cian.ru/rent/flat/307508788/,Москва,rent,flat,20,28,2,74.0,95000,0,,Можайское шоссе,122,Баковка
24,ID 9861,realtor,https://odintsovo.cian.ru/rent/flat/306239753/,Москва,rent,flat,4,18,2,53.3,55000,0,, Маршала Бирюзова,1с2,Одинцово
