,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 24509,realtor,https://dolgoprudny.cian.ru/rent/flat/307722581/,Москва,rent,flat,1,9,3,90.0,80000,0,,Дирижабельная ,6к1,Водники
1,Vira Group,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307670936/,Москва,rent,flat,2,8,3,42.3,50000,0,,Центральная ,5,Водники
2,Елена Гольцман,realtor,https://mytishchi.cian.ru/rent/flat/307362187/,Москва,rent,flat,3,4,3,112.0,75000,0,пос. Поведники, Центральная,14А,
3,ID 67579498,unknown,https://dolgoprudny.cian.ru/rent/flat/307335483/,Москва,rent,flat,10,18,3,104.5,95000,0,,Набережная ,23к1,Водники
4,ID 75254209,homeowner,https://mytishchi.cian.ru/rent/flat/306710577/,Москва,rent,flat,4,5,3,110.0,90000,0,,,,
5,Градсити,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/286862567/,Москва,rent,flat,7,14,3,96.0,75000,0,,Набережная ,23,Водники
6,Татьяна Крылова,realtor,https://mytishchi.cian.ru/rent/flat/265781448/,Москва,rent,flat,3,4,3,107.0,120000,0,пос. Поведники, Центральная,14А,
7,Самолет плюс - Москва,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307668168/,Москва,rent,flat,15,22,2,57.0,40000,0,,Набережная ,27,Водники
8,ID 13486117,unknown,https://dolgoprudny.cian.ru/rent/flat/265482300/,Москва,rent,flat,6,9,1,36.0,50000,0,, Циолковского,7,Водники
9,ID 36254226,homeowner,https://dolgoprudny.cian.ru/rent/flat/306410866/,Москва,rent,flat,17,27,1,44.2,28000,0,,Новый бульвар,7,Водники
10,Градомиръ,real_estate_agent,https://lobnya.cian.ru/rent/flat/307699698/,Москва,rent,flat,4,17,1,35.0,35000,0,, Физкультурная,8,Лобня
11,ID 13465034,homeowner,https://dolgoprudny.cian.ru/rent/flat/307394297/,Москва,rent,flat,22,23,1,25.0,47000,0,,Парковая ,52,Водники
12,ID 86211378,homeowner,https://dolgoprudny.cian.ru/rent/flat/292359560/,Москва,rent,flat,22,24,1,26.0,40000,0,,Парковая ,52,Водники
13,Про Жильё,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307724852/,Москва,rent,flat,22,23,1,30.0,45000,0,,Парковая ,54,Водники
14,ID 15770953,homeowner,https://dolgoprudny.cian.ru/rent/flat/307584889/,Москва,rent,flat,16,23,-1,24.0,43000,0,,Парковая ,54,Водники
15,ID 17978977,homeowner,https://dolgoprudny.cian.ru/rent/flat/307626760/,Москва,rent,flat,3,3,1,20.0,37000,0,, Лизы Чайкиной,14/15,Шереметьевская
16,ID 13477409,homeowner,https://dolgoprudny.cian.ru/rent/flat/307721514/,Москва,rent,flat,5,23,1,40.0,57000,0,,Парковая ,44к1,Водники
17,ID 13338546,homeowner,https://dmitrov.cian.ru/rent/flat/307472984/,Москва,rent,flat,6,9,1,32.0,30000,0,Дмитров,Пушкинская ,96,
18,Ольга Самарина,realtor,https://lobnya.cian.ru/rent/flat/306661353/,Москва,rent,flat,2,19,-1,18.0,35000,0,, Жирохова,1,Лобня
19,ID 123895,realtor,https://lobnya.cian.ru/rent/flat/282595136/,Москва,rent,flat,8,16,1,49.0,35000,0,,проезд Шадунца,7,Лобня
20,MOTYLEK - департамент недвижимости,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307587937/,Москва,rent,flat,5,5,1,32.0,35000,0,,Спортивная ,1,Водники
21,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://mytishchi.cian.ru/rent/flat/300009862/,Москва,rent,flat,4,10,1,43.0,35000,0,,,,
22,Estwig-недвижимость офис Москва-Сити,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/276650023/,Москва,rent,flat,17,17,1,44.0,45000,0,,Лихачевский проспект,70к2,Водники
23,ID 72329732,realtor,https://dolgoprudny.cian.ru/rent/flat/307391754/,Москва,rent,flat,19,20,2,45.0,50000,0,,проспект Ракетостроителей,9к3,Водники
24,ID 72329732,realtor,https://dolgoprudny.cian.ru/rent/flat/307626725/,Москва,rent,flat,1,5,2,45.0,40000,0,,Театральная ,6а,Водники
