,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,GARUDA РИЭЛТИ,real_estate_agent,https://www.cian.ru/rent/flat/307726036/,Москва,rent,flat,25,40,3,85.0,170000,0,Войковский,Ленинградское шоссе,25к2,Водный стадион
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721253/,Москва,rent,flat,25,40,3,85.0,170000,0,Войковский,Ленинградское шоссе,25к2,Водный стадион
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307701683/,Москва,rent,flat,3,5,3,65.0,80000,0,Головинский,Михалковская ,44,Водный стадион
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307654627/,Москва,rent,flat,21,34,3,60.0,240000,0,Войковский, Адмирала Макарова,6Ак1,Водный стадион
4,МК-Гарант,real_estate_agent,https://www.cian.ru/rent/flat/307641509/,Москва,rent,flat,6,17,3,113.0,140000,0,Головинский,Флотская ,2,Водный стадион
5,ID 21374,realtor,https://www.cian.ru/rent/flat/307624604/,Москва,rent,flat,5,22,3,63.0,110000,0,Головинский,Кронштадтский бульвар,9к3,Водный стадион
6,ID 86391259,realtor,https://www.cian.ru/rent/flat/307614848/,Москва,rent,flat,7,18,3,60.0,110000,0,Головинский,Михалковская ,48к2,Водный стадион
7,Юлия Чуркина,realtor,https://www.cian.ru/rent/flat/307529522/,Москва,rent,flat,7,16,3,64.2,75000,0,Головинский,3-й Лихачевский переулок,1К1,Водный стадион
8,Елена Носкова,realtor,https://www.cian.ru/rent/flat/307506590/,Москва,rent,flat,4,14,3,103.0,220000,0,Левобережный,Ленинградское шоссе,69к2,Водный стадион
9,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307496134/,Москва,rent,flat,8,20,3,115.4,200000,0,Левобережный,Ленинградское шоссе,69к2,Водный стадион
10,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307366424/,Москва,rent,flat,2,5,3,56.0,77500,0,Головинский,Кронштадтский бульвар,53,Водный стадион
11,ID 40411502,homeowner,https://www.cian.ru/rent/flat/307347977/,Москва,rent,flat,21,33,3,86.0,200000,0,Головинский,Кронштадтский бульвар,8к1,Водный стадион
12,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307304658/,Москва,rent,flat,21,34,3,65.0,250000,0,Войковский, Адмирала Макарова,6Ак1,Водный стадион
13,ID 15131148,homeowner,https://www.cian.ru/rent/flat/307287342/,Москва,rent,flat,21,34,3,60.0,240000,0,Войковский, Адмирала Макарова,6Ак1,Водный стадион
14,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307144191/,Москва,rent,flat,3,29,3,54.0,170000,0,Головинский,Пулковская ,2,Водный стадион
15,ID 420881,unknown,https://www.cian.ru/rent/flat/307036113/,Москва,rent,flat,10,16,3,64.8,78000,0,Головинский,Авангардная ,11,Водный стадион
16,Роман Дыбин,realtor,https://www.cian.ru/rent/flat/306971073/,Москва,rent,flat,11,20,3,75.0,120000,0,Головинский,Смольная ,21А,Водный стадион
17,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/306947743/,Москва,rent,flat,15,25,3,88.0,150000,0,Войковский,Выборгская ,7к1,Водный стадион
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306557062/,Москва,rent,flat,4,17,3,100.0,135000,0,Головинский,Пулковская ,4К3,Водный стадион
19,Ирина Николаевна Иванилова,realtor,https://www.cian.ru/rent/flat/306447664/,Москва,rent,flat,6,14,3,75.0,85000,0,Головинский,Авангардная ,13,Водный стадион
20,ID 102805074,unknown,https://www.cian.ru/rent/flat/306258595/,Москва,rent,flat,13,27,3,76.6,165000,0,Войковский, Адмирала Макарова,6Бк1,Водный стадион
21,ID 71495071,homeowner,https://www.cian.ru/rent/flat/306042845/,Москва,rent,flat,4,17,3,100.0,135000,0,Головинский,Пулковская ,4К3,Водный стадион
22,ID 47197612,realtor,https://www.cian.ru/rent/flat/304320831/,Москва,rent,flat,22,25,3,122.0,150000,0,Головинский,Пулковская ,4К1,Водный стадион
23,ID 13397917,realtor,https://www.cian.ru/rent/flat/296650188/,Москва,rent,flat,3,14,3,73.9,90000,0,Головинский,Онежская ,18К1,Водный стадион
24,ID 129432,realtor,https://www.cian.ru/rent/flat/197508461/,Москва,rent,flat,5,6,3,78.0,95000,0,Левобережный,Ленинградское шоссе,96К1,Водный стадион
25,Игорь Мусаев,realtor,https://www.cian.ru/rent/flat/189827287/,Москва,rent,flat,11,26,3,80.0,150000,0,Головинский,Кронштадтский бульвар,6к1,Водный стадион
26,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
27,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
28,Екатерина Егорова,realtor,https://www.cian.ru/rent/flat/305216869/,Москва,rent,flat,23,32,2,51.0,120000,0,Головинский,Кронштадтский бульвар,8к1,Водный стадион
