,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 89975319,homeowner,https://www.cian.ru/rent/flat/307723116/,Москва,rent,flat,12,13,1,40.0,90000,0,Войковский,Ленинградское шоссе,13К1,Войковская
1,Антон Бочкарев,realtor,https://www.cian.ru/rent/flat/307721330/,Москва,rent,flat,4,5,1,31.3,70000,0,Войковский,Ленинградское шоссе,48К1,Войковская
2,Виталий Михеев,realtor,https://www.cian.ru/rent/flat/307716439/,Москва,rent,flat,6,24,1,44.0,65000,0,Коптево,Соболевский проезд,20Б,Войковская
3,Наталья Светлая,realtor,https://www.cian.ru/rent/flat/307680806/,Москва,rent,flat,2,4,1,35.4,50000,0,Войковский,Ленинградское шоссе,38К1,Войковская
4,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307661566/,Москва,rent,flat,14,14,1,40.0,71000,0,Коптево, Приорова,30,Войковская
5,BM-estate Восточный офис,real_estate_agent,https://www.cian.ru/rent/flat/307660724/,Москва,rent,flat,6,17,1,40.0,70000,0,Войковский,Нарвская ,1Ак2,Войковская
6,Андрей Алябьев,realtor,https://www.cian.ru/rent/flat/307635938/,Москва,rent,flat,9,15,1,35.0,80000,0,Коптево, Зои и Александра Космодемьянских,42,Войковская
7,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307606902/,Москва,rent,flat,8,14,1,63.0,130000,0,Коптево,Новопетровская ,3,Войковская
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307602688/,Москва,rent,flat,8,14,1,63.0,130000,0,Коптево,Новопетровская ,3,Войковская
9,Юлия Куприянова,realtor,https://www.cian.ru/rent/flat/307602087/,Москва,rent,flat,8,14,1,63.0,130000,0,Коптево,Новопетровская ,3,Войковская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307584455/,Москва,rent,flat,9,15,1,36.0,75000,0,Коптево, Зои и Александра Космодемьянских,42,Войковская
11,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307583472/,Москва,rent,flat,4,5,1,37.0,50000,0,Войковский, Зои и Александра Космодемьянских,24А,Войковская
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307566687/,Москва,rent,flat,1,10,1,30.0,72000,0,Войковский, Адмирала Макарова,6А,Войковская
13,Николай Морозов,realtor,https://www.cian.ru/rent/flat/307549075/,Москва,rent,flat,5,6,1,35.0,65000,0,Войковский, Зои и Александра Космодемьянских,18к1,Войковская
14,Ирина Коврова,realtor,https://www.cian.ru/rent/flat/307527836/,Москва,rent,flat,2,5,1,32.4,48000,0,Коптево,Коптевский бульвар,15,Войковская
15,Александр Таубес,realtor,https://www.cian.ru/rent/flat/307437518/,Москва,rent,flat,13,19,1,46.0,80000,0,Войковский,5-й Войковский проезд,16к2,Войковская
16,СМАРЕНТ,real_estate_agent,https://www.cian.ru/rent/flat/307402334/,Москва,rent,flat,6,6,1,57.0,109900,0,Войковский,Старопетровский проезд,1с1,Войковская
17,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307386325/,Москва,rent,flat,4,9,1,42.0,50000,0,Войковский, Клары Цеткин,17,Войковская
18,ID 85112625,realtor,https://www.cian.ru/rent/flat/307330573/,Москва,rent,flat,6,15,1,50.0,70000,0,Коптево, Зои и Александра Космодемьянских,42,Войковская
19,ID 14615,realtor,https://www.cian.ru/rent/flat/307327710/,Москва,rent,flat,3,12,1,36.0,70000,0,Войковский, Космонавта Волкова,11,Войковская
20,ID 114138109,unknown,https://www.cian.ru/rent/flat/307244995/,Москва,rent,flat,12,22,1,36.4,130000,0,Щукино,Большой Волоколамский проезд,23,Войковская
21,Лана  Сергеева,realtor,https://www.cian.ru/rent/flat/307105645/,Москва,rent,flat,5,6,1,28.0,55000,0,Войковский, Клары Цеткин,13,Войковская
22,Елена Владимировна  Ратич,realtor,https://www.cian.ru/rent/flat/306858646/,Москва,rent,flat,4,17,1,35.0,70000,0,Войковский,Ленинградское шоссе,29,Войковская
23,ID 7493880,official_representative,https://www.cian.ru/rent/flat/306380788/,Москва,rent,flat,15,27,1,39.4,110000,0,Войковский, Адмирала Макарова,6Бк1,Войковская
24,ID 93065670,homeowner,https://www.cian.ru/rent/flat/306286953/,Москва,rent,flat,12,12,1,35.0,65000,0,Войковский, Космонавта Волкова,11,Войковская
25,Алла Котоман,realtor,https://www.cian.ru/rent/flat/292628083/,Москва,rent,flat,8,25,1,37.0,70000,0,Щукино,Волоколамское шоссе,24к1,Войковская
26,ID 10955341,unknown,https://www.cian.ru/rent/flat/277064229/,Москва,rent,flat,11,14,1,39.0,80000,0,Войковский,1-я Радиаторская ,1,Войковская
27,ID 45096473,realtor,https://www.cian.ru/rent/flat/276052228/,Москва,rent,flat,10,14,1,40.0,48000,0,Коптево,Новопетровская ,14,Войковская
28,Александра Мирошниченко,realtor,https://www.cian.ru/rent/flat/305944367/,Москва,rent,flat,9,14,1,20.0,60000,0,Сокол,Балтийская ,15,Сокол
29,Михаил Акуленко,realtor,https://www.cian.ru/rent/flat/290723730/,Москва,rent,flat,9,17,2,58.7,55000,0,Левобережный,Ленинградское шоссе,128,Беломорская
30,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307590913/,Москва,rent,flat,7,9,1,41.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Аэропорт
