,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Холдинг Профи,real_estate_agent,https://www.cian.ru/rent/flat/307723598/,Москва,rent,flat,28,30,1,46.0,140000,0,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703107/,Москва,rent,flat,4,30,1,42.0,125000,0,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект
2,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307684285/,Москва,rent,flat,9,30,1,40.0,90000,0,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект
3,TheBest,real_estate_agent,https://www.cian.ru/rent/flat/307651345/,Москва,rent,flat,8,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект
4,ID 109209993,realtor,https://www.cian.ru/rent/flat/307641565/,Москва,rent,flat,13,30,1,34.0,130000,0,Южнопортовый,Волгоградский проспект,32/3к1,Волгоградский проспект
5,ID 18169935,unknown,https://www.cian.ru/rent/flat/307609888/,Москва,rent,flat,4,30,1,42.0,125000,0,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606184/,Москва,rent,flat,18,30,1,26.0,68000,0,Южнопортовый,Волгоградский проспект,32/3к3,Волгоградский проспект
7,BOND недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307586766/,Москва,rent,flat,16,30,1,40.0,85000,0,Южнопортовый,Волгоградский проспект,32/5к2,Волгоградский проспект
8,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307581793/,Москва,rent,flat,16,30,1,30.0,65000,0,Южнопортовый,Волгоградский проспект,32/3к3,Волгоградский проспект
9,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307581343/,Москва,rent,flat,1,5,1,24.0,50000,0,Таганский, Талалихина,39,Волгоградский проспект
10,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307496901/,Москва,rent,flat,7,30,1,29.0,70000,0,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307454859/,Москва,rent,flat,7,30,1,28.0,70000,0,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект
12,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307433246/,Москва,rent,flat,17,30,1,40.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Волгоградский проспект
13,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307249921/,Москва,rent,flat,17,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Волгоградский проспект
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307220437/,Москва,rent,flat,17,30,1,38.0,82000,0,Южнопортовый,Волгоградский проспект,32/3к3,Волгоградский проспект
15,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307151897/,Москва,rent,flat,17,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Волгоградский проспект
16,Марина Морозова,realtor,https://www.cian.ru/rent/flat/306074068/,Москва,rent,flat,7,12,1,40.0,100000,0,Таганский,Малая Калитниковская ,2К2,Волгоградский проспект
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305931038/,Москва,rent,flat,6,12,1,32.0,130000,0,Таганский,Малая Калитниковская ,2К2,Волгоградский проспект
18,ID 12546434,homeowner,https://www.cian.ru/rent/flat/301410715/,Москва,rent,flat,9,30,1,45.4,110000,0,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект
19,ID 13372402,unknown,https://www.cian.ru/rent/flat/297175653/,Москва,rent,flat,11,20,1,48.0,90000,0,Южнопортовый, Мельникова,3к2,Волгоградский проспект
20,ID 378904,homeowner,https://www.cian.ru/rent/flat/290468620/,Москва,rent,flat,2,8,1,27.0,77000,0,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект
21,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307590913/,Москва,rent,flat,7,9,1,41.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Аэропорт
22,ID 102999917,unknown,https://www.cian.ru/rent/flat/307627422/,Москва,rent,flat,12,16,1,46.0,90000,0,Даниловский,Автозаводская ,23С120,ЗИЛ
23,ID 69392442,homeowner,https://www.cian.ru/rent/flat/251955241/,Москва,rent,flat,6,8,1,40.0,80000,0,Басманный, Земляной Вал,39/1С1,Чкаловская
24,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307261388/,Москва,rent,flat,8,8,2,45.0,100000,0,Даниловский,Дербеневская набережная,11А,Крестьянская застава
