,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 144770,realtor,https://krasnogorsk.cian.ru/rent/flat/307750527/,Москва,rent,flat,7,25,1,46.0,45000,0,д. Путилково, Сходненская,7,
1,Юрий Луизо,realtor,https://krasnogorsk.cian.ru/rent/flat/307744723/,Москва,rent,flat,14,25,1,44.5,40000,0,д. Путилково,бульвар Спасо-Тушинский,8,
2,ID 44474256,homeowner,https://krasnogorsk.cian.ru/rent/flat/307737813/,Москва,rent,flat,12,15,1,37.0,65000,0,пос. Отрадное, Лесная,19к4,
3,ID 8618,realtor,https://www.cian.ru/rent/flat/307736377/,Москва,rent,flat,24,25,1,46.0,54000,0,Митино,Митинская ,28к4,Волоколамская
4,Capital Mars,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307712636/,Москва,rent,flat,19,22,1,49.0,70000,0,,бульвар Красногорский,17,Волоколамская
5,Анжелика Николаевна Мерзликина,realtor,https://krasnogorsk.cian.ru/rent/flat/307706291/,Москва,rent,flat,3,17,1,42.0,49000,0,,бульвар Подмосковный,6,Волоколамская
6,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307706241/,Москва,rent,flat,4,25,1,32.0,55000,0,Митино,Муравская ,38к2,Волоколамская
7,ID 82796878,homeowner,https://krasnogorsk.cian.ru/rent/flat/307705382/,Москва,rent,flat,19,22,1,49.3,70000,0,,бульвар Красногорский,17,Волоколамская
8,ID 47959143,realtor,https://www.cian.ru/rent/flat/307704640/,Москва,rent,flat,21,27,1,45.0,65000,0,Митино,Пятницкое шоссе,21,Волоколамская
9,ID 90471668,homeowner,https://krasnogorsk.cian.ru/rent/flat/307704043/,Москва,rent,flat,24,26,1,38.0,75000,0,,бульвар Красногорский,26,Волоколамская
10,ID 269428,realtor,https://www.cian.ru/rent/flat/307701558/,Москва,rent,flat,11,27,1,42.0,55000,0,Митино,Пятницкое шоссе,21,Волоколамская
11,ID 13094960,homeowner,https://krasnogorsk.cian.ru/rent/flat/307696171/,Москва,rent,flat,8,26,1,45.0,40000,0,д. Путилково, Сходненская,10к2,
12,ПОЙМА24 РУ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307693779/,Москва,rent,flat,3,3,1,15.0,31000,0,,бульвар Павшинский,41,Волоколамская
13,Михаил Мурашов,realtor,https://www.cian.ru/rent/flat/307688988/,Москва,rent,flat,16,22,1,40.0,50000,0,Митино,Пятницкое шоссе,12к3,Волоколамская
14,ID 75909460,realtor,https://krasnogorsk.cian.ru/rent/flat/307688568/,Москва,rent,flat,28,46,1,38.1,65000,0,, Авангардная,4,Волоколамская
15,ID 13352358,realtor,https://krasnogorsk.cian.ru/rent/flat/307678602/,Москва,rent,flat,9,16,1,43.0,60000,0,, Спасская,4,Волоколамская
16,ID 12243106,unknown,https://krasnogorsk.cian.ru/rent/flat/307668070/,Москва,rent,flat,9,25,1,34.3,50000,0,д. Путилково, Просторная,12,
17,ID 119886752,homeowner,https://krasnogorsk.cian.ru/rent/flat/307659253/,Москва,rent,flat,7,9,1,32.3,45000,0,д. Сабурово, Парковая,24,
18,ID 57244895,realtor,https://krasnogorsk.cian.ru/rent/flat/307657552/,Москва,rent,flat,7,17,1,45.0,50000,0,,бульвар Красногорский,19,Волоколамская
19,Capital Mars,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307656483/,Москва,rent,flat,22,25,1,44.0,50000,0,д. Путилково, Сходненская,3,
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307654622/,Москва,rent,flat,4,25,1,32.0,55000,0,Митино,Муравская ,38к2,Волоколамская
21,Каскад,real_estate_agent,https://www.cian.ru/rent/flat/307654440/,Москва,rent,flat,17,17,1,38.0,50000,0,Митино, Барышиха,21,Волоколамская
22,Игорь Юдочкин,realtor,https://www.cian.ru/rent/flat/307654164/,Москва,rent,flat,2,22,1,36.6,50000,0,Митино,Муравская ,38к2,Волоколамская
23,ID 50570,realtor,https://www.cian.ru/rent/flat/307652272/,Москва,rent,flat,8,14,1,37.8,60000,0,Митино,Митинская ,49,Волоколамская
24,ID 19066360,homeowner,https://krasnogorsk.cian.ru/rent/flat/307650650/,Москва,rent,flat,3,8,1,32.9,60000,0,д. Сабурово, Парковая,24,
25,Павел Пинек,realtor,https://www.cian.ru/rent/flat/307641679/,Москва,rent,flat,6,17,1,38.0,49000,0,Митино,Митинская ,52,Волоколамская
26,ID 95428605,realtor,https://krasnogorsk.cian.ru/rent/flat/307634921/,Москва,rent,flat,15,18,1,44.0,48000,0,д. Путилково,шоссе Путилковское,4к1,
27,Capital Mars,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307628873/,Москва,rent,flat,17,19,1,32.0,65000,0,д. Путилково, Просторная,15,
28,ID 105722935,realtor,https://krasnogorsk.cian.ru/rent/flat/307617129/,Москва,rent,flat,9,23,1,46.4,70000,0,, Спасская,1к1,Волоколамская
29,ID 2058,realtor,https://krasnogorsk.cian.ru/rent/flat/307614554/,Москва,rent,flat,8,9,1,48.1,50000,0,д. Сабурово, Парковая,13,
30,Ирина Бережная,realtor,https://krasnogorsk.cian.ru/rent/flat/307610486/,Москва,rent,flat,13,25,1,32.0,50000,0,д. Путилково, Просторная,11,
31,ID 74181199,homeowner,https://krasnogorsk.cian.ru/rent/flat/307602026/,Москва,rent,flat,17,19,1,32.0,65000,0,д. Путилково, Просторная,15,
32,Континент-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307581846/,Москва,rent,flat,19,30,1,43.0,70000,0,,бульвар Красногорский,25,Волоколамская
33,Марат Мкртумов,realtor,https://krasnogorsk.cian.ru/rent/flat/307549647/,Москва,rent,flat,13,17,1,38.0,58000,0,, Имени Зверева,8,Волоколамская
34,Елена Кортукова,realtor,https://krasnogorsk.cian.ru/rent/flat/307521321/,Москва,rent,flat,25,25,1,36.5,70000,0,д. Путилково, Просторная,9,
35,Оксана  Александровна Алистратова,realtor,https://krasnogorsk.cian.ru/rent/flat/307491285/,Москва,rent,flat,3,4,1,48.1,55000,0,пос. Отрадное, Айвазовского,1,
36,Makarov Home,real_estate_agent,https://www.cian.ru/rent/flat/307414523/,Москва,rent,flat,10,25,1,50.0,90000,0,Митино,Митинская ,10,Волоколамская
37,Андрей Алябьев,realtor,https://krasnogorsk.cian.ru/rent/flat/307391497/,Москва,rent,flat,2,17,1,43.0,60000,0,, Спасская,6,Волоколамская
38,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307364125/,Москва,rent,flat,9,16,1,39.0,55000,0,Северное Тушино, Вилиса Лациса,35,Волоколамская
39,Елена Скугаревская,realtor,https://krasnogorsk.cian.ru/rent/flat/307259464/,Москва,rent,flat,11,16,1,42.0,54000,0,, Спасская,4,Волоколамская
40,ID 57096143,realtor,https://www.cian.ru/rent/flat/307145999/,Москва,rent,flat,10,18,1,38.1,50000,0,Северное Тушино, Вилиса Лациса,38к1,Волоколамская
41,ID 56650852,unknown,https://krasnogorsk.cian.ru/rent/flat/307134873/,Москва,rent,flat,5,23,1,50.0,73000,0,,бульвар Красногорский,20,Волоколамская
42,ПОЙМА24 РУ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307121592/,Москва,rent,flat,3,22,1,30.0,43998,0,,бульвар Красногорский,21,Волоколамская
43,ID 26510,realtor,https://krasnogorsk.cian.ru/rent/flat/307089616/,Москва,rent,flat,18,25,1,37.0,34000,0,д. Путилково, Просторная,15,
44,Самолет Плюс Семеновская,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307079421/,Москва,rent,flat,3,12,1,40.0,51000,0,д. Путилково, Просторная,4,
45,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307066061/,Москва,rent,flat,7,24,1,33.0,65000,0,Митино,Митинская ,16,Волоколамская
46,Семейный очаг,real_estate_agent,https://www.cian.ru/rent/flat/307035987/,Москва,rent,flat,25,25,1,40.0,80000,0,Митино,Митинская ,53К1,Волоколамская
47,ПИК-Аренда,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307007809/,Москва,rent,flat,9,9,1,20.7,35000,0,тихий 1-комн. квартира,9/9 этаж,9/9 этаж,
48,Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/306856818/,Москва,rent,flat,14,17,1,38.0,55000,0,Митино,Новотушинский проезд,8К1,Волоколамская
49,EMPIRE HOME,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/306853758/,Москва,rent,flat,9,17,1,40.0,52000,0,, Имени Зверева,4,Волоколамская
50,ID 71244441,homeowner,https://krasnogorsk.cian.ru/rent/flat/306729626/,Москва,rent,flat,2,16,1,35.0,55000,0,д. Путилково, Просторная,1к1,
51,EMPIRE HOME,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/306609908/,Москва,rent,flat,4,7,1,120.0,38000,0,Аристово-Митино ЖК, Весенняя,5,
52,ID 16991529,homeowner,https://www.cian.ru/rent/flat/306575553/,Москва,rent,flat,19,25,1,40.0,65000,0,Митино,Муравская ,38к1,Волоколамская
53,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306540362/,Москва,rent,flat,17,19,1,48.0,115000,0,Покровское-Стрешнево,Волоколамское шоссе,95/2к8,Волоколамская
