,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 12965,realtor,https://www.cian.ru/rent/flat/307724359/,Москва,rent,flat,8,9,2,49.0,120000,0,Гагаринский,Ленинский проспект,34/1,Воробьёвы горы
1,ID 23288,unknown,https://www.cian.ru/rent/flat/307592572/,Москва,rent,flat,4,12,2,54.1,175000,0,Донской,Ленинский проспект,37,Воробьёвы горы
2,ID 270373,realtor,https://www.cian.ru/rent/flat/307577056/,Москва,rent,flat,3,7,2,54.0,85000,0,Гагаринский,Молодежная ,6,Воробьёвы горы
3,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/307549467/,Москва,rent,flat,2,8,2,86.0,290000,0,Хамовники, Хамовнический Вал,38,Воробьёвы горы
4,ID 16366,realtor,https://www.cian.ru/rent/flat/307415359/,Москва,rent,flat,4,8,2,53.0,150000,0,Донской,Ленинский проспект,30,Воробьёвы горы
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307358412/,Москва,rent,flat,5,9,2,58.0,135000,0,Гагаринский, Косыгина,13,Воробьёвы горы
6,Флэт Линк,real_estate_agent,https://www.cian.ru/rent/flat/306903111/,Москва,rent,flat,5,9,2,58.0,135000,0,Гагаринский, Косыгина,13,Воробьёвы горы
7,Елена Андреева,realtor,https://www.cian.ru/rent/flat/306681925/,Москва,rent,flat,4,8,2,81.0,350000,0,Хамовники, Хамовнический Вал,36,Воробьёвы горы
8,Екатерина Кулинич,realtor,https://www.cian.ru/rent/flat/306108688/,Москва,rent,flat,4,8,2,79.0,150000,0,Хамовники, Хамовнический Вал,14,Воробьёвы горы
9,ID 116465485,homeowner,https://www.cian.ru/rent/flat/305722739/,Москва,rent,flat,3,8,2,58.0,150000,0,Донской,Ленинский проспект,30,Воробьёвы горы
10,ID 101776928,homeowner,https://www.cian.ru/rent/flat/296048389/,Москва,rent,flat,4,9,2,50.0,90000,0,Гагаринский,Ленинский проспект,32,Воробьёвы горы
11,ID 28822716,homeowner,https://www.cian.ru/rent/flat/287545831/,Москва,rent,flat,8,8,2,54.0,120000,0,Хамовники, Хамовнический Вал,14,Воробьёвы горы
12,ID 19429954,homeowner,https://www.cian.ru/rent/flat/279174621/,Москва,rent,flat,2,14,2,58.0,150000,0,Гагаринский,Университетский проспект,6К2,Воробьёвы горы
13,Олег Кочнев,realtor,https://www.cian.ru/rent/flat/306897340/,Москва,rent,flat,3,12,2,53.0,145000,0,Хамовники,Большая Пироговская ,53-55,Спортивная
14,Maroom,real_estate_agent,https://www.cian.ru/rent/flat/307062999/,Москва,rent,flat,8,14,1,35.5,88000,0,Хамовники,Малая Пироговская ,27К1,Спортивная
15,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
16,Инна Соломонова,realtor,https://www.cian.ru/rent/flat/307398003/,Москва,rent,flat,5,8,3,84.0,99000,0,Хамовники, Хамовнический Вал,24,Спортивная
17,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307397815/,Москва,rent,flat,4,7,3,86.0,200000,0,Хамовники,Фрунзенская набережная,32,Фрунзенская
18,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307311805/,Москва,rent,flat,13,14,2,49.0,93000,0,Котловка, Дмитрия Ульянова,47,Крымская
19,Геннадий Гаина,realtor,https://www.cian.ru/rent/flat/251289983/,Москва,rent,flat,3,9,1,38.0,60000,0,Гагаринский, Вавилова,54К2,Академическая
20,КОНСИНГО,real_estate_agent,https://www.cian.ru/rent/flat/307530418/,Москва,rent,flat,22,23,2,54.0,90000,0,Раменки,Мичуринский проспект,13к3,Раменки
21,ID 47616901,homeowner,https://www.cian.ru/rent/flat/307397921/,Москва,rent,flat,5,9,2,48.0,75000,0,Раменки,Университетский проспект,23К2,Ломоносовский проспект
22,ID 44635371,homeowner,https://www.cian.ru/rent/flat/293542836/,Москва,rent,flat,3,8,2,57.0,140000,0,Хамовники, Хамовнический Вал,28,Спортивная
23,ID 40430859,homeowner,https://www.cian.ru/rent/flat/271620360/,Москва,rent,flat,6,16,2,54.0,89000,0,Даниловский,Большая Тульская ,2,Тульская
24,Анжелла Рыжкова,realtor,https://www.cian.ru/rent/flat/307505467/,Москва,rent,flat,9,9,1,35.0,120000,0,Хамовники, Плющиха,42,Киевская
