,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 57425382,realtor,https://www.cian.ru/rent/flat/307773200/,Москва,rent,flat,7,17,1,46.0,75000,0,Черемушки, Наметкина,13к2,Воронцовская
1,ID 5629,realtor,https://www.cian.ru/rent/flat/307772140/,Москва,rent,flat,8,16,1,37.0,70000,0,Коньково, Бутлерова,40К1,Воронцовская
2,Олег Рудиков,realtor,https://www.cian.ru/rent/flat/307737874/,Москва,rent,flat,2,22,1,39.0,60000,0,Обручевский,38-й Юго-Запада кв-л,к3,Воронцовская
3,Мария Бобкова,realtor,https://www.cian.ru/rent/flat/307721009/,Москва,rent,flat,1,9,1,35.1,60000,0,Черемушки,Перекопская ,24,Воронцовская
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307671176/,Москва,rent,flat,5,12,1,45.0,70000,0,Обручевский, Академика Челомея,8К2,Воронцовская
5,Татьяна Кулаева,realtor,https://www.cian.ru/rent/flat/307669916/,Москва,rent,flat,2,22,1,38.0,55000,0,Обручевский,38-й Юго-Запада кв-л,,Воронцовская
6,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307661309/,Москва,rent,flat,16,17,1,58.0,65000,0,Ломоносовский, Академика Пилюгина,4,Воронцовская
7,ID 222642,realtor,https://www.cian.ru/rent/flat/307655543/,Москва,rent,flat,2,15,1,35.0,80000,0,Коньково,Профсоюзная ,69,Воронцовская
8,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307612920/,Москва,rent,flat,5,12,1,42.0,70000,0,Обручевский, Академика Челомея,8К2,Воронцовская
9,For COMFORT,real_estate_agent,https://www.cian.ru/rent/flat/307604086/,Москва,rent,flat,5,12,1,44.0,70000,0,Обручевский, Академика Челомея,8К2,Воронцовская
10,Ольга Муковенкова,realtor,https://www.cian.ru/rent/flat/307585461/,Москва,rent,flat,15,16,1,34.5,52000,0,Черемушки, Обручева,65/54,Воронцовская
11,Самолет Плюс Тушино,real_estate_agent,https://www.cian.ru/rent/flat/307547279/,Москва,rent,flat,32,32,1,44.0,120000,0,Черемушки,Херсонская ,43к5,Воронцовская
12,Анжела Головина,realtor,https://www.cian.ru/rent/flat/307533772/,Москва,rent,flat,14,22,1,45.0,70000,0,Обручевский, Новаторов,36К2,Воронцовская
13,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307458379/,Москва,rent,flat,3,22,1,39.0,65000,0,Ломоносовский, Академика Пилюгина,14К2,Воронцовская
14,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307406049/,Москва,rent,flat,3,9,1,31.9,60000,0,Обручевский, Гарибальди,20/29К2,Воронцовская
15,Enkelman Development,real_estate_agent,https://www.cian.ru/rent/flat/307226393/,Москва,rent,flat,29,32,1,63.5,140000,0,Черемушки, Наметкина,18,Воронцовская
16,ID 53348823,unknown,https://www.cian.ru/rent/flat/306603753/,Москва,rent,flat,30,32,1,45.0,110000,0,Черемушки,Херсонская ,43к5,Воронцовская
17,Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/306558238/,Москва,rent,flat,3,25,1,23.0,95000,0,Обручевский, Академика Челомея,7Ас2,Воронцовская
18,ID 96121744,homeowner,https://www.cian.ru/rent/flat/306288899/,Москва,rent,flat,1,9,1,31.7,50000,0,Обручевский, Новаторов,38К1,Воронцовская
19,Наталья Каретова,realtor,https://www.cian.ru/rent/flat/305294938/,Москва,rent,flat,22,34,1,38.3,120000,0,Обручевский, Архитектора Власова,71к2,Воронцовская
20,ID 104580649,homeowner,https://www.cian.ru/rent/flat/304764712/,Москва,rent,flat,13,17,1,38.0,70000,0,Черемушки, Наметкина,9,Воронцовская
21,ID 116394608,homeowner,https://www.cian.ru/rent/flat/304664321/,Москва,rent,flat,1,17,1,37.8,74000,0,Обручевский, Наметкина,1,Воронцовская
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/302954381/,Москва,rent,flat,5,5,1,30.0,75000,0,Черемушки,Херсонская ,36К5,Воронцовская
23,ДНВ Недвижимость офис Западный,real_estate_agent,https://www.cian.ru/rent/flat/300753523/,Москва,rent,flat,12,16,1,40.0,58000,0,Обручевский, Новаторов,40К2,Воронцовская
24,ID 122205,realtor,https://www.cian.ru/rent/flat/164097344/,Москва,rent,flat,7,14,1,37.0,60000,0,Коньково, Введенского,13К1,Воронцовская
25,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Новые Черёмушки
26,ID 22699,realtor,https://www.cian.ru/rent/flat/271799247/,Москва,rent,flat,2,5,1,31.0,57000,0,Котловка,Нагорная ,38К2,Нахимовский проспект
27,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
