,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 85994531,homeowner,https://www.cian.ru/rent/flat/307744282/,Москва,rent,flat,4,5,1,31.3,65000,0,Алексеевский, Кибальчича,12К1,Выставочный центр
1,ID 1176,realtor,https://www.cian.ru/rent/flat/307735596/,Москва,rent,flat,14,22,1,45.0,75000,0,Алексеевский,Маломосковская ,21К1,Выставочный центр
2,Рио-Люкс,real_estate_agent,https://www.cian.ru/rent/flat/307712940/,Москва,rent,flat,8,9,1,31.3,88000,0,Алексеевский, Космонавтов,28,Выставочный центр
3,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307696750/,Москва,rent,flat,20,22,1,45.0,85000,0,Останкинский, Академика Королева,8К2,Выставочный центр
4,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307696068/,Москва,rent,flat,11,14,1,39.0,65000,0,Алексеевский,Маломосковская ,2К2,Выставочный центр
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307668069/,Москва,rent,flat,20,22,1,40.0,85000,0,Останкинский, Академика Королева,8К2,Выставочный центр
6,Алла Звоник,realtor,https://www.cian.ru/rent/flat/307667679/,Москва,rent,flat,13,24,1,45.0,70000,0,Алексеевский,Маломосковская ,21К3,Выставочный центр
7,ID 23276,realtor,https://www.cian.ru/rent/flat/307647016/,Москва,rent,flat,7,9,1,35.0,75000,0,Алексеевский,Маломосковская ,29,Выставочный центр
8,Юрий Муромцев,realtor,https://www.cian.ru/rent/flat/307646965/,Москва,rent,flat,2,5,1,33.0,75000,0,Останкинский,Звездный бульвар,8К2,Выставочный центр
9,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307633360/,Москва,rent,flat,13,24,1,45.0,70000,0,Алексеевский,Маломосковская ,21К3,Выставочный центр
10,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307628383/,Москва,rent,flat,5,5,1,30.0,47000,0,Алексеевский, Константинова,12,Выставочный центр
11,ID 113703899,homeowner,https://www.cian.ru/rent/flat/307585689/,Москва,rent,flat,4,9,1,29.5,70000,0,Алексеевский, Павла Корчагина,16,Выставочный центр
12,Центр Недвижимости плюс,real_estate_agent,https://www.cian.ru/rent/flat/307571999/,Москва,rent,flat,19,30,1,44.0,95000,0,Алексеевский,Староалексеевская ,5А,Выставочный центр
13,ID 24615,realtor,https://www.cian.ru/rent/flat/307548159/,Москва,rent,flat,8,9,1,38.0,70000,0,Алексеевский,проспект Мира,182,Выставочный центр
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307527498/,Москва,rent,flat,3,17,1,42.0,95000,0,Ростокино,проспект Мира,135А,Выставочный центр
15,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307477875/,Москва,rent,flat,10,22,1,38.0,99000,0,Останкинский, Академика Королева,4К1,Выставочный центр
16,ID 23261641,realtor,https://www.cian.ru/rent/flat/307458678/,Москва,rent,flat,3,17,1,42.7,95000,0,Ростокино,проспект Мира,135А,Выставочный центр
17,Римма Тихонова,realtor,https://www.cian.ru/rent/flat/307414106/,Москва,rent,flat,13,14,1,46.0,250000,0,Алексеевский, Космонавтов,10К3,Выставочный центр
18,ID 16150903,realtor,https://www.cian.ru/rent/flat/307206113/,Москва,rent,flat,5,14,1,36.0,65000,0,Алексеевский,Ярославская ,1/9,Выставочный центр
19,ID 120613323,homeowner,https://www.cian.ru/rent/flat/307185099/,Москва,rent,flat,10,22,1,38.0,99000,0,Останкинский, Академика Королева,4К1,Выставочный центр
20,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306819672/,Москва,rent,flat,8,12,1,35.0,71000,0,Алексеевский,Ракетный бульвар,15,Выставочный центр
21,Елена Спасская,realtor,https://www.cian.ru/rent/flat/306780707/,Москва,rent,flat,4,14,1,36.6,70000,0,Алексеевский,Маломосковская ,3,Выставочный центр
22,Анжелика Кротова,realtor,https://korolev.cian.ru/rent/flat/306752111/,Москва,rent,flat,12,19,1,50.0,50000,0,, М.К. Тихонравова,35к1,Выставочный центр
23,Филипп Торбин,realtor,https://www.cian.ru/rent/flat/305460586/,Москва,rent,flat,7,10,1,36.8,77000,0,Останкинский,проспект Мира,99,Выставочный центр
24,Филипп Торбин,realtor,https://www.cian.ru/rent/flat/304841454/,Москва,rent,flat,3,8,1,30.6,60000,0,Алексеевский,Маломосковская ,2К1,Выставочный центр
25,ID 49550815,realtor,https://www.cian.ru/rent/flat/300352634/,Москва,rent,flat,21,22,1,44.0,65000,0,Алексеевский,Маломосковская ,21К3,Выставочный центр
26,Евгений Дмитриев,realtor,https://www.cian.ru/rent/flat/292089313/,Москва,rent,flat,19,21,1,45.0,120000,0,Алексеевский,Маломосковская ,14,Выставочный центр
27,ID 281843,unknown,https://www.cian.ru/rent/flat/271145127/,Москва,rent,flat,20,22,1,40.0,85000,0,Останкинский, Академика Королева,8К2,Выставочный центр
