,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307773248/,Москва,rent,flat,6,9,3,50.0,72000,0,Солнцево, 50 лет Октября,25,Мещерская
1,ID 79957865,unknown,https://www.cian.ru/rent/flat/307744588/,Москва,rent,flat,7,22,3,82.0,100000,0,Тропарево-Никулино,Никулинская ,31,Мещерская
2,ID 89458423,homeowner,https://www.cian.ru/rent/flat/307720037/,Москва,rent,flat,6,9,3,50.0,72000,0,Солнцево, 50 лет Октября,25,Мещерская
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307672375/,Москва,rent,flat,22,24,3,79.8,115000,0,Очаково-Матвеевское,Озерная ,44,Мещерская
4,ID 6766492,realtor,https://www.cian.ru/rent/flat/307664565/,Москва,rent,flat,14,25,3,54.0,120000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Мещерская
5,Комфорт,real_estate_agent,https://www.cian.ru/rent/flat/307408813/,Москва,rent,flat,20,32,3,50.0,95000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Мещерская
6,ID 18630563,realtor,https://www.cian.ru/rent/flat/307356844/,Москва,rent,flat,14,14,3,94.0,150000,0,Солнцево,Боровское шоссе,2Ак1,Мещерская
7,ID 121802023,homeowner,https://www.cian.ru/rent/flat/307664211/,Москва,rent,flat,9,14,3,72.0,90000,0,Строгино, Исаковского,31,Строгино
8,ID 92569743,homeowner,https://www.cian.ru/rent/flat/307585469/,Москва,rent,flat,6,13,2,60.0,65000,0,, Летчика Грицевца,,Пыхтино
9,Ольга Петрова,realtor,https://www.cian.ru/rent/flat/277957336/,Москва,rent,flat,10,24,1,45.0,65000,0,Солнцево,Боровское шоссе,2к5,Мещерская
10,ЛендЛар,real_estate_agent,https://www.cian.ru/rent/flat/307686342/,Москва,rent,flat,6,9,3,86.0,100000,0,,бульвар Андрея Тарковского,,Рассказовка
11,ID 15391555,unknown,https://www.cian.ru/rent/flat/306903913/,Москва,rent,flat,10,25,2,75.0,100000,0,Проспект Вернадского, Удальцова,46,Мичуринский проспект
12,Андрей Кривец,realtor,https://www.cian.ru/rent/flat/307432924/,Москва,rent,flat,17,17,3,75.8,80000,0,Ново-Переделкино,Лукинская ,7,Новопеределкино
13,ID 12578403,homeowner,https://www.cian.ru/rent/flat/307397391/,Москва,rent,flat,1,15,2,51.0,70000,0,, Татьянин Парк,14к1,Мещерская
14,ID 52479736,homeowner,https://www.cian.ru/rent/flat/307532258/,Москва,rent,flat,1,12,2,80.0,110000,0,, Татьянин Парк,14к3,Мещерская
15,Ирина Вол,realtor,https://www.cian.ru/rent/flat/307385534/,Москва,rent,flat,8,8,2,58.0,90000,0,Ломоносовский, Кравченко,12,Проспект Вернадского
16,Владимир Фетискин,realtor,https://www.cian.ru/rent/flat/306336762/,Москва,rent,flat,5,18,3,120.0,140000,0,Тропарево-Никулино,Никулинская ,5к2,Озёрная
17,ID 97661501,homeowner,https://www.cian.ru/rent/flat/307654163/,Москва,rent,flat,3,32,2,50.0,85000,0,Солнцево,Боровское шоссе,2Ак1,Мещерская
18,Руслан Горовиков,realtor,https://www.cian.ru/rent/flat/307409799/,Москва,rent,flat,11,17,3,81.0,80000,0,Солнцево, Богданова,14К1,Солнцево
19,Вера Филатова,realtor,https://www.cian.ru/rent/flat/307705760/,Москва,rent,flat,16,17,3,74.0,130000,0,Очаково-Матвеевское,Озерная ,2к2,Аминьевская
20,ID 122124968,homeowner,https://www.cian.ru/rent/flat/307683566/,Москва,rent,flat,8,16,3,75.0,95000,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Озёрная
21,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307635874/,Москва,rent,flat,5,16,4,75.0,126000,0,,,5с5,Румянцево
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703126/,Москва,rent,flat,8,16,3,75.0,94999,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Озёрная
23,ВАШ ВЫБОР,real_estate_agent,https://www.cian.ru/rent/flat/307342093/,Москва,rent,flat,2,16,3,74.0,120000,0,Коньково,Миклухо-Маклая ,18/1,Беляево
24,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307625091/,Москва,rent,flat,20,24,3,111.6,150000,0,Теплый Стан,Ленинский проспект,137К1,Тропарёво
