,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Борис Друскинас,realtor,https://www.cian.ru/rent/flat/307813908/,Москва,rent,flat,5,8,3,101.0,190000,0,Аэропорт, Черняховского,4,Гражданская
1,Алла Звоник,realtor,https://www.cian.ru/rent/flat/307662504/,Москва,rent,flat,8,9,3,129.0,190000,0,Аэропорт, 8 Марта,9,Гражданская
2,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Гражданская
3,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307581589/,Москва,rent,flat,3,33,3,120.0,180000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
4,ID 505654,realtor,https://www.cian.ru/rent/flat/307552195/,Москва,rent,flat,29,30,3,82.1,120000,0,Тимирязевский,Астрадамский проезд,4Ак2,Гражданская
5,ID 80171119,unknown,https://www.cian.ru/rent/flat/307538896/,Москва,rent,flat,1,8,3,82.0,120000,0,Тимирязевский,Дмитровский проезд,8,Гражданская
6,ID 56768852,unknown,https://www.cian.ru/rent/flat/307509889/,Москва,rent,flat,1,9,3,49.8,80000,0,Савеловский,2-я Хуторская ,27,Гражданская
7,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307490035/,Москва,rent,flat,18,32,3,127.0,195000,0,Аэропорт,Кочновский проезд,4к1,Гражданская
8,Ла Терра,real_estate_agent,https://www.cian.ru/rent/flat/307457622/,Москва,rent,flat,4,34,3,119.0,200000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
9,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307447173/,Москва,rent,flat,1,5,3,62.0,120000,0,Аэропорт, Черняховского,13,Гражданская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307432144/,Москва,rent,flat,18,32,3,127.0,195000,0,Аэропорт,Кочновский проезд,4к1,Гражданская
11,Егор Кондрашов,realtor,https://www.cian.ru/rent/flat/307389912/,Москва,rent,flat,18,32,3,127.0,195000,0,Аэропорт,Кочновский проезд,4к1,Гражданская
12,ID 19272554,unknown,https://www.cian.ru/rent/flat/307386811/,Москва,rent,flat,15,30,3,103.2,150000,0,Тимирязевский,Астрадамский проезд,4Ак1,Гражданская
13,GARUDA РИЭЛТИ,real_estate_agent,https://www.cian.ru/rent/flat/307365414/,Москва,rent,flat,18,34,3,122.0,180000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
14,Smolenka Estate,real_estate_agent,https://www.cian.ru/rent/flat/307264536/,Москва,rent,flat,22,34,3,119.5,200000,0,Аэропорт,Кочновский проезд,4к1,Гражданская
15,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307014824/,Москва,rent,flat,1,5,3,62.7,120000,0,Аэропорт, Черняховского,13,Гражданская
16,ID 116037176,homeowner,https://www.cian.ru/rent/flat/306998788/,Москва,rent,flat,1,5,3,62.7,130000,0,Аэропорт, Черняховского,13,Гражданская
17,ID 121154463,homeowner,https://www.cian.ru/rent/flat/306816695/,Москва,rent,flat,5,5,3,54.9,89000,0,Аэропорт,Авиационный переулок,4,Гражданская
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306604130/,Москва,rent,flat,28,34,3,110.0,170000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306299911/,Москва,rent,flat,3,33,3,119.0,200000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
20,ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/306264166/,Москва,rent,flat,4,34,3,120.0,200000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
21,ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/306032920/,Москва,rent,flat,15,32,3,100.0,70000,0,Аэропорт,Кочновский проезд,4к1,Гражданская
22,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306016200/,Москва,rent,flat,18,34,3,125.0,180000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
23,ID 20396705,realtor,https://www.cian.ru/rent/flat/306013931/,Москва,rent,flat,18,32,3,122.0,180000,0,Аэропорт,Кочновский проезд,4к2,Гражданская
24,ID 24003,realtor,https://www.cian.ru/rent/flat/305405906/,Москва,rent,flat,6,14,3,128.0,200000,0,Аэропорт,Петровско-Разумовская аллея,10к1с1,Гражданская
25,Наталья Педан,realtor,https://www.cian.ru/rent/flat/303474232/,Москва,rent,flat,2,12,3,62.0,135000,0,Аэропорт, Черняховского,19,Гражданская
26,ID 107100496,homeowner,https://www.cian.ru/rent/flat/291917716/,Москва,rent,flat,8,12,3,95.0,140000,0,Аэропорт, Степана Супруна,3,Гражданская
27,Анна Маслова,realtor,https://www.cian.ru/rent/flat/279687014/,Москва,rent,flat,10,16,3,80.0,175000,0,Савеловский,Старый Петровско-Разумовский проезд,2,Гражданская
