,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Даниил Руднев,realtor,https://www.cian.ru/rent/flat/307773283/,Москва,rent,flat,9,9,3,58.6,99000,0,Ховрино,Петрозаводская ,15К3,Грачёвская
1,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307762545/,Москва,rent,flat,6,12,3,68.0,90000,0,Головинский,Флотская ,37,Грачёвская
2,Качанова и партнеры,real_estate_agent,https://www.cian.ru/rent/flat/307734338/,Москва,rent,flat,9,31,3,65.0,100000,0,Ховрино,Клинская ,2Ак7,Грачёвская
3,ID 121781223,homeowner,https://www.cian.ru/rent/flat/307700565/,Москва,rent,flat,2,20,3,50.0,70000,0,Западное Дегунино,Базовская ,15Бк1,Грачёвская
4,АНФА,real_estate_agent,https://www.cian.ru/rent/flat/307649912/,Москва,rent,flat,8,9,3,60.0,80000,0,Ховрино,Клинская ,19,Грачёвская
5,Горизонт,real_estate_agent,https://www.cian.ru/rent/flat/307628631/,Москва,rent,flat,9,31,3,65.0,100000,0,Ховрино,Клинская ,2Ак7,Грачёвская
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307609179/,Москва,rent,flat,12,17,3,76.0,110000,0,Западное Дегунино,Талдомская ,17К1,Грачёвская
7,Ольга Дзкуя,realtor,https://www.cian.ru/rent/flat/307603371/,Москва,rent,flat,10,16,3,91.2,90000,0,Западное Дегунино,Путейская ,2,Грачёвская
8,Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/307556195/,Москва,rent,flat,5,14,3,85.0,110000,0,Ховрино,Петрозаводская ,19К2,Грачёвская
9,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307364926/,Москва,rent,flat,2,9,3,49.0,87000,0,Ховрино,Зеленоградская ,33К3,Грачёвская
10,ID 80762158,homeowner,https://www.cian.ru/rent/flat/306767379/,Москва,rent,flat,5,17,3,78.0,160000,0,Западное Дегунино,Базовская ,15к6,Грачёвская
11,ЦЗН ПРОСПЕКТ МИРА,real_estate_agent,https://www.cian.ru/rent/flat/306496453/,Москва,rent,flat,2,22,3,76.0,100000,0,Ховрино, Лавочкина,44К3,Грачёвская
12,ID 22837543,realtor,https://www.cian.ru/rent/flat/306436426/,Москва,rent,flat,17,17,3,77.0,90000,0,Западное Дегунино,Талдомская ,17К1,Грачёвская
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/299240137/,Москва,rent,flat,5,17,3,82.0,95000,0,Западное Дегунино,Талдомская ,17К1,Грачёвская
14,Мария Голицына,realtor,https://www.cian.ru/rent/flat/278931028/,Москва,rent,flat,5,5,3,61.0,110000,0,Головинский,Солнечногорская ,5К1,Грачёвская
15,ID 52226169,homeowner,https://www.cian.ru/rent/flat/238938983/,Москва,rent,flat,23,24,3,75.0,99950,0,Западное Дегунино,Базовская ,15к15,Грачёвская
16,ID 121802023,homeowner,https://www.cian.ru/rent/flat/307664211/,Москва,rent,flat,9,14,3,72.0,90000,0,Строгино, Исаковского,31,Строгино
17,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Дмитровская
18,ID 33191906,unknown,https://www.cian.ru/rent/flat/307701539/,Москва,rent,flat,4,5,3,58.6,80000,0,Филевский парк,Сеславинская ,38,Филёвский парк
19,Дмитрий Павленко,realtor,https://www.cian.ru/rent/flat/307296897/,Москва,rent,flat,8,20,3,75.0,75000,0,Тимирязевский,Дмитровское шоссе,55,Петровско-Разумовская
20,ID 52258568,homeowner,https://www.cian.ru/rent/flat/256515936/,Москва,rent,flat,3,21,2,54.9,80000,0,Ховрино,Левобережная ,4к8,Ховрино
21,Инна Дударева,realtor,https://www.cian.ru/rent/flat/307550638/,Москва,rent,flat,6,19,3,52.0,100000,0,Тимирязевский,проезд 1-й Нижнелихоборский,1,Окружная
22,ID 106808303,homeowner,https://www.cian.ru/rent/flat/307606053/,Москва,rent,flat,5,18,3,75.0,74000,0,Северное Медведково, Грекова,14к1,Медведково
23,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
24,ID 121154463,homeowner,https://www.cian.ru/rent/flat/306816695/,Москва,rent,flat,5,5,3,54.9,89000,0,Аэропорт,Авиационный переулок,4,Аэропорт
