,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307721119/,Москва,rent,flat,16,19,2,60.0,130000,0,Беговой,Ленинградский проспект,29к3,Динамо
1,Lucky Realty,real_estate_agent,https://www.cian.ru/rent/flat/307718751/,Москва,rent,flat,11,37,2,51.0,250000,0,Хорошевский,Ленинградский проспект,37/6,Динамо
2,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307705652/,Москва,rent,flat,10,12,2,45.0,140000,0,Беговой,Ленинградский проспект,29к1,Динамо
3,Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307704209/,Москва,rent,flat,11,37,2,55.0,250000,0,Хорошевский,Ленинградский проспект,37/6,Динамо
4,ID 15534709,homeowner,https://www.cian.ru/rent/flat/307703283/,Москва,rent,flat,11,37,2,51.0,250000,0,Хорошевский,Ленинградский проспект,37/6,Динамо
5,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307700613/,Москва,rent,flat,10,12,2,75.0,325000,0,Аэропорт,Ленинградский проспект,36с36,Динамо
6,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307700338/,Москва,rent,flat,11,36,2,52.0,250000,0,Хорошевский,Ленинградский проспект,37/6,Динамо
7,ID 56661392,unknown,https://www.cian.ru/rent/flat/307693053/,Москва,rent,flat,4,5,2,45.0,75000,0,Савеловский,Петровско-Разумовский проезд,8А,Динамо
8,Валерий Никишкин,realtor,https://www.cian.ru/rent/flat/307686991/,Москва,rent,flat,2,7,2,39.2,90000,0,Савеловский,Писцовая ,15,Динамо
9,Лариса Стручкова,realtor,https://www.cian.ru/rent/flat/307684208/,Москва,rent,flat,10,37,2,56.0,95000,0,Хорошевский,Хорошевское шоссе,12к1,Динамо
10,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307677051/,Москва,rent,flat,10,12,2,44.0,65000,0,Савеловский, Мишина,4,Динамо
11,CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307671474/,Москва,rent,flat,6,17,2,90.0,260000,0,Беговой,Ленинградский проспект,35С2,Динамо
12,SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307660317/,Москва,rent,flat,3,40,2,60.0,330000,0,Хорошевский,Ленинградский проспект,37К3,Динамо
