,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 3018244,unknown,https://www.cian.ru/rent/flat/307761556/,Москва,rent,flat,2,27,3,88.9,145000,0,Тимирязевский,Дмитровское шоссе,13,Дмитровская
1,ID 17451073,realtor,https://www.cian.ru/rent/flat/307722938/,Москва,rent,flat,13,14,3,78.3,165000,0,Марьина роща,Складочная ,8к2,Дмитровская
2,ID 270312,unknown,https://www.cian.ru/rent/flat/307703930/,Москва,rent,flat,12,49,3,67.0,150000,0,Бутырский,Новодмитровская ,2к7,Дмитровская
3,My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307702305/,Москва,rent,flat,8,32,3,76.0,150000,0,Бутырский, Руставели,14С1,Дмитровская
4,I AM ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307637562/,Москва,rent,flat,2,5,3,75.0,85000,0,Тимирязевский,Астрадамская ,1К3,Дмитровская
5,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Дмитровская
6,ID 505654,realtor,https://www.cian.ru/rent/flat/307552195/,Москва,rent,flat,29,30,3,82.1,120000,0,Тимирязевский,Астрадамский проезд,4Ак2,Дмитровская
7,ID 80171119,unknown,https://www.cian.ru/rent/flat/307538896/,Москва,rent,flat,1,8,3,82.0,120000,0,Тимирязевский,Дмитровский проезд,8,Дмитровская
8,ID 19272554,unknown,https://www.cian.ru/rent/flat/307386811/,Москва,rent,flat,15,30,3,103.2,150000,0,Тимирязевский,Астрадамский проезд,4Ак1,Дмитровская
9,Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307338850/,Москва,rent,flat,19,47,3,80.0,250000,0,Бутырский,Новодмитровская ,2к4,Дмитровская
10,KAIF,real_estate_agent,https://www.cian.ru/rent/flat/307320005/,Москва,rent,flat,17,47,3,75.0,250000,0,Бутырский,Новодмитровская ,2к5,Дмитровская
11,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307317211/,Москва,rent,flat,6,14,3,78.0,170000,0,Марьина роща,Складочная ,2,Дмитровская
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307301883/,Москва,rent,flat,6,14,3,78.0,170000,0,Марьина роща,Складочная ,2,Дмитровская
13,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307129229/,Москва,rent,flat,17,47,3,76.0,250000,0,Бутырский,Новодмитровская ,2к5,Дмитровская
14,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307112156/,Москва,rent,flat,17,59,3,66.0,210000,0,Тимирязевский,Дмитровский проезд,1,Дмитровская
15,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/305489612/,Москва,rent,flat,17,60,3,70.0,210000,0,Тимирязевский,Дмитровский проезд,1,Дмитровская
16,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305372707/,Москва,rent,flat,17,58,3,65.0,210000,0,Тимирязевский,Дмитровский проезд,1,Дмитровская
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305363354/,Москва,rent,flat,17,59,3,66.0,210000,0,Тимирязевский,Дмитровский проезд,1,Дмитровская
18,ID 114503687,homeowner,https://www.cian.ru/rent/flat/299881572/,Москва,rent,flat,17,47,3,74.0,250000,0,Бутырский,Новодмитровская ,2к5,Дмитровская
19,Нинэль Ис,realtor,https://www.cian.ru/rent/flat/288924208/,Москва,rent,flat,6,12,3,70.0,105000,0,Марьина роща,Складочная ,2,Дмитровская
20,Анна Маслова,realtor,https://www.cian.ru/rent/flat/279687014/,Москва,rent,flat,10,16,3,80.0,175000,0,Савеловский,Старый Петровско-Разумовский проезд,2,Дмитровская
21,MyTenderness,real_estate_agent,https://www.cian.ru/rent/flat/278201870/,Москва,rent,flat,13,38,3,56.0,150000,0,Бутырский,Новодмитровская ,2к1А,Дмитровская
22,ID 15647006,realtor,https://www.cian.ru/rent/flat/260312447/,Москва,rent,flat,9,47,3,68.0,150000,0,Бутырский,Новодмитровская ,2к6,Дмитровская
23,ID 78836159,homeowner,https://www.cian.ru/rent/flat/298741655/,Москва,rent,flat,5,44,3,68.0,160000,0,Пресненский,Ходынская ,2,Улица 1905 года
24,Елена Виноградова,realtor,https://www.cian.ru/rent/flat/281010462/,Москва,rent,flat,13,25,2,60.0,90000,0,Марьина роща,проезд 17-й Марьиной рощи,1,Бутырская
