,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307773070/,Москва,rent,flat,3,8,3,130.0,350000,0,Якиманка,Погорельский переулок,5С2,Добрынинская
1,Жанна Фадеева,realtor,https://www.cian.ru/rent/flat/307753934/,Москва,rent,flat,8,9,3,155.0,500000,0,Якиманка,Погорельский переулок,6,Добрынинская
2,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307658521/,Москва,rent,flat,2,7,3,98.0,500000,0,Якиманка,2-й Спасоналивковский переулок,6,Добрынинская
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605465/,Москва,rent,flat,5,8,3,75.0,180000,0,Замоскворечье,Большая Серпуховская ,40С2,Добрынинская
4,ID 12911103,realtor,https://www.cian.ru/rent/flat/307595311/,Москва,rent,flat,4,5,3,64.0,100000,0,Замоскворечье,1-й Щипковский переулок,17,Добрынинская
5,ID 119339694,homeowner,https://www.cian.ru/rent/flat/307549629/,Москва,rent,flat,5,8,3,75.0,220000,0,Замоскворечье,Большая Серпуховская ,40С2,Добрынинская
6,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307541774/,Москва,rent,flat,2,14,3,65.0,250000,0,Замоскворечье,Большой Строченовский переулок,9,Добрынинская
7,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307532944/,Москва,rent,flat,2,14,3,65.0,250000,0,Замоскворечье,Большой Строченовский переулок,9,Добрынинская
8,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307531209/,Москва,rent,flat,2,14,3,65.0,255000,0,Замоскворечье,Большой Строченовский переулок,9,Добрынинская
9,Филипп Прозоров,realtor,https://www.cian.ru/rent/flat/307523410/,Москва,rent,flat,5,8,3,60.0,120000,0,Замоскворечье,Дубининская ,11С2,Добрынинская
10,My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307455769/,Москва,rent,flat,17,18,3,130.0,250000,0,Якиманка, Шаболовка,10,Добрынинская
11,ID 54990,realtor,https://www.cian.ru/rent/flat/307442777/,Москва,rent,flat,4,8,3,82.2,120000,0,Даниловский,Большая Серпуховская ,60,Добрынинская
12,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307363709/,Москва,rent,flat,9,15,3,67.0,180000,0,Замоскворечье,Мытная ,7с2,Добрынинская
