,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 47664046,unknown,https://www.cian.ru/rent/flat/306846191/,Москва,rent,flat,3,9,3,63.0,77000,0,Орехово-Борисово Северное,Домодедовская ,1К1,Домодедовская
1,Елена Винокурова,realtor,https://vidnoye.cian.ru/rent/flat/306840362/,Москва,rent,flat,2,17,3,52.7,65000,0,д. Коробово, Авиаторов,1,
2,Анна Гаджиева,realtor,https://vidnoye.cian.ru/rent/flat/306806744/,Москва,rent,flat,1,9,3,87.0,35000,0,,бульвар Дивный,16,Домодедовская
3,ID 78507768,unknown,https://vidnoye.cian.ru/rent/flat/306655117/,Москва,rent,flat,4,12,3,68.0,50000,0,,Центральная ,15,Домодедовская
4,ID 20593521,unknown,https://vidnoye.cian.ru/rent/flat/306525950/,Москва,rent,flat,4,12,3,68.0,55000,0,,Центральная ,15,Домодедовская
5,Анжелика Кирина,realtor,https://vidnoye.cian.ru/rent/flat/306235874/,Москва,rent,flat,16,17,3,62.0,55000,0,д. Мисайлово, Имени Л.И. Гоман,10,
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305778930/,Москва,rent,flat,11,12,3,80.0,90000,0,Бирюлево Восточное,Лебедянская ,28К1,Домодедовская
7,Aлександр Аксенов,realtor,https://vidnoye.cian.ru/rent/flat/302588617/,Москва,rent,flat,3,16,3,67.0,52000,0,,,,
8,Яндекс Аренда,real_estate_agent,https://vidnoye.cian.ru/rent/flat/301381478/,Москва,rent,flat,4,6,3,97.0,170000,0,пос. Развилка,проезд Римский,1,
9,ID 91052903,homeowner,https://vidnoye.cian.ru/rent/flat/300829758/,Москва,rent,flat,6,9,3,61.0,70000,0,,Советская ,2а,Домодедовская
10,Кристина Куликова,realtor,https://www.cian.ru/rent/flat/299747098/,Москва,rent,flat,9,17,3,78.0,100000,0,Орехово-Борисово Северное,Шипиловская ,22,Домодедовская
11,Кристина Куликова,realtor,https://www.cian.ru/rent/flat/296288442/,Москва,rent,flat,10,17,3,80.0,130000,0,Орехово-Борисово Северное, Маршала Захарова,10К2,Домодедовская
12,ID 15248,realtor,https://vidnoye.cian.ru/rent/flat/276850704/,Москва,rent,flat,10,17,3,72.0,55000,0,д. Мисайлово,шоссе Пригородное,3,
13,Любовь Королева,realtor,https://www.cian.ru/rent/flat/208920080/,Москва,rent,flat,8,9,3,60.0,75000,0,Орехово-Борисово Южное,Домодедовская ,44,Домодедовская
14,ID 120282436,homeowner,https://vidnoye.cian.ru/rent/flat/305822047/,Москва,rent,flat,8,12,2,45.0,33000,0,,Советский проезд,7,Домодедовская
15,Геннадий Ренин,realtor,https://vidnoye.cian.ru/rent/flat/304941990/,Москва,rent,flat,3,5,2,58.0,40000,0,,проспект Ленинского Комсомола,58,Домодедовская
16,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://vidnoye.cian.ru/rent/flat/293983096/,Москва,rent,flat,2,12,2,50.0,40000,0,,Советский проезд,1,Домодедовская
17,Ринат Аюпов,realtor,https://vidnoye.cian.ru/rent/flat/306772375/,Москва,rent,flat,7,17,2,35.0,37000,0,д. Мисайлово, Имени Л.И. Гоман,10,
18,ID 86686723,homeowner,https://vidnoye.cian.ru/rent/flat/274015005/,Москва,rent,flat,3,17,2,74.0,50000,0,,бульвар Зеленые аллеи,7,Домодедовская
19,EMPIRE HOME,real_estate_agent,https://vidnoye.cian.ru/rent/flat/306302329/,Москва,rent,flat,14,17,1,42.0,45000,0,, Березовая,18,Домодедовская
20,Роман Туляков,realtor,https://vidnoye.cian.ru/rent/flat/305016866/,Москва,rent,flat,14,17,2,50.0,45000,0,,проезд Битцевский,11,Домодедовская
21,ID 6977,real_estate_agent,https://vidnoye.cian.ru/rent/flat/185956051/,Москва,rent,flat,5,12,1,33.0,27000,0,,Советский проезд,5,Домодедовская
22,ID 12552811,unknown,https://vidnoye.cian.ru/rent/flat/306654105/,Москва,rent,flat,2,8,3,69.0,67000,0,,бульвар Мстислава Ростроповича,5,Бутово
23,Юлия Мажирина,realtor,https://vidnoye.cian.ru/rent/flat/304625116/,Москва,rent,flat,15,18,1,28.0,35000,0,,бульвар Зеленые аллеи,11,Царицыно
24,ID 76662108,homeowner,https://vidnoye.cian.ru/rent/flat/294269464/,Москва,rent,flat,4,5,1,31.0,28000,0,,Советская ,32,Домодедовская
