,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 1187746,unknown,https://balashikha.cian.ru/rent/flat/307784312/,Москва,rent,flat,1,17,2,61.0,51000,0,, Саввинская,3,Железнодорожная
1,ID 433801,unknown,https://balashikha.cian.ru/rent/flat/307717513/,Москва,rent,flat,6,18,2,41.0,40000,0,, Калинина,22,Железнодорожная
2,ID 17752250,unknown,https://balashikha.cian.ru/rent/flat/307712646/,Москва,rent,flat,6,17,2,57.0,47000,0,, Граничная,16,Железнодорожная
3,ID 324439,homeowner,https://balashikha.cian.ru/rent/flat/307682096/,Москва,rent,flat,21,22,2,60.0,50000,0,,проспект Героев,8,Железнодорожная
4,Надежда Мудрик,realtor,https://balashikha.cian.ru/rent/flat/307676780/,Москва,rent,flat,10,10,2,67.0,43000,0,, Адмирала Горшкова,11,Железнодорожная
5,ID 535615,realtor,https://balashikha.cian.ru/rent/flat/307661628/,Москва,rent,flat,1,5,2,45.0,42000,0,, Пионерская,16А,Железнодорожная
6,Самолет плюс Балашиха,real_estate_agent,https://balashikha.cian.ru/rent/flat/307592057/,Москва,rent,flat,17,17,2,48.0,50000,0,, Юбилейная,4к4,Железнодорожная
7,Наталия Щербакова,realtor,https://balashikha.cian.ru/rent/flat/307587750/,Москва,rent,flat,10,10,2,60.0,48000,0,, Советская,18,Железнодорожная
8,Елена Голубева,realtor,https://balashikha.cian.ru/rent/flat/307576475/,Москва,rent,flat,12,18,2,45.0,45000,0,, Безымянная,4,Железнодорожная
9,Yuliya Chekashkina,realtor,https://staraya-kupavna.cian.ru/rent/flat/307524036/,Москва,rent,flat,4,18,2,45.0,43000,0,, Трудовая,19А,Железнодорожная
10,ID 113339916,homeowner,https://balashikha.cian.ru/rent/flat/307484191/,Москва,rent,flat,5,18,2,45.0,70000,0,,бульвар Спасский,3,Железнодорожная
11,Ян Онуфриенко,realtor,https://elektrougli.cian.ru/rent/flat/307321225/,Москва,rent,flat,1,5,2,48.0,35000,0,, Школьная,45А,Железнодорожная
12,ID 91539773,homeowner,https://staraya-kupavna.cian.ru/rent/flat/307301966/,Москва,rent,flat,4,17,2,45.0,43000,0,, Трудовая,19А,Железнодорожная
13,НейроДВИЖимость,real_estate_agent,https://balashikha.cian.ru/rent/flat/306697935/,Москва,rent,flat,3,13,2,57.0,45000,0,, Корнилаева,5,Железнодорожная
14,ВАШ ДОМ,real_estate_agent,https://balashikha.cian.ru/rent/flat/306656416/,Москва,rent,flat,2,9,2,65.0,41000,0,, Адмирала Нахимова,16,Железнодорожная
15,МИЭЛЬ,real_estate_agent,https://elektrougli.cian.ru/rent/flat/306604291/,Москва,rent,flat,8,12,2,54.0,29000,0,, Школьная,55,Железнодорожная
16,Анна Глушук,realtor,https://noginsk.cian.ru/rent/flat/302694689/,Москва,rent,flat,2,13,2,52.0,40000,0,д. Щемилово, Орлова,26,
17,ID 115161307,homeowner,https://balashikha.cian.ru/rent/flat/300580359/,Москва,rent,flat,13,21,2,34.0,50000,0,,проспект Героев,19,Железнодорожная
18,ID 59049978,unknown,https://balashikha.cian.ru/rent/flat/300291054/,Москва,rent,flat,17,17,2,60.0,50000,0,, Струве,3к1,Железнодорожная
19,Docof Сделки с Недвижимостью,real_estate_agent,https://staraya-kupavna.cian.ru/rent/flat/299875555/,Москва,rent,flat,1,4,2,42.9,30000,0,, Ленина,48,Железнодорожная
20,ID 72114736,homeowner,https://balashikha.cian.ru/rent/flat/297354811/,Москва,rent,flat,14,17,2,72.0,52000,0,, Автозаводская,4к2,Железнодорожная
21,ID 15150847,unknown,https://balashikha.cian.ru/rent/flat/294713220/,Москва,rent,flat,1,2,2,62.0,42000,0,, Маршала Говорова,14,Железнодорожная
22,ID 32213,realtor,https://balashikha.cian.ru/rent/flat/194168769/,Москва,rent,flat,10,22,2,60.0,48000,0,,проспект Героев,7,Железнодорожная
23,ID 13430916,unknown,https://balashikha.cian.ru/rent/flat/307629667/,Москва,rent,flat,16,21,1,33.0,27000,0,,проспект Героев,17,Железнодорожная
24,ID 93262431,homeowner,https://balashikha.cian.ru/rent/flat/291701698/,Москва,rent,flat,8,18,1,32.0,33000,0,, Калинина,18,Железнодорожная
