,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307777985/,Москва,rent,flat,5,5,3,67.0,168000,0,Даниловский, Архитектора Щусева,3,ЗИЛ
1,ID 86818327,homeowner,https://www.cian.ru/rent/flat/307728887/,Москва,rent,flat,9,15,3,74.6,150000,0,Даниловский,Автозаводская ,23с931к3,ЗИЛ
2,ID 47206301,unknown,https://www.cian.ru/rent/flat/307725100/,Москва,rent,flat,3,15,3,72.0,300000,0,Даниловский,проспект Лихачева,14,ЗИЛ
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307701538/,Москва,rent,flat,8,15,3,70.0,150000,0,Даниловский, Мастеркова,1,ЗИЛ
4,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307686823/,Москва,rent,flat,3,15,3,105.0,200000,0,Даниловский, Мастеркова,1,ЗИЛ
5,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307670911/,Москва,rent,flat,8,15,3,70.0,150000,0,Даниловский, Мастеркова,1,ЗИЛ
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307660365/,Москва,rent,flat,4,5,3,85.0,170000,0,Даниловский,проспект Лихачева,22,ЗИЛ
7,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307639402/,Москва,rent,flat,20,20,3,76.0,250000,0,Даниловский,бульвар Братьев Весниных,2,ЗИЛ
8,ID 89975907,realtor,https://www.cian.ru/rent/flat/307581341/,Москва,rent,flat,11,21,3,65.0,240000,0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ
9,ID 89814961,unknown,https://www.cian.ru/rent/flat/307570756/,Москва,rent,flat,12,14,3,90.0,300000,0,Даниловский,набережная Марка Шагала,1к2,ЗИЛ
10,ID 40785623,homeowner,https://www.cian.ru/rent/flat/307567238/,Москва,rent,flat,4,5,3,82.0,170000,0,Даниловский,проспект Лихачева,22,ЗИЛ
11,ID 113479997,realtor,https://www.cian.ru/rent/flat/307549170/,Москва,rent,flat,9,28,3,87.0,120000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ
12,Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307543680/,Москва,rent,flat,20,20,3,80.0,250000,0,Даниловский, Архитектора Щусева,5к1,ЗИЛ
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307541390/,Москва,rent,flat,20,20,3,76.0,250000,0,Даниловский,бульвар Братьев Весниных,2,ЗИЛ
14,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307534552/,Москва,rent,flat,5,6,3,90.0,220000,0,Даниловский,проспект Лихачева,10к4,ЗИЛ
15,ID 85349734,homeowner,https://www.cian.ru/rent/flat/307531588/,Москва,rent,flat,20,20,3,76.0,250000,0,Даниловский,бульвар Братьев Весниных,2,ЗИЛ
16,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307489842/,Москва,rent,flat,20,20,3,80.0,250000,0,Даниловский,бульвар Братьев Весниных,2,ЗИЛ
17,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307473602/,Москва,rent,flat,15,20,3,68.0,150000,0,Даниловский,проспект Андропова,18к2,ЗИЛ
18,ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/rent/flat/307321866/,Москва,rent,flat,8,24,3,73.0,299999,0,Нагатинский затон,проспект Андропова,9/1,ЗИЛ
19,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307147486/,Москва,rent,flat,5,7,3,119.0,400000,0,Даниловский,набережная Марка Шагала,1к2,ЗИЛ
20,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307025756/,Москва,rent,flat,5,6,3,90.0,220000,0,Даниловский,проспект Лихачева,10,ЗИЛ
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306978757/,Москва,rent,flat,5,7,3,118.0,400000,0,Даниловский,набережная Марка Шагала,1к2,ЗИЛ
22,ID 121182179,homeowner,https://www.cian.ru/rent/flat/306940889/,Москва,rent,flat,5,7,3,118.5,400000,0,Даниловский,набережная Марка Шагала,1к2,ЗИЛ
23,ID 851,realtor,https://www.cian.ru/rent/flat/306652636/,Москва,rent,flat,8,15,3,70.0,150000,0,Даниловский, Мастеркова,1,ЗИЛ
24,ID 83054009,homeowner,https://www.cian.ru/rent/flat/306217821/,Москва,rent,flat,7,20,3,67.0,200000,0,Даниловский,проспект Лихачева,18к4,ЗИЛ
25,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306110383/,Москва,rent,flat,9,15,3,60.0,127000,0,Даниловский,проспект Лихачева,18к6,ЗИЛ
26,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,ЗИЛ
27,Вадим Завадский,realtor,https://www.cian.ru/rent/flat/307704345/,Москва,rent,flat,7,15,3,65.0,150000,0,Нагатинский затон, Корабельная,15,Нагатинский Затон
28,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/298453672/,Москва,rent,flat,12,16,2,50.0,155000,0,Даниловский, Архитектора Щусева,5к2,ЗИЛ
