,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Корона,real_estate_agent,https://www.cian.ru/rent/flat/307748768/,Москва,rent,flat,8,11,2,98.0,180000,0,Хорошевский, Куусинена,21А,Зорге
1,Хозяин Сервис,real_estate_agent,https://www.cian.ru/rent/flat/307699242/,Москва,rent,flat,30,31,2,62.0,160000,0,Хорошево-Мневники,бульвар Генерала Карбышева,13А,Зорге
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307680372/,Москва,rent,flat,2,21,2,63.0,110000,0,Сокол, Алабяна,13к2,Зорге
3,ID 28036,realtor,https://www.cian.ru/rent/flat/307679619/,Москва,rent,flat,8,9,2,33.6,85000,0,Сокол, Сальвадора Альенде,4К2,Зорге
4,Ольга Медведева,realtor,https://www.cian.ru/rent/flat/307662477/,Москва,rent,flat,2,5,2,63.0,80000,0,Щукино, Маршала Бирюзова,16,Зорге
5,Ольга Вайсблат,realtor,https://www.cian.ru/rent/flat/307657343/,Москва,rent,flat,8,8,2,60.7,72000,0,Хорошевский, Зорге,14к3,Зорге
6,Диана Федорчук,realtor,https://www.cian.ru/rent/flat/307645990/,Москва,rent,flat,3,15,2,48.0,120000,0,Хорошевский,Ходынский бульвар,20А,Зорге
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613847/,Москва,rent,flat,6,15,2,46.0,200000,0,Хорошевский,Ходынский бульвар,20А,Зорге
8,Григорий Тимофеев,realtor,https://www.cian.ru/rent/flat/307608549/,Москва,rent,flat,15,16,2,76.3,200000,0,Хорошево-Мневники,3-я Хорошевская ,21к4,Зорге
9,ID 4272,realtor,https://www.cian.ru/rent/flat/307605415/,Москва,rent,flat,10,20,2,65.0,90000,0,Хорошево-Мневники, Маршала Тухачевского,37/21,Зорге
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582415/,Москва,rent,flat,20,32,2,51.0,120000,0,Хорошево-Мневники,бульвар Генерала Карбышева,15,Зорге
11,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307582084/,Москва,rent,flat,8,9,2,45.0,69000,0,Сокол,Песчаный переулок,20К1,Зорге
12,Артем Андреев,realtor,https://www.cian.ru/rent/flat/307569739/,Москва,rent,flat,6,23,2,65.0,200000,0,Хорошево-Мневники,3-я Хорошевская ,23к1,Зорге
13,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/307552149/,Москва,rent,flat,7,23,2,40.0,100000,0,Хорошево-Мневники,3-я Хорошевская ,19А,Зорге
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307541386/,Москва,rent,flat,8,9,2,42.0,69000,0,Сокол,Песчаный переулок,20К1,Зорге
15,ID 4751,realtor,https://www.cian.ru/rent/flat/307486179/,Москва,rent,flat,4,11,2,54.8,100000,0,Щукино, Маршала Рыбалко,2к6,Зорге
16,ID 118541893,homeowner,https://www.cian.ru/rent/flat/307458916/,Москва,rent,flat,6,15,2,46.8,200000,0,Хорошевский,Ходынский бульвар,20А,Зорге
17,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307451309/,Москва,rent,flat,7,23,2,38.0,100000,0,Хорошево-Мневники,3-я Хорошевская ,19А,Зорге
18,Сергей Андросов,realtor,https://www.cian.ru/rent/flat/307449940/,Москва,rent,flat,9,9,2,46.0,65000,0,Сокол,Песчаный переулок,8,Зорге
19,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307418655/,Москва,rent,flat,6,15,2,50.0,200000,0,Хорошевский,Ходынский бульвар,20А,Зорге
20,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307336952/,Москва,rent,flat,21,26,2,87.0,160000,0,Хорошевский,проезд Березовой Рощи,12,Зорге
21,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/307261289/,Москва,rent,flat,14,14,2,38.0,65000,0,Хорошево-Мневники, Берзарина,7к1,Зорге
