,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307723675/,Москва,rent,flat,16,24,2,83.0,80000,0,Черемушки,Херсонская ,41,Зюзино
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307677952/,Москва,rent,flat,11,17,2,52.0,85000,0,Черемушки, Наметкина,17/68,Зюзино
2,ID 29951227,homeowner,https://www.cian.ru/rent/flat/307672829/,Москва,rent,flat,1,12,2,38.0,80000,0,Черемушки, Каховка,31К1,Зюзино
3,Илья Соловьев,realtor,https://www.cian.ru/rent/flat/307672796/,Москва,rent,flat,18,20,2,44.4,110000,0,Черемушки,Нахимовский проспект,31к3,Зюзино
4,First Broker,real_estate_agent,https://www.cian.ru/rent/flat/307661426/,Москва,rent,flat,3,5,2,40.2,75000,0,Черемушки,Херсонская ,36К3,Зюзино
5,ID 12212213,realtor,https://www.cian.ru/rent/flat/307631620/,Москва,rent,flat,2,9,2,45.0,68000,0,Черемушки, Цюрупы,11К3,Зюзино
6,Евгений Тогобицкий,realtor,https://www.cian.ru/rent/flat/307610601/,Москва,rent,flat,4,5,2,45.6,55000,0,Зюзино,Керченская ,10К4,Зюзино
7,Каскад,real_estate_agent,https://www.cian.ru/rent/flat/307609345/,Москва,rent,flat,6,17,2,51.0,90000,0,Черемушки,Новочеремушкинская ,66к1,Зюзино
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307577892/,Москва,rent,flat,20,23,2,56.0,90000,0,Черемушки,Севастопольский проспект,28к3,Зюзино
9,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307567066/,Москва,rent,flat,7,20,2,50.0,80000,0,Черемушки,Нахимовский проспект,31к3,Зюзино
10,ID 111256444,homeowner,https://www.cian.ru/rent/flat/307552002/,Москва,rent,flat,20,23,2,52.0,90000,0,Черемушки,Севастопольский проспект,28к3,Зюзино
11,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307493085/,Москва,rent,flat,3,22,2,60.0,120000,0,Черемушки,Новочеремушкинская ,60,Зюзино
12,Наталья Панфилова,realtor,https://www.cian.ru/rent/flat/307472860/,Москва,rent,flat,4,20,2,42.0,120000,0,Черемушки,Нахимовский проспект,31к3,Зюзино
13,Уютный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307311625/,Москва,rent,flat,5,12,2,38.1,65000,0,Черемушки, Обручева,35к1,Зюзино
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307299416/,Москва,rent,flat,6,6,2,56.0,140000,0,Черемушки,Новочеремушкинская ,58,Зюзино
15,Новый дом,real_estate_agent,https://www.cian.ru/rent/flat/307287918/,Москва,rent,flat,14,17,2,60.0,90000,0,Черемушки, Наметкина,17/68,Зюзино
16,Алексей Питерский,realtor,https://www.cian.ru/rent/flat/307114698/,Москва,rent,flat,10,23,2,46.0,135000,0,Черемушки,Нахимовский проспект,31к3,Зюзино
17,ID 121240212,homeowner,https://www.cian.ru/rent/flat/306771725/,Москва,rent,flat,7,24,2,50.9,25000,0,Черемушки,Нахимовский проспект,31к3,Зюзино
