,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 78075786,homeowner,https://www.cian.ru/rent/flat/307792962/,Москва,rent,flat,16,18,3,77.0,80000,0,Зябликово,Ореховый бульвар,59К1,Зябликово
1,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307790853/,Москва,rent,flat,16,18,3,80.0,80000,0,Зябликово,Ореховый бульвар,59К1,Зябликово
2,ID 3470,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307773860/,Москва,rent,flat,16,19,3,78.0,55000,0,, Березовая,18,Зябликово
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756608/,Москва,rent,flat,2,9,3,65.0,78000,0,Орехово-Борисово Южное,Елецкая ,12К1,Зябликово
4,Д-Эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307752364/,Москва,rent,flat,11,24,3,75.9,110000,0,Орехово-Борисово Южное,Каширское шоссе,144К1,Зябликово
5,ID 181694,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307750895/,Москва,rent,flat,6,18,3,80.0,90000,0,, Завидная,9,Зябликово
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307740597/,Москва,rent,flat,12,12,3,62.0,90000,0,Зябликово,Шипиловская ,37К1,Зябликово
7,Ирина Гурьянова,realtor,https://vidnoye.cian.ru/rent/flat/307736151/,Москва,rent,flat,9,9,3,60.0,58000,0,,проспект Ленинского Комсомола,37,Зябликово
8,ID 89084422,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307699826/,Москва,rent,flat,6,17,3,58.2,70000,0,,,,
9,Наталья Пивцайкина,realtor,https://vidnoye.cian.ru/rent/flat/307678639/,Москва,rent,flat,2,18,3,71.0,55000,0,, Ольховая,11,Зябликово
10,Валерия Левина,realtor,https://www.cian.ru/rent/flat/307655785/,Москва,rent,flat,6,9,3,60.0,80000,0,Зябликово, Мусы Джалиля,31К2,Зябликово
11,ID 79149847,homeowner,https://vidnoye.cian.ru/rent/flat/307636878/,Москва,rent,flat,4,9,3,97.0,80000,0,,,,
12,My Hoyse,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307605881/,Москва,rent,flat,10,17,3,115.0,80000,0,,,,
13,Ольга Тормышова,realtor,https://vidnoye.cian.ru/rent/flat/307596431/,Москва,rent,flat,5,8,3,79.0,120000,0,пос. Развилка,проезд Римский,1,
14,,,https://domodedovo.cian.ru/rent/flat/307549774/,Москва,rent,flat,16,18,3,53.0,65000,0,с. Ям, Мезенцева,7,
15,,,https://vidnoye.cian.ru/rent/flat/307548186/,Москва,rent,flat,17,18,3,61.6,70000,0,д. Коробово, Авиаторов,2,
16,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307485013/,Москва,rent,flat,12,12,3,62.0,90000,0,Зябликово,Шипиловская ,37К1,Зябликово
17,ID 95617775,homeowner,https://vidnoye.cian.ru/rent/flat/307452435/,Москва,rent,flat,14,17,3,52.0,60000,0,д. Коробово, Авиаторов,4,
18,Каскад,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307450080/,Москва,rent,flat,12,15,3,71.0,65000,0,Пригород Лесное мкр, Луговая,4,
19,ID 15277083,homeowner,https://www.cian.ru/rent/flat/307440834/,Москва,rent,flat,12,12,3,62.0,90000,0,Зябликово,Шипиловская ,37К1,Зябликово
20,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307429622/,Москва,rent,flat,1,9,3,76.0,65000,0,Зябликово,Шипиловская ,41К1,Зябликово
21,Владислав Сахнов,realtor,https://vidnoye.cian.ru/rent/flat/307415944/,Москва,rent,flat,10,17,3,65.0,55000,0,д. Мисайлово,шоссе Пригородное,14,
22,Наталья Нечаева,realtor,https://vidnoye.cian.ru/rent/flat/307412790/,Москва,rent,flat,2,9,3,76.0,60000,0,,,3,Зябликово
23,ID 118408266,homeowner,https://vidnoye.cian.ru/rent/flat/307369312/,Москва,rent,flat,3,4,3,61.0,61500,0,,,,
24,ID 16072,realtor,https://www.cian.ru/rent/flat/307366364/,Москва,rent,flat,3,9,3,58.1,75000,0,Зябликово, Мусы Джалиля,34К2,Зябликово
25,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307260520/,Москва,rent,flat,8,9,3,62.0,90000,0,Орехово-Борисово Южное,Ясеневая ,19К3,Зябликово
26,МДН,real_estate_agent,https://www.cian.ru/rent/flat/307216149/,Москва,rent,flat,4,9,3,63.0,80000,0,Орехово-Борисово Южное,Ореховый бульвар,10К1,Зябликово
27,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307207029/,Москва,rent,flat,3,9,3,50.0,70000,0,Зябликово,Ореховый бульвар,51К2,Зябликово
