,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307778310/,Москва,rent,flat,7,16,3,64.0,120000,0,Черемушки, Обручева,65/54,Калужская
1,Максим Веселов,realtor,https://www.cian.ru/rent/flat/307775268/,Москва,rent,flat,15,16,3,68.0,110000,0,Коньково, Бутлерова,30,Калужская
2,ID 1146802,realtor,https://www.cian.ru/rent/flat/307747321/,Москва,rent,flat,1,19,3,59.0,110000,0,Обручевский, Гарибальди,28К1,Калужская
3,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307711868/,Москва,rent,flat,3,9,3,61.0,80000,0,Коньково, Генерала Антонова,5К3,Калужская
4,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307633199/,Москва,rent,flat,7,40,3,110.0,200000,0,Обручевский,Профсоюзная ,64к2,Калужская
5,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307490029/,Москва,rent,flat,7,40,3,110.0,200000,0,Обручевский,Профсоюзная ,64к2,Калужская
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307475397/,Москва,rent,flat,7,40,3,110.0,200000,0,Обручевский,Профсоюзная ,64к2,Калужская
7,Виктория Рояк,realtor,https://www.cian.ru/rent/flat/307214185/,Москва,rent,flat,10,16,3,70.0,115000,0,Черемушки, Обручева,65/54,Калужская
8,ID 9933004,unknown,https://www.cian.ru/rent/flat/307184881/,Москва,rent,flat,3,17,3,77.0,189000,0,Обручевский, Обручева,5,Калужская
9,Юлия Дусина,realtor,https://www.cian.ru/rent/flat/307183077/,Москва,rent,flat,18,32,3,68.0,200000,0,Обручевский, Архитектора Власова,71к2,Калужская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306772685/,Москва,rent,flat,7,40,3,110.0,200000,0,Обручевский,Профсоюзная ,64к2,Калужская
11,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306415145/,Москва,rent,flat,3,12,3,110.0,250000,0,Черемушки,Профсоюзная ,45К1,Калужская
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/302536702/,Москва,rent,flat,13,16,3,65.0,90000,0,Коньково, Генерала Антонова,5К4,Калужская
13,Наталья Знаменская,realtor,https://www.cian.ru/rent/flat/302346340/,Москва,rent,flat,4,17,3,80.0,199000,0,Обручевский, Эльдара Рязанова,2,Калужская
14,ID 805546,homeowner,https://www.cian.ru/rent/flat/302073391/,Москва,rent,flat,4,17,3,80.0,229000,0,Обручевский, Эльдара Рязанова,2,Калужская
15,ID 76463806,homeowner,https://www.cian.ru/rent/flat/296801941/,Москва,rent,flat,37,40,3,110.3,240000,0,Обручевский,Профсоюзная ,64к2,Калужская
16,ID 16175,realtor,https://www.cian.ru/rent/flat/296307236/,Москва,rent,flat,2,16,3,125.0,200000,0,Обручевский, Архитектора Власова,22,Калужская
17,ID 58288564,homeowner,https://www.cian.ru/rent/flat/291750621/,Москва,rent,flat,13,22,3,84.0,140000,0,Черемушки, Каховка,31,Калужская
18,ID 88435630,homeowner,https://www.cian.ru/rent/flat/279508846/,Москва,rent,flat,7,40,3,110.0,200000,0,Обручевский,Профсоюзная ,64к2,Калужская
19,ID 7296245,realtor,https://www.cian.ru/rent/flat/205769665/,Москва,rent,flat,7,16,3,64.0,120000,0,Черемушки, Обручева,65/54,Калужская
20,ID 99241024,homeowner,https://www.cian.ru/rent/flat/297445018/,Москва,rent,flat,6,18,3,92.4,170000,0,Академический, Дмитрия Ульянова,6к1,Академическая
21,Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/307264309/,Москва,rent,flat,17,34,3,118.0,165000,0,Обручевский,Ленинский проспект,111к1,Новаторская
22,ID 805810,homeowner,https://www.cian.ru/rent/flat/307553115/,Москва,rent,flat,6,12,2,75.0,149000,0,Проспект Вернадского, Удальцова,24,Проспект Вернадского
23,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306972543/,Москва,rent,flat,6,7,4,175.0,220000,0,Ломоносовский, Строителей,5К1,Университет
24,ID 16254,realtor,https://www.cian.ru/rent/flat/307413721/,Москва,rent,flat,17,17,3,78.0,120000,0,Теплый Стан,Ленинский проспект,127,Тропарёво
