,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Светлана Анисимова,realtor,https://www.cian.ru/rent/flat/307728993/,Москва,rent,flat,8,33,2,36.0,65000,0,Царицыно,Кавказский бульвар,51к2,Кантемировская
1,Сергей Соловьев,realtor,https://www.cian.ru/rent/flat/307724836/,Москва,rent,flat,22,24,2,65.0,32000,0,Бирюлево Восточное,6-я Радиальная ,7/1к2,Кантемировская
2,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307706744/,Москва,rent,flat,2,33,2,53.3,115000,0,Царицыно,Кавказский бульвар,51к2,Кантемировская
3,Алексей Барсуков,realtor,https://www.cian.ru/rent/flat/307684678/,Москва,rent,flat,5,5,2,45.0,59500,0,Царицыно, Бехтерева,35К2,Кантемировская
4,ID 91741934,homeowner,https://www.cian.ru/rent/flat/307682554/,Москва,rent,flat,4,5,2,32.0,52000,0,Царицыно,Пролетарский проспект,26К4,Кантемировская
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307635008/,Москва,rent,flat,7,9,2,46.0,80000,0,Москворечье-Сабурово,Каширское шоссе,38,Кантемировская
6,ID 13914946,unknown,https://www.cian.ru/rent/flat/307630761/,Москва,rent,flat,4,9,2,44.5,80000,0,Москворечье-Сабурово,Пролетарский проспект,6К2,Кантемировская
7,Московские ключи,real_estate_agent,https://www.cian.ru/rent/flat/307624559/,Москва,rent,flat,14,33,2,40.0,75000,0,Царицыно,Кавказский бульвар,51к2,Кантемировская
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307608202/,Москва,rent,flat,2,5,2,42.0,55000,0,Москворечье-Сабурово, Кошкина,7,Кантемировская
9,Владислав Заименко,realtor,https://www.cian.ru/rent/flat/307588001/,Москва,rent,flat,8,15,2,52.0,70000,0,Царицыно,Пролетарский проспект,25,Кантемировская
10,ID 13419828,real_estate_agent,https://www.cian.ru/rent/flat/307546780/,Москва,rent,flat,5,5,2,49.0,60000,0,Царицыно, Медиков,18,Кантемировская
11,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307543485/,Москва,rent,flat,7,9,2,44.0,65000,0,Царицыно, Медиков,13,Кантемировская
12,ID 87217355,realtor,https://www.cian.ru/rent/flat/307539810/,Москва,rent,flat,5,9,2,46.9,65000,0,Царицыно, Бехтерева,41К1,Кантемировская
13,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/307509703/,Москва,rent,flat,7,17,2,60.0,89990,0,Москворечье-Сабурово, Москворечье,4К3,Кантемировская
14,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/307497393/,Москва,rent,flat,3,20,2,60.0,80000,0,Москворечье-Сабурово, Москворечье,31к1,Кантемировская
15,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307300599/,Москва,rent,flat,5,17,2,58.0,65000,0,Царицыно,Кавказский бульвар,50,Кантемировская
16,ID 108514038,homeowner,https://www.cian.ru/rent/flat/307275732/,Москва,rent,flat,2,15,2,60.0,80000,0,Царицыно,Пролетарский проспект,43К3,Кантемировская
17,Дмитрий Корольков,realtor,https://www.cian.ru/rent/flat/307265202/,Москва,rent,flat,4,12,2,55.0,65000,0,Царицыно,Бакинская ,9,Кантемировская
18,Алексей Лупарев,realtor,https://www.cian.ru/rent/flat/307199439/,Москва,rent,flat,16,25,2,57.0,90000,0,Москворечье-Сабурово,Каширское шоссе,74А,Кантемировская
19,ID 129034,unknown,https://www.cian.ru/rent/flat/307070167/,Москва,rent,flat,11,17,2,54.4,65000,0,Москворечье-Сабурово, Москворечье,4К3,Кантемировская
20,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307063729/,Москва,rent,flat,12,20,2,65.0,90000,0,Бирюлево Восточное,6-я Радиальная ,7/1к1,Кантемировская
