,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 10512,realtor,https://www.cian.ru/rent/flat/307748632/,Москва,rent,flat,21,25,3,84.0,90000,0,Чертаново Северное,Северное Чертаново мкр,3кА,Каховская
1,Алёна Петрова,realtor,https://www.cian.ru/rent/flat/307745359/,Москва,rent,flat,16,23,3,140.0,160000,0,Черемушки,Севастопольский проспект,28к3,Каховская
2,СмениКварти.Ру,real_estate_agent,https://www.cian.ru/rent/flat/307631799/,Москва,rent,flat,5,5,3,58.6,75000,0,Нагорный,Симферопольский бульвар,35К1,Каховская
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307626709/,Москва,rent,flat,11,21,3,78.0,120000,0,Москворечье-Сабурово,Каширский проезд,25к5,Каховская
4,Новый дом,real_estate_agent,https://www.cian.ru/rent/flat/307612538/,Москва,rent,flat,2,17,3,76.0,95000,0,Нагорный,Балаклавский проспект,12К3,Каховская
5,Григорий Поляков,realtor,https://www.cian.ru/rent/flat/307602829/,Москва,rent,flat,10,16,3,64.0,100000,0,Нагорный,Фруктовая ,3кА,Каховская
6,Ма-Трёшка,real_estate_agent,https://www.cian.ru/rent/flat/307509015/,Москва,rent,flat,8,16,3,64.1,94999,0,Нагорный,Симферопольский бульвар,19к2,Каховская
7,SRG,real_estate_agent,https://www.cian.ru/rent/flat/307446528/,Москва,rent,flat,15,25,3,72.0,90000,0,Зюзино,Симферопольский бульвар,30к3,Каховская
8,Артем Тугумов,realtor,https://www.cian.ru/rent/flat/307361905/,Москва,rent,flat,3,5,3,54.6,70000,0,Зюзино,Севастопольский проспект,71,Каховская
9,PRO ОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307228327/,Москва,rent,flat,2,22,3,74.0,130000,0,Зюзино,Чонгарский бульвар,26Ак1,Каховская
10,ID 13281743,homeowner,https://www.cian.ru/rent/flat/307060770/,Москва,rent,flat,11,16,3,64.0,95000,0,Нагорный,Симферопольский бульвар,37к1,Каховская
11,Диос Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306937648/,Москва,rent,flat,2,12,3,77.0,110000,0,Нагорный,Симферопольский бульвар,15К4,Каховская
12,Владимир Щебланин,realtor,https://www.cian.ru/rent/flat/306855096/,Москва,rent,flat,15,20,3,75.0,200000,0,Зюзино, Каховка,23к5,Каховская
13,БРАЙТХОУМ,real_estate_agent,https://www.cian.ru/rent/flat/306817719/,Москва,rent,flat,3,23,3,170.0,230000,0,Черемушки,Севастопольский проспект,28к3,Каховская
14,БРАЙТХОУМ,real_estate_agent,https://www.cian.ru/rent/flat/306763811/,Москва,rent,flat,3,23,3,170.0,230000,0,Черемушки,Севастопольский проспект,28к3,Каховская
15,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306505859/,Москва,rent,flat,3,23,3,170.0,230000,0,Черемушки,Севастопольский проспект,28к3,Каховская
16,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/305643020/,Москва,rent,flat,8,14,3,150.0,150000,0,Нагорный,Криворожская ,21К3,Каховская
17,Наталия Дударь,realtor,https://www.cian.ru/rent/flat/296306549/,Москва,rent,flat,13,22,3,88.0,130000,0,Чертаново Северное,Сумской проезд,8К3,Каховская
18,ID 2690380,realtor,https://www.cian.ru/rent/flat/290418836/,Москва,rent,flat,2,15,3,116.0,110000,0,Зюзино,Азовская ,24К1,Каховская
19,Валерий Станиславов,realtor,https://www.cian.ru/rent/flat/265336314/,Москва,rent,flat,16,16,3,65.0,80000,0,Зюзино,Симферопольский бульвар,20а,Каховская
20,Николай Кирилов,realtor,https://www.cian.ru/rent/flat/237140964/,Москва,rent,flat,9,17,3,80.0,120000,0,Нагорный,Ялтинская ,2,Каховская
21,Проперти фо пипл,real_estate_agent,https://www.cian.ru/rent/flat/307430864/,Москва,rent,flat,4,10,4,96.0,100000,0,Даниловский,Люсиновская ,53,Серпуховская
22,Столичный квартал,real_estate_agent,https://www.cian.ru/rent/flat/222881563/,Москва,rent,flat,21,25,2,60.0,80000,0,Нагорный,Электролитный проезд,16к3,Нагорная
23,ID 322714,realtor,https://www.cian.ru/rent/flat/287399373/,Москва,rent,flat,10,14,2,75.0,100000,0,Черемушки, Гарибальди,36,Новые Черёмушки
24,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307549492/,Москва,rent,flat,3,33,3,100.0,120000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к3,Нагатинская
