,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307779697/,Москва,rent,flat,7,17,3,132.0,420000,0,Арбат, Новый Арбат,29,Киевская
1,МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307772275/,Москва,rent,flat,4,10,3,155.0,750000,0,Хамовники, Льва Толстого,23к1,Киевская
2,Марина Дыба,realtor,https://www.cian.ru/rent/flat/307764936/,Москва,rent,flat,6,6,3,90.0,170000,0,Хамовники,2-й Неопалимовский переулок,11,Киевская
3,i-deal,real_estate_agent,https://www.cian.ru/rent/flat/307753197/,Москва,rent,flat,3,8,3,77.0,140000,0,Дорогомилово, Можайский Вал,6,Киевская
4,Юлия Демидова,realtor,https://www.cian.ru/rent/flat/307721193/,Москва,rent,flat,3,6,3,86.0,490000,0,Хамовники, Льва Толстого,23к1,Киевская
5,RITA ZURABOVNA REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307718450/,Москва,rent,flat,4,10,3,95.0,110000,0,Арбат,1-й Смоленский переулок,9С1,Киевская
6,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307700621/,Москва,rent,flat,9,14,3,210.0,380000,0,Арбат, Новый Арбат,29,Киевская
7,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307674007/,Москва,rent,flat,2,11,3,65.0,125000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307658109/,Москва,rent,flat,8,8,3,98.0,235000,0,Дорогомилово,набережная Тараса Шевченко,1,Киевская
9,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307617512/,Москва,rent,flat,2,11,3,69.0,125000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
10,ID 396898,homeowner,https://www.cian.ru/rent/flat/307616236/,Москва,rent,flat,2,11,3,65.0,125000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
11,Ирина Елисеева,realtor,https://www.cian.ru/rent/flat/307587660/,Москва,rent,flat,2,11,3,140.0,250000,0,Дорогомилово,Кутузовский проспект,2/1К1А,Киевская
12,KINS Group,real_estate_agent,https://www.cian.ru/rent/flat/307582728/,Москва,rent,flat,8,14,3,98.0,230000,0,Дорогомилово,набережная Тараса Шевченко,1,Киевская
13,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307577583/,Москва,rent,flat,3,8,3,120.0,230000,0,Дорогомилово,набережная Тараса Шевченко,1,Киевская
14,ID 15481,realtor,https://www.cian.ru/rent/flat/307563567/,Москва,rent,flat,3,16,3,116.0,280000,0,Хамовники,Ружейный переулок,3,Киевская
15,Светлана Окоман,realtor,https://www.cian.ru/rent/flat/307553168/,Москва,rent,flat,5,5,3,74.0,200000,0,Арбат,Троилинский переулок,4/7,Киевская
16,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307537956/,Москва,rent,flat,7,12,3,62.0,210000,0,Хамовники,Ростовская набережная,5,Киевская
17,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307536851/,Москва,rent,flat,2,5,3,88.0,200000,0,Хамовники, Плющиха,26/2,Киевская
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307296752/,Москва,rent,flat,7,14,3,78.0,160000,0,Дорогомилово,Украинский бульвар,5,Киевская
19,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307229377/,Москва,rent,flat,9,11,3,75.0,340000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
20,МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307089926/,Москва,rent,flat,3,15,3,150.0,450000,0,Хамовники,Саввинская набережная,9,Киевская
21,ID 44877722,unknown,https://www.cian.ru/rent/flat/307042982/,Москва,rent,flat,6,8,3,78.0,135000,0,Дорогомилово,Кутузовский проспект,14,Киевская
22,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/306942258/,Москва,rent,flat,3,8,3,77.0,140000,0,Дорогомилово, Можайский Вал,6,Киевская
23,Дмитрий Пешехонов,realtor,https://www.cian.ru/rent/flat/306935793/,Москва,rent,flat,3,9,3,70.0,200000,0,Арбат,Смоленская ,10,Киевская
24,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306857846/,Москва,rent,flat,12,13,3,185.0,500000,0,Арбат,1-й Смоленский переулок,17,Киевская
25,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306847315/,Москва,rent,flat,3,8,3,77.0,130000,0,Дорогомилово, Можайский Вал,6,Киевская
26,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306753455/,Москва,rent,flat,9,10,3,78.0,340000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
27,ID 211233,real_estate_agent,https://www.cian.ru/rent/flat/306682599/,Москва,rent,flat,7,9,3,75.0,150000,0,Хамовники,Саввинская набережная,3,Киевская
28,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306104692/,Москва,rent,flat,9,10,3,84.0,170000,0,Дорогомилово,набережная Тараса Шевченко,3К3,Киевская
29,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/306084243/,Москва,rent,flat,6,11,3,75.0,200000,0,Дорогомилово,Кутузовский проспект,2/1К1А,Киевская
30,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305904706/,Москва,rent,flat,4,8,3,76.0,170000,0,Дорогомилово, Можайский Вал,6,Киевская
31,RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/305821570/,Москва,rent,flat,4,8,3,76.0,170000,0,Дорогомилово, Можайский Вал,6,Киевская
32,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305787811/,Москва,rent,flat,7,12,3,62.0,210000,0,Хамовники,Ростовская набережная,5,Киевская
33,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305060858/,Москва,rent,flat,4,9,3,89.0,190000,0,Дорогомилово,Кутузовский проспект,5/3,Киевская
34,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/304895439/,Москва,rent,flat,3,15,3,150.0,510742,0,Хамовники,Саввинская набережная,9,Киевская
35,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/304884603/,Москва,rent,flat,3,15,3,150.0,484000,0,Хамовники,Саввинская набережная,9,Киевская
36,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/304823527/,Москва,rent,flat,9,10,3,86.0,170000,0,Дорогомилово,набережная Тараса Шевченко,3,Киевская
