,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307749787/,Москва,rent,flat,11,25,2,75.0,110000,0,Нагатино-Садовники,Нагатинская набережная,18к1,Кленовый бульвар
1,ID 96665,realtor,https://www.cian.ru/rent/flat/307748976/,Москва,rent,flat,23,33,2,42.0,90000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к2,Кленовый бульвар
2,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307705649/,Москва,rent,flat,9,18,2,58.0,130000,0,Нагатинский затон, Корабельная,13,Кленовый бульвар
3,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307674600/,Москва,rent,flat,9,16,2,52.0,67000,0,Нагатинский затон,Коломенская набережная,10,Кленовый бульвар
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307673382/,Москва,rent,flat,3,9,2,47.0,79000,0,Нагатинский затон,Судостроительная ,6,Кленовый бульвар
5,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307605787/,Москва,rent,flat,24,33,2,54.0,100000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Кленовый бульвар
6,ID 116088,realtor,https://www.cian.ru/rent/flat/307592086/,Москва,rent,flat,8,12,2,38.5,52000,0,Нагатинский затон,Затонная ,14К2,Кленовый бульвар
7,ID 12717079,realtor,https://www.cian.ru/rent/flat/307538658/,Москва,rent,flat,1,12,2,49.0,75000,0,Нагатинский затон, Речников,36,Кленовый бульвар
8,Надежда Горожанкина,realtor,https://www.cian.ru/rent/flat/307436142/,Москва,rent,flat,4,12,2,50.0,100000,0,Нагатинский затон, Новинки,13,Кленовый бульвар
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307335253/,Москва,rent,flat,11,16,2,51.0,110000,0,Нагатинский затон,Судостроительная ,3,Кленовый бульвар
10,ID 18091474,unknown,https://www.cian.ru/rent/flat/307148540/,Москва,rent,flat,6,12,2,54.0,80000,0,Нагатинский затон,Кленовый бульвар,8К3,Кленовый бульвар
11,Олег Гапонов,realtor,https://www.cian.ru/rent/flat/307036136/,Москва,rent,flat,6,12,2,53.7,80000,0,Нагатинский затон,Кленовый бульвар,8К3,Кленовый бульвар
12,ID 13094180,unknown,https://www.cian.ru/rent/flat/306707694/,Москва,rent,flat,11,23,2,72.0,75000,0,Нагатинский затон,Нагатинская набережная,40/1,Кленовый бульвар
13,Игорь Барышников,realtor,https://www.cian.ru/rent/flat/306482101/,Москва,rent,flat,2,19,2,55.0,140000,0,Нагатинский затон, Корабельная,11к1,Кленовый бульвар
14,Адалят Алиев,realtor,https://www.cian.ru/rent/flat/290444807/,Москва,rent,flat,15,24,2,58.0,95000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Кленовый бульвар
15,ID 88353013,homeowner,https://www.cian.ru/rent/flat/271014066/,Москва,rent,flat,11,25,2,75.0,120000,0,Нагатино-Садовники,Нагатинская набережная,18к1,Кленовый бульвар
16,Александр Долгов,realtor,https://www.cian.ru/rent/flat/277797504/,Москва,rent,flat,4,5,2,43.0,65000,0,Нагорный,Варшавское шоссе,52/2,Нахимовский проспект
17,Ирина Манукян,realtor,https://www.cian.ru/rent/flat/307604336/,Москва,rent,flat,3,9,1,33.0,45000,0,Нагатинский затон,Якорная ,9,Кленовый бульвар
18,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307434590/,Москва,rent,flat,1,9,1,40.0,60000,0,Нагатино-Садовники,Каширское шоссе,7К1,Нагорная
19,Estes,real_estate_agent,https://www.cian.ru/rent/flat/307391650/,Москва,rent,flat,5,17,1,37.0,75000,0,Нагатинский затон,Коломенская набережная,12,Кленовый бульвар
20,Александр Зернов,realtor,https://www.cian.ru/rent/flat/307344568/,Москва,rent,flat,9,12,1,33.4,60000,0,Нагатинский затон,Кленовый бульвар,24,Кленовый бульвар
21,Столичный квартал,real_estate_agent,https://www.cian.ru/rent/flat/222881563/,Москва,rent,flat,21,25,2,60.0,80000,0,Нагорный,Электролитный проезд,16к3,Нагорная
22,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,Технопарк
23,Максим Тарасов,realtor,https://www.cian.ru/rent/flat/306692133/,Москва,rent,flat,7,25,2,71.0,73000,0,Печатники, Гурьянова,19К2,Печатники
24,Олимп,real_estate_agent,https://www.cian.ru/rent/flat/267385655/,Москва,rent,flat,2,26,2,38.0,66000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ
