,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307496368/,Москва,rent,flat,8,15,3,50.0,55000,0,, Стожарова,7,Кокошкино
1,Семён Шугуров,realtor,https://golitsyno.cian.ru/rent/flat/307473125/,Москва,rent,flat,8,9,3,75.3,70000,0,,Советская ,60,Кокошкино
2,Ирина Руперти,realtor,https://odintsovo.cian.ru/rent/flat/307293840/,Москва,rent,flat,1,6,3,112.0,165000,0,Азарово Северное кп, Сиреневая,6,
3,ID 299455,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307273246/,Москва,rent,flat,11,12,3,62.0,50000,0,д. Малые Вяземы,Петровское шоссе,1,
4,ID 120296723,homeowner,https://golitsyno.cian.ru/rent/flat/305830076/,Москва,rent,flat,4,5,3,41.6,36000,0,,Западный проспект,2,Кокошкино
5,АМТ - недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/304907526/,Москва,rent,flat,2,3,3,82.0,150000,0,,,,
6,My Hoyse,real_estate_agent,https://odintsovo.cian.ru/rent/flat/303319631/,Москва,rent,flat,3,17,3,116.0,100000,0,,,,
7,ID 41040929,homeowner,https://www.cian.ru/rent/flat/303044283/,Москва,rent,flat,10,14,3,59.3,60000,0,, Стожарова,5,Кокошкино
8,ID 92483847,homeowner,https://odintsovo.cian.ru/rent/flat/283793068/,Москва,rent,flat,6,12,3,76.0,55000,0,,,,
9,ID 12269152,unknown,https://odintsovo.cian.ru/rent/flat/307707462/,Москва,rent,flat,9,10,2,57.6,55000,0,,,,
10,ID 101449025,homeowner,https://odintsovo.cian.ru/rent/flat/299067182/,Москва,rent,flat,2,5,1,34.0,50000,0,,,,
11,ID 6943558,unknown,https://odintsovo.cian.ru/rent/flat/307629844/,Москва,rent,flat,17,17,2,64.0,60000,0,, Говорова,50,Баковка
12,Галина Нугманова,realtor,https://odintsovo.cian.ru/rent/flat/192111613/,Москва,rent,flat,5,15,2,63.0,65000,0,с. Немчиновка,Советский проспект,104,
13,Елена Лебедевская,realtor,https://odintsovo.cian.ru/rent/flat/307429932/,Москва,rent,flat,4,6,3,110.0,90000,0,с. Ромашково, Никольская,14к1,
14,Арбат-Н,real_estate_agent,https://odintsovo.cian.ru/rent/flat/295096605/,Москва,rent,flat,1,8,2,65.0,70000,0,Заречье рп, Университетская,4,
15,Юрий Муромцев,realtor,https://odintsovo.cian.ru/rent/flat/257705602/,Москва,rent,flat,13,20,3,98.0,130000,0,Новоивановское рп, Агрохимиков,15А,
16,БЕСТ на Октябрьской,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307685515/,Москва,rent,flat,2,4,3,56.0,56900,0,,,,
17,ID 113204452,official_representative,https://zvenigorod.cian.ru/rent/flat/307707544/,Москва,rent,flat,2,5,3,74.0,85000,0,Звенигород, Фрунзе,29,
18,МИЛЛЕНИУМ,real_estate_agent,https://odintsovo.cian.ru/rent/flat/223019591/,Москва,rent,flat,2,2,2,50.0,50000,0,,,,
19,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307702248/,Москва,rent,flat,9,10,1,75.0,135000,0,Заречье рп, Каштановая,6,
20,ID 109346848,homeowner,https://odintsovo.cian.ru/rent/flat/304979276/,Москва,rent,flat,7,26,3,78.0,80000,0,Новоивановское рп,Можайское шоссе,50,
21,New Day Realty,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307707859/,Москва,rent,flat,6,9,2,36.0,85000,0,Заречье рп,Луговая ,6к1,
