,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 12453396,homeowner,https://www.cian.ru/rent/flat/307778576/,Москва,rent,flat,2,8,1,34.0,65000,0,,проспект Магеллана,3,Новомосковская
1,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307773029/,Москва,rent,flat,7,17,1,40.0,36000,0,, Городская,20,Новомосковская
2,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307771281/,Москва,rent,flat,6,20,1,40.0,60000,0,, Василия Ощепкова,4,Новомосковская
3,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307757292/,Москва,rent,flat,2,17,1,40.0,60000,0,, Бачуринская,8к1,Новомосковская
4,Ольга Панова,realtor,https://www.cian.ru/rent/flat/307753216/,Москва,rent,flat,6,17,1,32.0,44990,0,, Яворки,1к5,Новомосковская
5,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307751046/,Москва,rent,flat,2,3,1,45.0,50000,0,, Нильса Бора,3,Новомосковская
6,ID 119154583,homeowner,https://www.cian.ru/rent/flat/307727073/,Москва,rent,flat,2,12,1,37.0,45000,0,, Гренадерская,9к1,Новомосковская
7,ESTATE FM,real_estate_agent,https://www.cian.ru/rent/flat/307726263/,Москва,rent,flat,9,14,1,35.0,75000,0,,бульвар Веласкеса,4,Новомосковская
8,Реалист,real_estate_agent,https://www.cian.ru/rent/flat/307721872/,Москва,rent,flat,11,17,1,38.0,35000,0,, Полковника Милиции Курочкина,17,Новомосковская
9,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307721132/,Москва,rent,flat,13,17,1,48.0,50000,0,, Лазурная,16,Новомосковская
10,ID 101774244,unknown,https://www.cian.ru/rent/flat/307720577/,Москва,rent,flat,5,13,1,42.0,50000,0,, Бачуринская,17,Новомосковская
11,Антон Копылов,realtor,https://www.cian.ru/rent/flat/307717951/,Москва,rent,flat,4,17,1,40.0,30000,0,, Полковника Милиции Курочкина,,Новомосковская
12,Самолет плюс - Химки,real_estate_agent,https://www.cian.ru/rent/flat/307709241/,Москва,rent,flat,2,17,1,35.0,35000,0,, Кварцевая,4к3,Новомосковская
13,ID 453149,realtor,https://www.cian.ru/rent/flat/307699808/,Москва,rent,flat,5,16,1,35.0,45000,0,,бульвар Скандинавский,6,Новомосковская
14,Николай Валерьевич Душин,realtor,https://www.cian.ru/rent/flat/307695727/,Москва,rent,flat,15,17,1,40.0,48000,0,, Лазурная,16,Новомосковская
15,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307686955/,Москва,rent,flat,15,15,1,36.0,75000,0,, Василия Ощепкова,1,Новомосковская
16,ID 102690162,realtor,https://www.cian.ru/rent/flat/307680793/,Москва,rent,flat,15,17,1,33.8,45000,0,, 3-я Нововатутинская,13к1,Новомосковская
17,Елена Носкова,realtor,https://www.cian.ru/rent/flat/307635952/,Москва,rent,flat,14,15,1,32.0,47000,0,, Василия Ощепкова,2,Новомосковская
18,Елена Слащук,realtor,https://www.cian.ru/rent/flat/307635237/,Москва,rent,flat,9,16,1,44.3,48000,0,, Гренадерская,9к2,Новомосковская
19,ID 19246,realtor,https://www.cian.ru/rent/flat/307635218/,Москва,rent,flat,15,27,1,32.0,45000,0,, Фитаревская,15,Новомосковская
20,ID 68095980,unknown,https://www.cian.ru/rent/flat/307625455/,Москва,rent,flat,7,13,1,34.0,60000,0,, 1-я Ватутинская,14к1,Новомосковская
21,ID 157322,realtor,https://www.cian.ru/rent/flat/307617657/,Москва,rent,flat,2,12,1,50.1,57000,0,, Липовый Парк,8к1,Новомосковская
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307613826/,Москва,rent,flat,11,18,1,40.0,65000,0,, Бачуринская,8к2,Новомосковская
23,ID 99813553,homeowner,https://www.cian.ru/rent/flat/307593983/,Москва,rent,flat,10,17,1,36.0,43000,0,, Яворки,1к5,Новомосковская
24,ID 122021926,homeowner,https://www.cian.ru/rent/flat/307592961/,Москва,rent,flat,2,14,1,42.0,65000,0,,бульвар Веласкеса,8,Новомосковская
25,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307591991/,Москва,rent,flat,9,15,1,18.0,55000,0,, Василия Ощепкова,2,Новомосковская
26,Монолит Столица,real_estate_agent,https://www.cian.ru/rent/flat/307588042/,Москва,rent,flat,7,16,1,38.0,90000,0,,проспект Прокшинский,9,Новомосковская
27,ID 284178,homeowner,https://www.cian.ru/rent/flat/307553324/,Москва,rent,flat,15,15,1,34.5,59000,0,, Василия Ощепкова,2,Новомосковская
