,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721232/,Москва,rent,flat,7,9,2,50.0,73000,0,Красносельский,Верхняя Красносельская ,24,Комсомольская
1,Наталья Салтыкова,realtor,https://www.cian.ru/rent/flat/307678302/,Москва,rent,flat,2,6,2,56.7,95000,0,Красносельский,Новорязанская ,2/7,Комсомольская
2,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307654750/,Москва,rent,flat,3,5,2,44.0,25000,0,Монино рп, Маслова,6,
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307651751/,Москва,rent,flat,3,9,2,62.0,110000,0,Басманный,Доброслободская ,15,Комсомольская
4,ID 79203211,unknown,https://www.cian.ru/rent/flat/307628946/,Москва,rent,flat,6,10,2,52.0,100000,0,Басманный,Нижняя Красносельская ,35С50,Комсомольская
5,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307592058/,Москва,rent,flat,7,9,2,50.0,73000,0,Красносельский,Верхняя Красносельская ,24,Комсомольская
6,ID 79394214,unknown,https://www.cian.ru/rent/flat/307541345/,Москва,rent,flat,3,7,2,56.0,95000,0,Красносельский,Краснопрудная ,3-5С1,Комсомольская
7,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307435339/,Москва,rent,flat,8,18,2,70.0,240000,0,Красносельский,Басманный переулок,5,Комсомольская
8,Арманд Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/307366337/,Москва,rent,flat,6,9,2,60.4,75000,0,Красносельский,3-й Красносельский переулок,8,Комсомольская
9,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307345423/,Москва,rent,flat,5,24,2,42.0,150000,0,Красносельский,Большая Спасская ,35,Комсомольская
10,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307303418/,Москва,rent,flat,7,14,2,45.0,115000,0,Красносельский,Верхняя Красносельская ,8К2,Комсомольская
11,ID 141331,realtor,https://www.cian.ru/rent/flat/307302607/,Москва,rent,flat,3,3,2,58.0,90000,0,Басманный,Бакунинская ,10-12С1,Комсомольская
12,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307299418/,Москва,rent,flat,8,22,2,40.0,150000,0,Красносельский,Большая Спасская ,35,Комсомольская
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307273675/,Москва,rent,flat,8,25,2,38.0,150000,0,Красносельский,Большая Спасская ,35,Комсомольская
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307094552/,Москва,rent,flat,7,14,2,45.0,100000,0,Красносельский,Верхняя Красносельская ,8К2,Комсомольская
15,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307080269/,Москва,rent,flat,8,24,2,45.0,150000,0,Красносельский,Большая Спасская ,35,Комсомольская
16,Место,real_estate_agent,https://www.cian.ru/rent/flat/306971106/,Москва,rent,flat,6,10,2,80.0,200000,0,Басманный,Нижняя Красносельская ,35С48,Комсомольская
17,Павел Усков,realtor,https://www.cian.ru/rent/flat/306864474/,Москва,rent,flat,3,5,2,75.0,240000,0,Басманный,Нижняя Красносельская ,35С7,Комсомольская
18,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306801303/,Москва,rent,flat,7,14,2,47.0,100000,0,Красносельский,Верхняя Красносельская ,8К2,Комсомольская
19,Екатерина Кареева,realtor,https://www.cian.ru/rent/flat/306477110/,Москва,rent,flat,8,24,2,40.0,150000,0,Красносельский,Большая Спасская ,35,Комсомольская
20,РОДНЫЕ СТЕНЫ,real_estate_agent,https://www.cian.ru/rent/flat/306417887/,Москва,rent,flat,5,9,2,58.0,85000,0,Басманный,Спартаковская площадь,1/2,Комсомольская
21,ID 15858718,homeowner,https://www.cian.ru/rent/flat/306264766/,Москва,rent,flat,4,8,2,35.0,125000,0,Басманный,Новая Басманная ,4-6С3,Комсомольская
22,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/305670345/,Москва,rent,flat,3,17,2,56.0,100000,0,Басманный,Бакунинская ,17/28,Комсомольская
23,ID 10197946,homeowner,https://www.cian.ru/rent/flat/298781668/,Москва,rent,flat,10,15,2,60.0,115000,0,Красносельский,Краснопрудная ,13,Комсомольская
24,Максим Зенов,realtor,https://www.cian.ru/rent/flat/294356301/,Москва,rent,flat,4,10,2,75.0,200000,0,Басманный,Нижняя Красносельская ,35С48,Комсомольская
25,ID 40852128,homeowner,https://www.cian.ru/rent/flat/282626500/,Москва,rent,flat,3,9,2,62.0,110000,0,Басманный,Доброслободская ,15,Комсомольская
26,ID 74338273,unknown,https://www.cian.ru/rent/flat/307544373/,Москва,rent,flat,5,16,2,54.0,75000,0,Сокольники,Сокольническая площадь,9,Сокольники
27,Александр Насилевский,realtor,https://www.cian.ru/rent/flat/307099137/,Москва,rent,flat,7,9,1,33.0,65000,0,Басманный,Большая Почтовая ,1/33,Бауманская
28,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
