,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Центр Недвижимости плюс,real_estate_agent,https://www.cian.ru/rent/flat/307752880/,Москва,rent,flat,8,14,2,54.0,85000,0,Коптево, Приорова,30,Коптево
1,ID 40210688,realtor,https://www.cian.ru/rent/flat/307745767/,Москва,rent,flat,5,5,2,42.6,55000,0,Головинский,Онежская ,41,Коптево
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307737872/,Москва,rent,flat,8,14,2,55.0,85000,0,Коптево, Приорова,30,Коптево
3,ID 121214110,real_estate_agent,https://www.cian.ru/rent/flat/307726992/,Москва,rent,flat,8,14,2,54.0,85000,0,Коптево, Приорова,30,Коптево
4,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307723878/,Москва,rent,flat,28,36,2,63.6,165000,0,Войковский,Головинское шоссе,10Б,Коптево
5,Наталья Васина,realtor,https://www.cian.ru/rent/flat/307702157/,Москва,rent,flat,6,14,2,48.0,83000,0,Коптево,Новопетровская ,14,Коптево
6,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307663026/,Москва,rent,flat,24,26,2,70.0,135000,0,Головинский,Кронштадтский бульвар,6к3,Коптево
7,BM-estate Восточный офис,real_estate_agent,https://www.cian.ru/rent/flat/307661637/,Москва,rent,flat,5,30,2,50.0,95000,0,Головинский,Головинское шоссе,7,Коптево
8,Тимур Гарипов,realtor,https://www.cian.ru/rent/flat/307647249/,Москва,rent,flat,10,12,2,43.0,50000,0,Головинский, Лавочкина,18,Коптево
9,Олимп плюс,real_estate_agent,https://www.cian.ru/rent/flat/307630878/,Москва,rent,flat,26,26,2,70.0,125000,0,Головинский,Кронштадтский бульвар,6к3,Коптево
10,Антон Репин,realtor,https://www.cian.ru/rent/flat/307616939/,Москва,rent,flat,5,5,2,45.0,60000,0,Коптево,Большая Академическая ,35А,Коптево
11,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307584961/,Москва,rent,flat,12,26,2,40.0,90000,0,Головинский,Кронштадтский бульвар,6к4,Коптево
12,Виктор Зиновьев,realtor,https://www.cian.ru/rent/flat/307460521/,Москва,rent,flat,3,17,2,50.8,85000,0,Войковский,Нарвская ,1Ак3,Коптево
13,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307459986/,Москва,rent,flat,10,20,2,36.0,85000,0,Головинский,Михалковская ,48к2,Коптево
14,ID 98412708,realtor,https://www.cian.ru/rent/flat/307431958/,Москва,rent,flat,9,21,2,50.0,165000,0,Войковский,Выборгская ,9/1,Коптево
15,Ольга Грицевич,realtor,https://www.cian.ru/rent/flat/307318806/,Москва,rent,flat,15,37,2,63.5,115000,0,Войковский,Головинское шоссе,10Б,Коптево
16,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307204553/,Москва,rent,flat,13,26,2,40.0,90000,0,Головинский,Кронштадтский бульвар,6к5,Коптево
17,ID 60647538,unknown,https://www.cian.ru/rent/flat/307099627/,Москва,rent,flat,3,5,2,45.0,55000,0,Головинский,Смольная ,17,Коптево
18,Елена Фатеева,realtor,https://www.cian.ru/rent/flat/306907479/,Москва,rent,flat,22,37,2,46.6,90000,0,Войковский,Головинское шоссе,10Б,Коптево
19,Уют,real_estate_agent,https://www.cian.ru/rent/flat/306865797/,Москва,rent,flat,3,5,2,42.2,55000,0,Коптево,3-й Михалковский переулок,9,Коптево
20,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/306089576/,Москва,rent,flat,21,22,2,56.0,135000,0,Войковский,Выборгская ,9/1,Коптево
21,ID 119864602,homeowner,https://www.cian.ru/rent/flat/305411686/,Москва,rent,flat,2,5,2,45.0,44310,0,Коптево,4-й Новомихалковский проезд,7А,Коптево
22,Екатерина Егорова,realtor,https://www.cian.ru/rent/flat/305216869/,Москва,rent,flat,23,32,2,51.0,120000,0,Головинский,Кронштадтский бульвар,8к1,Коптево
23,ID 94828934,unknown,https://www.cian.ru/rent/flat/298989302/,Москва,rent,flat,11,21,2,49.9,100000,0,Войковский,Выборгская ,9/1,Коптево
24,ID 90439500,unknown,https://www.cian.ru/rent/flat/296972447/,Москва,rent,flat,1,23,2,48.5,105000,0,Войковский,Выборгская ,7к1,Коптево
25,Елена Николаева,realtor,https://www.cian.ru/rent/flat/283232383/,Москва,rent,flat,8,17,2,52.0,80000,0,Войковский,Нарвская ,5А,Коптево
26,ID 63376583,homeowner,https://www.cian.ru/rent/flat/280618565/,Москва,rent,flat,21,21,2,35.0,90000,0,Войковский,Выборгская ,9/1,Коптево
27,ID 31593,unknown,https://www.cian.ru/rent/flat/274851306/,Москва,rent,flat,12,14,2,51.0,75000,0,Головинский,Онежская ,18К1,Коптево
